STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070101,5,0,0,67,-6,52,320,330,107,143,957,1000
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070102,0,0,0,50,-28,43,210,210,72,103,2352,2352
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070103,0,0,0,78,6,57,210,190,89,116,2125,1311
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070104,0,0,0,78,33,52,210,210,103,134,1141,1142
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070105,0,0,0,83,28,37,270,270,76,98,559,559
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070106,0,0,0,28,-17,40,270,290,94,112,1206,1144
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070107,25,0,3,50,-22,43,210,180,89,125,1028,1219
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070108,0,0,0,6,-39,53,270,280,98,116,824,825
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070109,0,0,0,-39,-78,66,310,300,116,156,1429,1025
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070110,0,0,0,0,-100,40,170,160,80,107,1832,2249
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070111,0,0,0,67,-11,52,190,200,103,143,300,248
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070112,0,0,0,33,-83,39,10,30,76,107,2251,2258
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070113,0,0,0,-44,-100,23,40,350,58,67,439,1227
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070114,23,0,23,-28,-61,39,40,40,98,116,2037,2037
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070115,48,102,79,-50,-94,66,10,10,103,130,551,552
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070116,0,102,0,-67,-167,31,270,340,67,94,356,1518
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070117,0,76,0,-72,-167,51,200,200,89,112,1948,1407
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070118,5,76,20,-22,-89,45,210,280,76,98,2150,2354
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070119,0,76,0,-39,-156,47,280,290,103,125,727,444
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070120,0,76,0,-72,-194,13,310,310,45,54,357,357
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070121,38,76,81,-44,-128,21,30,30,45,54,1310,1310
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070122,0,152,0,-22,-72,37,270,250,89,107,2228,1704
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070123,0,127,0,-22,-78,47,260,260,80,107,452,703
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070124,0,127,0,-44,-128,22,290,330,58,67,2117,1418
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070125,0,127,0,-72,-156,30,360,360,67,80,1104,1119
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070126,0,102,0,11,-89,38,210,220,72,98,623,622
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070127,0,102,0,-11,-89,50,310,300,89,112,1013,1035
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070128,0,102,0,-67,-150,47,350,340,103,134,821,847
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070129,8,127,15,-89,-161,21,280,320,89,134,59,59
GHCND:USW00014898,GREEN BAY AUSTIN STRAUBEL INTERNATIONAL AIRPORT WI US,20070130,8,127,23,-50,-150,57,290,290,89,107,1413,1414
