STATION,STATION_NAME,DATE,PRCP,SNWD,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00003902,ROBERT GRAY ARMY AIR FIELD TX US,20070101,0,-9999,111,11,47,350,360,81,94,1010
GHCND:USW00003902,ROBERT GRAY ARMY AIR FIELD TX US,20070102,0,-9999,117,-16,26,80,60,58,63,1530
GHCND:USW00003902,ROBERT GRAY ARMY AIR FIELD TX US,20070103,163,-9999,106,67,26,240,240,81,98,2131
GHCND:USW00003902,ROBERT GRAY ARMY AIR FIELD TX US,20070104,109,-9999,183,67,40,240,260,98,116,1343
GHCND:USW00003902,ROBERT GRAY ARMY AIR FIELD TX US,20070105,0,-9999,261,78,38,200,210,89,107,1426
GHCND:USW00003902,ROBERT GRAY ARMY AIR FIELD TX US,20070106,13,-9999,117,67,62,360,360,107,130,524
GHCND:USW00003902,ROBERT GRAY ARMY AIR FIELD TX US,20070107,0,-9999,144,39,57,320,330,125,157,1501
GHCND:USW00003902,ROBERT GRAY ARMY AIR FIELD TX US,20070108,0,-9999,183,-5,30,200,200,76,94,1244
GHCND:USW00003902,ROBERT GRAY ARMY AIR FIELD TX US,20070109,0,-9999,167,33,33,60,50,94,107,1153
GHCND:USW00003902,ROBERT GRAY ARMY AIR FIELD TX US,20070110,0,-9999,189,33,60,180,190,139,157,1515
GHCND:USW00003902,ROBERT GRAY ARMY AIR FIELD TX US,20070111,0,-9999,200,111,79,180,180,130,143,1045
GHCND:USW00003902,ROBERT GRAY ARMY AIR FIELD TX US,20070112,168,-9999,194,83,56,180,180,107,130,322
GHCND:USW00003902,ROBERT GRAY ARMY AIR FIELD TX US,20070113,391,-9999,83,0,61,350,210,89,107,920
GHCND:USW00003902,ROBERT GRAY ARMY AIR FIELD TX US,20070114,38,-9999,28,0,48,350,360,94,112,2351
GHCND:USW00003902,ROBERT GRAY ARMY AIR FIELD TX US,20070115,160,-9999,6,-32,59,310,320,103,116,35
GHCND:USW00003902,ROBERT GRAY ARMY AIR FIELD TX US,20070116,13,-9999,-10,-27,54,350,350,45,63,2300
