STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00024143,GREAT FALLS INTERNATIONAL AIRPORT MT US,20070101,0,76,0,33,-61,96,220,220,156,183,2355,2355
GHCND:USW00024143,GREAT FALLS INTERNATIONAL AIRPORT MT US,20070102,0,51,0,100,33,130,220,210,197,246,1459,1442
GHCND:USW00024143,GREAT FALLS INTERNATIONAL AIRPORT MT US,20070103,0,0,0,89,6,80,240,240,156,192,335,335
GHCND:USW00024143,GREAT FALLS INTERNATIONAL AIRPORT MT US,20070104,0,0,0,39,-39,66,270,250,125,165,1502,1506
GHCND:USW00024143,GREAT FALLS INTERNATIONAL AIRPORT MT US,20070105,0,0,0,11,-61,93,220,220,197,232,2302,2303
GHCND:USW00024143,GREAT FALLS INTERNATIONAL AIRPORT MT US,20070106,20,0,28,28,-89,102,220,220,201,241,652,631
GHCND:USW00024143,GREAT FALLS INTERNATIONAL AIRPORT MT US,20070107,0,25,0,56,-89,102,210,210,192,228,1209,1209
GHCND:USW00024143,GREAT FALLS INTERNATIONAL AIRPORT MT US,20070108,0,0,0,44,-61,55,270,280,125,139,815,752
GHCND:USW00024143,GREAT FALLS INTERNATIONAL AIRPORT MT US,20070109,0,0,0,89,-11,106,220,220,170,192,832,650
GHCND:USW00024143,GREAT FALLS INTERNATIONAL AIRPORT MT US,20070110,0,0,0,89,-178,99,270,270,183,215,1105,1106
GHCND:USW00024143,GREAT FALLS INTERNATIONAL AIRPORT MT US,20070111,3,0,3,-178,-217,47,340,320,103,125,43,54
GHCND:USW00024143,GREAT FALLS INTERNATIONAL AIRPORT MT US,20070112,0,0,0,-89,-217,58,200,200,98,107,448,449
GHCND:USW00024143,GREAT FALLS INTERNATIONAL AIRPORT MT US,20070113,3,0,8,-44,-144,55,220,220,89,103,1041,1205
GHCND:USW00024143,GREAT FALLS INTERNATIONAL AIRPORT MT US,20070114,3,25,8,-56,-183,47,210,210,94,107,2341,2356
GHCND:USW00024143,GREAT FALLS INTERNATIONAL AIRPORT MT US,20070115,0,0,0,0,-94,101,210,210,130,148,1022,1212
GHCND:USW00024143,GREAT FALLS INTERNATIONAL AIRPORT MT US,20070116,0,0,0,72,-28,102,220,220,156,174,1251,1251
GHCND:USW00024143,GREAT FALLS INTERNATIONAL AIRPORT MT US,20070117,0,0,3,0,-100,49,220,220,89,103,25,31
GHCND:USW00024143,GREAT FALLS INTERNATIONAL AIRPORT MT US,20070118,0,0,0,11,-111,85,240,230,139,174,1345,1526
