STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070101,0,-9999,-9999,150,44,39,10,10,76,94,1022,1023
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070102,0,-9999,-9999,150,28,26,70,70,72,80,926,928
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070103,28,-9999,-9999,117,61,33,80,70,80,107,2043,2044
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070104,455,-9999,-9999,150,106,34,300,300,107,125,425,429
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070105,3,-9999,-9999,228,100,27,240,240,72,89,1001,1004
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070106,3,-9999,-9999,194,150,34,10,10,72,80,1425,1432
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070107,0,-9999,-9999,189,106,49,340,340,103,134,1722,1723
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070108,0,-9999,-9999,178,39,23,340,330,58,63,258,220
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070109,0,-9999,-9999,206,56,25,30,50,76,94,1316,1425
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070110,0,-9999,-9999,194,61,29,130,140,76,98,1424,1615
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070111,0,-9999,-9999,233,100,41,160,170,98,116,1127,1121
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070112,0,-9999,-9999,261,194,48,170,160,89,103,1518,1322
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070113,18,-9999,-9999,244,206,57,160,170,98,130,1259,1343
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070114,28,-9999,-9999,239,94,36,180,190,89,107,1136,1142
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070115,152,-9999,-9999,94,17,75,350,340,116,139,1230,1230
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070116,13,-9999,-9999,33,6,72,360,10,112,134,243,238
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070117,23,-9999,-9999,33,6,37,10,30,76,94,715,804
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070118,51,-9999,-9999,72,33,31,20,10,54,58,2350,2347
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070119,3,-9999,-9999,100,67,55,50,40,89,107,2234,2234
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070120,66,-9999,-9999,139,78,52,100,110,80,107,1519,1505
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070121,69,-9999,-9999,150,94,13,310,310,58,63,17,17
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070122,0,-9999,-9999,133,83,54,20,20,98,112,1038,1040
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070123,284,-9999,-9999,83,61,57,20,40,94,107,2051,1732
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070124,251,-9999,-9999,83,61,41,10,20,72,89,653,1155
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070125,0,-9999,-9999,183,39,21,10,20,63,72,936,919
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070126,0,-9999,-9999,172,33,22,110,100,58,72,1640,1652
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070127,213,-9999,-9999,194,122,30,350,340,89,107,2244,2349
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070128,0,-9999,-9999,128,50,52,10,20,98,112,916,914
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070129,0,-9999,-9999,128,22,32,110,110,63,76,2022,2024
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070130,36,-9999,-9999,111,83,54,40,40,98,112,1039,1040
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070131,15,-9999,-9999,100,61,47,50,50,72,89,2021,1910
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070201,25,-9999,-9999,133,61,23,10,10,67,80,2325,2326
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070202,0,-9999,-9999,111,39,44,10,360,72,89,1634,1635
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070203,0,-9999,-9999,117,17,23,40,40,54,63,407,413
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070204,0,-9999,-9999,178,44,11,120,120,40,45,1900,1740
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070205,0,-9999,-9999,189,44,17,120,140,54,63,1909,1700
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070206,0,-9999,-9999,217,61,30,180,180,72,98,1231,1652
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070207,0,-9999,-9999,233,94,27,170,170,72,80,1558,1539
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070208,0,-9999,-9999,244,144,29,170,180,63,76,1029,1717
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070209,0,-9999,-9999,156,89,47,30,20,80,98,1758,1758
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070210,0,-9999,-9999,100,67,42,10,20,72,89,2354,36
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070211,0,-9999,-9999,139,83,38,110,110,63,76,1710,1711
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070212,274,-9999,-9999,206,139,47,210,150,76,103,1240,1830
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070213,0,-9999,-9999,183,50,66,10,340,112,139,2137,2155
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070214,0,-9999,-9999,83,33,58,20,10,98,107,2240,6
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070215,0,-9999,-9999,83,6,55,360,360,103,116,504,505
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070216,0,-9999,-9999,100,-17,33,10,10,67,80,128,126
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070217,0,-9999,-9999,194,22,51,310,330,125,148,1631,1636
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070218,0,-9999,-9999,172,17,24,160,160,58,72,1732,1733
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070219,0,-9999,-9999,206,50,45,190,210,98,130,1311,1144
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070220,0,-9999,-9999,228,161,30,190,180,76,98,1505,1507
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070221,20,-9999,-9999,267,161,31,260,260,76,94,1220,1221
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070222,0,-9999,-9999,267,144,22,110,130,76,94,1457,1455
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070223,3,-9999,-9999,211,144,42,150,150,103,134,2123,2149
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070224,15,-9999,-9999,261,139,62,210,210,107,134,1351,1352
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070225,0,-9999,-9999,222,100,29,10,340,76,94,826,952
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070226,0,-9999,-9999,267,89,32,220,230,76,107,605,605
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070227,5,-9999,-9999,261,133,30,150,170,67,80,1609,1733
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070228,0,-9999,-9999,239,172,45,170,190,89,112,2245,1306
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070301,0,-9999,-9999,256,128,60,340,340,139,179,948,949
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070302,0,-9999,-9999,233,72,21,10,20,72,80,2354,2
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070303,0,-9999,-9999,200,94,43,350,350,76,94,2313,1952
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070304,0,-9999,-9999,161,56,47,340,330,94,116,1343,1409
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070305,0,-9999,-9999,206,22,15,160,180,58,67,1937,1820
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070306,0,-9999,-9999,211,44,21,160,150,58,72,1739,1739
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070307,0,-9999,-9999,233,78,21,140,110,63,98,1637,1744
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070308,0,-9999,-9999,239,94,18,120,150,67,76,1624,1608
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070309,0,-9999,-9999,256,122,26,160,160,67,80,1547,1548
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070310,0,-9999,-9999,272,150,26,170,170,67,80,1715,1750
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070311,5,-9999,-9999,233,144,42,130,110,76,103,2206,2355
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070312,442,-9999,-9999,222,161,38,230,240,143,201,443,443
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070313,231,-9999,-9999,239,156,26,50,50,98,112,2359,2359
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070314,785,-9999,-9999,194,156,38,330,320,161,192,1539,1540
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070315,3,-9999,-9999,261,150,25,20,20,67,80,1228,1229
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070316,0,-9999,-9999,228,139,46,360,10,98,125,945,945
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070317,0,-9999,-9999,211,117,32,190,170,67,89,1016,1507
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070318,0,-9999,-9999,239,139,35,170,180,72,94,1601,1623
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070319,0,-9999,-9999,256,172,47,170,170,98,125,1026,1027
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070320,8,-9999,-9999,256,189,51,130,120,98,130,2249,2254
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070321,0,-9999,-9999,267,189,47,160,170,94,116,1034,1631
GHCND:USW00012918,HOUSTON WILLIAM P HOBBY AIRPORT TX US,20070322,0,-9999,-9999,261,178,43,160,140,80,103,1429,1418
