STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070101,0,-9999,-9999,194,61,41,50,50,89,103,1243
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070102,0,-9999,-9999,206,72,37,110,110,72,89,1318
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070103,188,-9999,-9999,206,106,43,360,10,148,170,2206
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070104,5,-9999,-9999,189,111,37,210,220,63,72,2335
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070105,0,-9999,-9999,272,139,55,190,190,94,107,2316
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070106,5,-9999,-9999,250,111,51,350,340,116,139,1804
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070107,0,-9999,-9999,200,89,56,350,360,89,103,1538
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070108,0,-9999,-9999,183,39,29,10,10,58,58,648
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070109,0,-9999,-9999,206,67,32,70,50,67,89,1157
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070110,0,-9999,-9999,233,78,38,160,170,98,116,1504
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070111,0,-9999,-9999,250,144,52,180,190,103,130,1312
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070112,0,-9999,-9999,272,189,62,190,190,125,143,1043
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070113,8,-9999,-9999,267,217,71,190,190,107,125,1633
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070114,0,-9999,-9999,278,217,78,190,210,130,148,1252
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070115,0,-9999,-9999,239,28,84,10,20,130,148,1421
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070116,3,-9999,-9999,44,17,79,360,350,107,125,1245
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070117,0,-9999,-9999,67,11,63,10,350,98,116,8
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070118,3,-9999,-9999,89,44,64,360,10,81,94,2234
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070119,23,-9999,-9999,89,78,68,360,10,103,116,1112
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070120,3,-9999,-9999,128,78,38,330,340,76,89,1016
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070121,13,-9999,-9999,194,100,33,90,80,54,63,2013
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070122,33,-9999,-9999,150,89,61,40,50,98,116,1313
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070123,15,-9999,-9999,94,61,85,350,340,116,139,1311
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070124,178,-9999,-9999,72,61,81,360,10,107,116,2235
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070125,0,-9999,-9999,178,67,47,10,360,89,103,854
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070126,0,-9999,-9999,211,83,38,160,160,81,98,1309
GHCND:USW00012904,HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT TX US,20070127,30,-9999,-9999,233,117,40,10,320,81,98,1402
