STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070101,0,0,0,72,22,46,300,300,80,103,1132,1156
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070102,0,0,0,117,11,29,50,50,80,103,847,901
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070103,0,0,0,133,-6,25,190,180,67,89,1103,1114
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070104,117,0,0,183,50,40,170,180,72,89,2253,2205
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070105,76,0,0,183,94,44,250,240,103,130,522,522
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070106,0,0,0,167,83,23,220,220,45,63,558,1026
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070107,114,0,0,189,78,47,170,170,103,134,903,910
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070108,0,0,0,89,28,41,310,320,72,89,444,438
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070109,0,0,0,106,6,49,310,310,125,156,1032,1033
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070110,0,0,0,94,-22,18,60,60,54,67,930,934
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070111,0,0,0,128,-11,48,160,150,103,125,1027,1028
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070112,0,0,0,172,100,42,140,160,72,89,1050,1013
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070113,0,0,0,217,122,42,190,200,76,94,1255,1257
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070114,0,0,0,217,139,41,170,180,72,89,1533,2248
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070115,61,0,0,172,56,41,300,310,98,112,1907,1908
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070116,0,0,0,56,-22,60,20,10,98,112,2039,2039
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070117,0,0,0,50,-28,31,10,10,89,98,47,15
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070118,0,0,0,67,28,35,300,300,76,98,2356,2359
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070119,0,0,0,94,17,34,300,300,76,98,2356,6
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070120,0,0,0,78,-17,20,130,140,72,98,2338,2358
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070121,328,0,0,89,56,38,150,140,107,130,510,435
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070122,0,0,0,83,28,39,320,310,72,89,2008,2009
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070123,0,0,0,39,6,18,350,340,54,63,57,238
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070124,0,0,0,89,-22,14,320,320,45,58,2031,2029
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070125,0,0,0,72,-17,33,340,340,76,98,1116,1143
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070126,0,0,0,100,-50,10,160,210,36,45,1404,1911
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070127,15,0,0,133,-17,27,240,240,63,72,1853,1849
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070128,0,0,0,67,-56,63,290,280,107,134,1535,1601
GHCND:USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US,20070129,0,0,0,44,-94,25,230,240,58,76,1410,1511
