STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013748,WILMINGTON INTERNATIONAL AIRPORT NC US,20070101,84,0,0,217,128,65,260,210,112,161,1403,1655
GHCND:USW00013748,WILMINGTON INTERNATIONAL AIRPORT NC US,20070102,0,0,0,144,33,28,360,360,80,103,1031,1034
GHCND:USW00013748,WILMINGTON INTERNATIONAL AIRPORT NC US,20070103,0,0,0,178,28,25,70,100,54,67,1202,1518
GHCND:USW00013748,WILMINGTON INTERNATIONAL AIRPORT NC US,20070104,5,0,0,206,78,13,170,180,63,72,1307,1420
GHCND:USW00013748,WILMINGTON INTERNATIONAL AIRPORT NC US,20070105,64,0,0,244,172,43,180,180,98,125,2321,2322
GHCND:USW00013748,WILMINGTON INTERNATIONAL AIRPORT NC US,20070106,206,0,0,222,117,51,180,180,156,179,226,226
GHCND:USW00013748,WILMINGTON INTERNATIONAL AIRPORT NC US,20070107,36,0,0,206,89,30,100,150,72,94,1742,1145
GHCND:USW00013748,WILMINGTON INTERNATIONAL AIRPORT NC US,20070108,142,0,0,222,83,61,210,220,125,156,547,547
GHCND:USW00013748,WILMINGTON INTERNATIONAL AIRPORT NC US,20070109,0,0,0,133,6,44,290,300,156,201,1718,1720
GHCND:USW00013748,WILMINGTON INTERNATIONAL AIRPORT NC US,20070110,0,0,0,94,-11,39,310,310,98,112,1109,1109
GHCND:USW00013748,WILMINGTON INTERNATIONAL AIRPORT NC US,20070111,0,0,0,122,-28,26,90,90,58,67,1314,1314
GHCND:USW00013748,WILMINGTON INTERNATIONAL AIRPORT NC US,20070112,0,0,0,211,44,15,170,130,40,54,1305,1543
GHCND:USW00013748,WILMINGTON INTERNATIONAL AIRPORT NC US,20070113,0,0,0,239,78,15,230,260,58,67,1432,1504
GHCND:USW00013748,WILMINGTON INTERNATIONAL AIRPORT NC US,20070114,0,0,0,233,83,22,230,230,76,89,1147,1148
GHCND:USW00013748,WILMINGTON INTERNATIONAL AIRPORT NC US,20070115,0,0,0,239,111,38,230,220,94,107,1424,1137
GHCND:USW00013748,WILMINGTON INTERNATIONAL AIRPORT NC US,20070116,10,0,0,200,72,49,10,10,98,125,1909,1911
GHCND:USW00013748,WILMINGTON INTERNATIONAL AIRPORT NC US,20070117,0,0,0,72,17,64,30,10,98,125,358,1004
GHCND:USW00013748,WILMINGTON INTERNATIONAL AIRPORT NC US,20070118,99,0,0,72,6,39,300,30,67,76,2358,2340
GHCND:USW00013748,WILMINGTON INTERNATIONAL AIRPORT NC US,20070119,0,0,0,128,39,50,280,290,80,94,1401,718
GHCND:USW00013748,WILMINGTON INTERNATIONAL AIRPORT NC US,20070120,0,0,0,100,-11,37,320,320,98,125,1103,1319
