STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20070101,3,0,0,78,6,67,270,260,116,139,459,543
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20070102,0,0,0,67,-28,26,190,180,45,54,2117,2352
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20070103,0,0,0,100,-11,45,210,210,98,112,1452,1455
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20070104,38,0,0,133,44,55,210,200,103,130,2244,2251
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20070105,203,0,0,139,94,34,220,210,107,130,14,15
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20070106,0,0,0,100,6,47,270,270,89,107,736,738
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20070107,36,0,0,50,0,31,250,270,72,89,2242,2356
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20070108,5,0,0,50,-17,77,290,280,161,197,20,21
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20070109,0,0,0,28,-33,72,300,300,130,161,1307,1305
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20070110,0,0,0,22,-72,38,290,300,89,103,5,2359
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20070111,8,0,0,100,-22,66,220,220,116,148,2357,2358
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20070112,140,0,0,133,89,63,210,210,130,156,45,28
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20070113,150,0,0,89,33,39,20,20,72,76,1208,1208
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20070114,257,0,0,44,28,40,60,20,63,72,1151,2252
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20070115,170,0,0,83,-22,65,290,280,116,143,327,333
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20070116,0,0,8,-22,-78,59,300,280,94,112,201,855
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20070117,0,0,0,0,-94,26,160,170,67,76,1458,1301
GHCND:USW00093819,INDIANAPOLIS INTERNATIONAL AIRPORT IN US,20070118,0,0,0,28,-33,61,270,260,130,156,2343,2256
