STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070101,0,76,0,-17,-117,30,310,310,54,67,124,133
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070102,0,76,0,6,-106,38,210,210,76,103,1718,1423
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070103,0,51,0,50,-39,42,220,210,89,107,1241,1211
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070104,38,51,0,28,-6,26,290,300,54,72,2245,2246
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070105,0,51,0,0,-33,37,290,290,72,103,2207,2208
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070106,0,51,0,-11,-50,43,170,160,80,103,2202,2151
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070107,25,51,53,-17,-94,51,270,280,98,134,1258,1306
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070108,0,76,0,-72,-150,30,290,290,72,94,1614,1609
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070109,0,76,0,-122,-222,41,300,330,98,130,353,1234
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070110,3,76,5,-50,-228,42,130,120,98,125,1409,1410
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070111,0,76,5,-50,-178,38,320,270,89,107,936,1751
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070112,0,76,0,-178,-294,28,360,10,67,80,235,236
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070113,0,76,0,-111,-300,32,220,220,76,98,1546,1547
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070114,0,76,0,-167,-222,25,10,10,54,63,459,457
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070115,0,76,0,-156,-278,18,10,20,54,63,925,926
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070116,0,51,0,-106,-300,30,200,190,89,125,2043,2044
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070117,0,51,0,-39,-117,46,210,210,80,98,1240,1002
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070118,5,76,10,-61,-144,40,310,300,107,134,1649,1649
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070119,0,76,0,-139,-228,30,290,320,67,89,149,445
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070120,0,76,0,-50,-189,37,180,170,80,103,1224,1232
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070121,0,76,0,-56,-122,17,330,330,54,63,1605,1607
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070122,0,51,0,-28,-122,41,280,290,76,107,2015,2016
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070123,0,51,0,-56,-222,32,330,330,89,107,247,247
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070124,5,76,18,-89,-228,22,330,330,67,94,1454,1503
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070125,0,76,0,-72,-267,22,170,160,63,80,2359,2351
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070126,0,76,0,-28,-106,42,310,300,94,112,1742,1757
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070127,0,76,5,-106,-222,55,350,350,94,116,1437,1243
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070128,3,76,3,-150,-300,20,170,160,40,54,2235,2115
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070129,3,76,13,-122,-200,36,10,10,72,94,1709,1710
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,20070130,0,76,0,-139,-250,31,240,240,63,80,1515,1517
