STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00004781,ISLIP LONG ISLAND MACARTHUR AIRPORT NY US,20070101,351,0,0,133,61,61,170,180,125,165,1025,1026
GHCND:USW00004781,ISLIP LONG ISLAND MACARTHUR AIRPORT NY US,20070102,0,0,0,106,-17,58,310,310,112,148,744,1237
GHCND:USW00004781,ISLIP LONG ISLAND MACARTHUR AIRPORT NY US,20070103,0,0,0,89,-28,41,240,240,107,134,1304,1304
GHCND:USW00004781,ISLIP LONG ISLAND MACARTHUR AIRPORT NY US,20070104,0,0,0,122,28,38,230,230,80,98,1344,1345
GHCND:USW00004781,ISLIP LONG ISLAND MACARTHUR AIRPORT NY US,20070105,15,0,0,133,83,50,220,190,80,107,2243,1032
GHCND:USW00004781,ISLIP LONG ISLAND MACARTHUR AIRPORT NY US,20070106,13,0,0,200,117,63,280,220,107,134,838,1908
GHCND:USW00004781,ISLIP LONG ISLAND MACARTHUR AIRPORT NY US,20070107,18,0,0,128,61,36,300,290,103,134,39,39
GHCND:USW00004781,ISLIP LONG ISLAND MACARTHUR AIRPORT NY US,20070108,495,0,0,128,33,64,280,270,112,161,1916,1922
GHCND:USW00004781,ISLIP LONG ISLAND MACARTHUR AIRPORT NY US,20070109,0,0,0,72,-6,53,240,250,107,148,1354,1357
GHCND:USW00004781,ISLIP LONG ISLAND MACARTHUR AIRPORT NY US,20070110,0,0,0,28,-22,64,290,320,116,156,1018,1404
GHCND:USW00004781,ISLIP LONG ISLAND MACARTHUR AIRPORT NY US,20070111,0,0,0,33,-56,36,230,220,72,94,2044,2103
GHCND:USW00004781,ISLIP LONG ISLAND MACARTHUR AIRPORT NY US,20070112,0,0,0,89,33,55,230,230,94,125,847,848
GHCND:USW00004781,ISLIP LONG ISLAND MACARTHUR AIRPORT NY US,20070113,18,0,0,117,50,31,20,230,58,67,1041,2307
GHCND:USW00004781,ISLIP LONG ISLAND MACARTHUR AIRPORT NY US,20070114,20,0,0,78,44,32,360,350,58,72,1818,1818
GHCND:USW00004781,ISLIP LONG ISLAND MACARTHUR AIRPORT NY US,20070115,15,0,0,117,39,31,210,190,63,80,2023,2108
GHCND:USW00004781,ISLIP LONG ISLAND MACARTHUR AIRPORT NY US,20070116,0,0,0,117,-44,67,300,310,107,143,1517,1651
GHCND:USW00004781,ISLIP LONG ISLAND MACARTHUR AIRPORT NY US,20070117,0,0,0,-28,-78,42,310,300,107,148,207,208
GHCND:USW00004781,ISLIP LONG ISLAND MACARTHUR AIRPORT NY US,20070118,46,0,0,39,-83,25,170,170,72,94,1140,1140
