STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070101,132,-9999,-9999,256,133,43,250,230,76,103,2212,2212
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070102,0,-9999,-9999,172,67,34,40,50,67,76,1811,1812
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070103,46,-9999,-9999,211,94,19,60,50,58,67,1507,1508
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070104,3,-9999,-9999,256,161,18,110,180,45,58,1503,1644
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070105,160,-9999,-9999,250,183,44,270,180,80,98,1343,2054
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070106,0,-9999,-9999,283,161,21,70,270,54,63,1235,1534
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070107,0,-9999,-9999,278,183,32,220,210,76,103,1425,1503
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070108,23,-9999,-9999,222,78,39,310,310,80,103,1125,1125
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070109,0,-9999,-9999,178,39,37,270,290,103,125,1546,1529
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070110,0,-9999,-9999,122,11,31,20,40,63,76,1021,1026
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070111,0,-9999,-9999,206,33,26,80,80,76,98,1227,1228
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070112,0,-9999,-9999,244,94,16,110,110,67,76,1250,1240
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070113,0,-9999,-9999,244,122,13,110,100,58,67,1513,1523
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070114,0,-9999,-9999,239,111,14,130,120,67,72,1218,1206
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070115,0,-9999,-9999,267,100,15,270,230,63,80,1520,1544
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070116,0,-9999,-9999,267,117,35,340,280,89,107,1428,1931
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070117,23,-9999,-9999,139,94,64,50,40,112,143,1132,1105
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070118,0,-9999,-9999,100,61,32,40,30,67,89,118,129
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070119,0,-9999,-9999,172,83,29,300,320,58,67,1224,1325
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070120,0,-9999,-9999,144,50,29,40,60,63,80,1308,1637
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070121,0,-9999,-9999,239,50,27,150,150,76,98,1126,1202
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070122,18,-9999,-9999,250,139,36,240,350,76,98,1736,1338
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070123,0,-9999,-9999,139,78,25,320,310,63,89,443,445
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070124,28,-9999,-9999,150,61,17,320,340,36,45,1723,1412
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070125,97,-9999,-9999,144,44,32,290,290,80,94,1423,1424
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070126,0,-9999,-9999,144,-6,17,100,340,45,72,-9999,1237
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070127,0,-9999,-9999,206,-6,14,90,120,63,76,-9999,1557
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070128,61,-9999,-9999,167,72,56,360,360,130,143,251,252
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070129,0,-9999,-9999,100,-22,26,320,320,89,112,58,59
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070130,0,-9999,-9999,122,-22,19,250,240,67,72,1623,1623
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070131,0,-9999,-9999,139,39,26,100,90,67,80,1603,1523
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070201,587,-9999,-9999,244,44,43,190,200,98,116,2004,2004
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070202,15,-9999,-9999,244,117,43,270,230,89,103,1349,1321
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070203,0,-9999,-9999,117,56,35,320,320,63,76,1141,1310
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070204,0,-9999,-9999,150,44,17,330,330,40,45,1518,1518
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070205,0,-9999,-9999,133,50,26,340,330,63,72,1309,1321
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070206,0,-9999,-9999,156,11,21,120,10,54,63,856,1732
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070207,0,-9999,-9999,217,22,37,280,270,94,107,1258,1339
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070208,0,-9999,-9999,228,67,22,290,290,67,80,1453,1453
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070209,0,-9999,-9999,217,61,19,290,300,63,80,1541,1542
GHCND:USW00013889,JACKSONVILLE INTERNATIONAL AIRPORT FL US,20070210,0,-9999,-9999,167,39,28,330,300,72,89,1504,1519
