STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070101,8,0,0,89,-17,60,230,220,130,161,213,213
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070102,0,0,0,50,-39,35,210,220,67,94,2326,2333
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070103,0,0,0,89,0,64,220,210,116,148,1309,1310
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070104,127,0,0,100,28,70,180,180,116,156,1953,2004
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070105,23,0,0,94,61,31,220,220,89,116,145,145
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070106,15,0,0,72,6,47,260,280,103,134,1311,1558
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070107,18,0,0,22,-22,31,160,160,80,103,1406,1406
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070108,13,25,18,6,-17,69,260,270,125,148,1426,1346
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070109,0,0,0,0,-56,49,290,280,103,139,1832,1829
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070110,0,0,0,-17,-72,42,170,160,80,112,2137,2243
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070111,3,0,0,56,-17,77,210,200,116,148,1553,2054
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070112,56,0,0,83,11,42,210,220,89,116,31,37
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070113,3,0,0,11,-33,35,360,350,67,80,531,337
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070114,79,0,20,-11,-33,33,70,80,63,76,2323,2323
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070115,140,51,56,-11,-61,38,40,40,67,89,848,849
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070116,0,76,5,-61,-139,24,20,20,58,72,1156,1159
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070117,0,76,0,-39,-156,33,230,230,80,103,1325,1342
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070118,5,76,13,-11,-72,44,230,210,72,98,1145,2202
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070119,13,102,28,-22,-100,60,290,280,112,148,452,518
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070120,0,102,0,-44,-128,24,280,280,54,67,205,213
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070121,25,76,20,-39,-89,34,130,140,72,98,933,1107
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070122,0,76,0,-22,-67,26,220,230,63,76,2359,2359
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070123,0,76,3,-22,-39,54,260,250,107,139,430,349
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070124,3,76,20,-33,-67,18,360,350,54,63,1417,1420
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070125,0,102,0,-67,-183,30,320,320,76,103,1403,1400
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070126,0,102,0,39,-144,47,210,210,103,139,1607,1607
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070127,0,76,3,39,-67,43,270,270,98,112,1541,1541
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070128,0,76,3,-56,-150,23,10,360,72,89,1607,1548
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070129,3,76,5,-72,-150,44,220,220,94,112,1223,1223
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070130,10,102,30,-56,-122,30,270,260,89,98,1409,1311
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070131,0,127,0,-61,-117,58,260,240,103,116,1313,1050
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070201,3,127,13,-44,-94,54,240,220,94,112,1442,1503
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070202,0,127,3,-61,-144,67,250,260,139,174,1451,1422
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070203,13,127,23,-100,-172,78,260,250,165,210,1346,1347
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070204,8,127,8,-156,-217,49,260,260,125,148,1524,1524
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070205,0,127,0,-128,-222,47,270,250,107,134,1450,1456
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070206,0,127,0,-122,-200,34,230,230,54,67,1539,1306
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070207,0,102,0,-78,-172,54,260,270,107,130,1236,1532
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070208,0,102,0,-72,-144,68,250,260,130,156,1627,1539
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070209,0,102,8,-61,-139,41,260,260,76,94,1549,1630
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070210,0,102,3,-67,-117,51,270,260,98,116,2116,2117
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070211,0,76,0,-50,-133,60,250,230,103,139,1352,1400
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070212,23,76,23,-44,-94,34,60,40,67,89,2101,2154
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070213,18,102,28,-89,-122,69,30,20,107,139,1935,2225
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070214,10,127,15,-89,-172,48,350,350,89,125,414,2008
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070215,0,127,0,-83,-189,38,260,260,94,112,1526,1527
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070216,0,127,0,-67,-139,57,250,240,107,125,1305,1228
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070217,0,127,3,-33,-128,41,310,220,67,94,154,2027
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070218,8,127,20,-61,-144,38,290,320,76,107,1112,1448
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070219,0,127,0,50,-128,62,200,190,112,143,1657,1415
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070220,0,102,0,39,-44,25,240,240,63,80,119,139
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070221,0,102,0,56,-72,30,200,190,76,98,2258,2356
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070222,0,76,0,28,-61,76,310,320,139,201,1339,1341
GHCND:USW00014836,LANSING CAPITAL CITY AIRPORT MI US,20070223,0,51,0,-39,-106,30,50,330,58,80,35,1252
