STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070101,0,0,0,156,17,42,350,360,107,143,1146,1241
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070102,0,0,0,161,39,21,20,20,80,94,7,7
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070103,0,0,0,156,61,16,70,90,36,45,1439,1211
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070104,0,0,0,200,28,37,220,230,112,139,2003,2003
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070105,15,0,0,100,39,95,340,340,148,192,1235,955
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070106,0,0,0,89,-6,34,360,340,98,134,16,407
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070107,0,0,0,133,33,38,40,30,98,116,954,959
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070108,0,0,0,172,22,17,340,340,45,54,910,911
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070109,0,0,0,183,39,19,200,200,45,45,2234,2232
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070110,0,0,0,150,50,12,100,100,67,76,2241,2241
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070111,0,0,0,172,78,73,190,240,130,170,2147,1813
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070112,0,0,0,72,-17,57,330,340,116,143,715,716
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070113,0,0,0,22,-33,51,340,320,80,112,1535,1606
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070114,0,0,0,39,-50,25,60,60,72,80,2312,2353
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070115,0,0,0,72,-33,43,50,40,80,98,1444,1508
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070116,0,0,0,94,-39,20,40,30,58,72,1445,1447
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070117,0,0,0,100,-22,23,20,20,63,80,1210,1235
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070118,0,0,0,139,-11,38,50,40,98,112,1536,1539
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070119,0,0,0,133,6,22,40,40,76,76,1630,1630
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070120,0,0,0,122,-6,20,10,10,72,76,2233,2234
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070121,0,0,0,100,39,72,20,20,139,170,1305,1408
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070122,0,0,0,133,22,37,10,10,125,134,49,42
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070123,0,0,0,150,17,16,60,70,40,54,1114,1115
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070124,0,0,0,178,28,16,270,180,40,54,236,346
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070125,0,0,0,178,39,14,250,70,31,40,1244,1908
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070126,0,0,0,167,39,17,250,250,36,40,2015,2016
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070127,0,0,0,172,33,22,200,200,58,67,1920,1920
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070128,0,0,0,167,44,19,20,20,54,63,1500,1502
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070129,0,0,0,167,50,15,200,20,36,40,1427,2235
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070130,0,0,0,144,50,16,80,60,36,40,1227,1153
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070131,0,0,0,172,61,28,20,30,103,112,1621,1850
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070201,0,0,0,139,17,21,40,50,63,72,2313,2309
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070202,0,0,0,122,22,16,60,100,36,45,221,1100
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070203,0,0,0,156,11,10,260,70,36,36,1442,446
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070204,0,0,0,206,33,13,220,260,36,36,2250,226
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070205,0,0,0,228,78,22,30,20,63,76,1302,1334
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070206,0,0,0,211,83,17,250,70,40,45,1440,247
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070207,0,0,0,211,89,24,80,160,54,58,2303,1640
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070208,0,0,0,211,117,26,50,50,80,80,1738,1738
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070209,0,0,0,211,117,23,190,190,58,72,114,115
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070210,0,0,0,200,111,19,270,270,40,54,1945,1311
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070211,0,0,0,206,122,51,230,240,112,139,1427,1427
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070212,0,0,0,189,78,31,200,190,63,76,1934,2048
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070213,36,0,0,161,72,41,350,340,98,134,1832,1853
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070214,0,0,0,161,78,57,340,330,103,139,956,1026
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070215,0,0,0,178,44,21,340,90,58,63,1523,509
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070216,0,0,0,233,89,36,10,340,94,112,1120,1242
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070217,0,0,0,222,111,33,40,50,80,98,1202,1305
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070218,0,0,0,222,100,22,230,240,58,72,1638,1639
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070219,5,0,0,161,61,44,10,340,112,148,1533,1602
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070220,0,0,0,144,33,24,60,60,58,67,1533,1511
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070221,0,0,0,189,56,25,30,10,76,80,1557,1224
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070222,0,0,0,211,67,47,230,210,103,143,1453,1538
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070223,0,0,0,139,61,56,280,320,112,161,1411,1449
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070224,0,0,0,128,44,23,330,340,103,125,18,5
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070225,0,0,0,200,44,52,230,250,134,219,1911,1939
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070226,0,0,0,189,78,57,230,240,139,174,1607,1607
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070227,0,0,0,161,72,82,250,240,134,174,1425,1233
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070228,0,0,0,122,44,40,290,290,116,148,1235,1236
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070301,0,0,0,139,17,27,90,320,58,80,1535,1758
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,20070302,0,0,0,156,44,47,10,330,103,130,1433,1024
