STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20070101,0,-9999,-9999,172,72,22,300,310,58,89,1450,1451
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20070102,0,-9999,-9999,211,67,14,280,290,58,67,1321,1321
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20070103,0,-9999,-9999,189,94,17,320,280,67,107,1304,1258
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20070104,3,-9999,-9999,156,117,37,290,280,125,156,2027,2028
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20070105,0,-9999,-9999,178,83,68,10,360,161,219,240,242
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20070106,0,-9999,-9999,167,44,24,270,280,67,80,1549,1549
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20070107,0,-9999,-9999,239,61,19,220,220,63,76,1326,1326
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20070108,0,-9999,-9999,289,89,18,10,330,54,80,1606,1831
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20070109,0,-9999,-9999,283,133,23,280,290,58,67,1522,1541
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20070110,0,-9999,-9999,194,106,18,270,120,54,58,2238,1536
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20070111,0,-9999,-9999,150,106,38,280,270,76,98,1334,2148
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20070112,0,-9999,-9999,122,61,49,290,330,89,125,1029,1534
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20070113,0,-9999,-9999,133,44,31,340,330,76,98,1538,1539
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20070114,0,-9999,-9999,122,17,22,280,360,45,67,1847,1305
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20070115,0,-9999,-9999,139,17,17,240,240,63,80,1334,1335
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20070116,0,-9999,-9999,156,33,22,280,260,63,80,1422,1322
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20070117,20,-9999,-9999,133,56,23,130,330,45,80,2206,1248
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20070118,0,-9999,-9999,189,33,15,290,320,67,80,2312,1221
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20070119,0,-9999,-9999,228,56,39,250,250,103,112,1309,1244
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20070120,0,-9999,-9999,150,72,22,150,150,54,63,1416,1418
