STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070101,0,0,0,67,-44,43,120,130,63,76,1239,1551
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070102,0,0,0,67,-39,23,170,170,45,54,2317,2319
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070103,0,0,0,100,-22,47,200,200,94,107,1516,1516
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070104,0,0,0,194,6,55,270,270,103,112,1051,1107
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070105,0,0,0,200,0,73,20,10,139,174,2249,2250
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070106,0,0,0,78,0,50,30,30,130,148,2358,2357
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070107,0,0,0,83,-22,64,360,20,134,174,1035,1051
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070108,0,0,0,172,-22,51,290,290,89,98,1011,1010
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070109,0,0,0,117,-22,48,110,140,89,107,1233,1105
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070110,0,0,0,172,22,79,210,200,107,130,1437,1440
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070111,0,0,0,233,83,81,220,230,143,174,1418,1337
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070112,0,0,0,111,-56,63,50,40,94,107,954,1918
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070113,3,0,3,-33,-61,35,40,30,72,76,206,123
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070114,3,0,3,-33,-83,36,20,20,76,76,1858,1857
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070115,0,0,0,-22,-106,46,350,350,103,103,952,952
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070116,0,0,0,0,-78,27,180,180,40,45,2125,2217
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070117,0,0,0,28,-39,55,210,240,94,103,2057,1942
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070118,0,0,0,83,-17,55,30,30,116,139,1542,1543
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070119,109,25,41,0,-17,31,130,120,67,76,2257,2344
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070120,163,25,69,22,-11,53,230,240,134,161,2341,2342
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070121,0,76,0,22,-50,57,230,230,130,148,43,41
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070122,0,25,0,0,-61,44,360,360,89,103,559,444
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070123,0,25,0,50,-67,37,320,320,63,67,519,519
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070124,0,0,0,94,-28,41,10,10,67,76,1715,1717
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070125,0,0,0,117,-33,25,330,250,45,58,1437,339
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070126,3,0,0,100,-22,39,190,180,103,116,1313,1327
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070127,0,0,0,50,-22,55,20,360,112,143,1003,1347
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070128,0,0,0,67,-28,40,250,250,76,94,1428,1442
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070129,0,0,0,100,-11,47,20,20,80,94,1744,1745
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070130,0,0,0,44,-44,55,130,130,98,103,2209,2209
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070131,5,0,3,139,-22,74,20,10,112,130,2205,2155
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070201,20,0,25,33,-28,36,20,20,89,103,29,100
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070202,25,51,43,0,-67,41,20,10,89,98,552,551
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070203,0,0,0,139,-56,43,330,330,80,98,1313,1314
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070204,0,0,0,100,-44,39,30,30,89,107,826,826
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070205,0,0,0,178,-44,30,180,180,63,72,1717,1718
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070206,0,0,0,250,6,45,230,240,103,116,1413,1359
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070207,0,0,0,228,-6,50,50,50,103,116,1800,1747
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070208,0,0,0,72,-17,35,10,10,76,89,12,12
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070209,0,0,0,17,-22,34,40,40,76,89,249,250
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070210,0,0,0,50,-17,46,160,150,72,80,2348,2348
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070211,0,0,0,167,6,57,190,180,94,107,2333,2334
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070212,5,0,0,211,28,89,270,260,165,206,1447,1447
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070213,0,0,0,50,-50,84,10,360,139,170,446,506
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070214,41,25,56,-39,-94,47,30,20,72,89,148,147
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070215,0,0,0,6,-122,26,150,310,58,72,1524,2307
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070216,0,0,0,211,-67,74,10,20,174,201,2008,2008
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070217,0,0,0,133,-11,55,360,360,116,148,1223,1212
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070218,0,0,0,172,-44,67,190,200,134,148,1607,1607
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070219,0,0,0,233,0,67,250,250,130,161,1253,1245
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070220,0,0,0,189,39,81,280,270,156,183,1112,1114
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070221,0,0,0,239,-17,35,280,220,72,80,2043,942
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070222,0,0,0,244,-11,49,190,180,107,130,1414,1441
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070223,0,0,0,256,67,83,210,210,143,165,1718,1718
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070224,0,0,0,150,-11,109,290,280,250,286,1016,1026
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070225,0,0,0,172,-50,60,210,200,125,148,1547,1548
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070226,0,0,0,228,22,67,310,300,125,148,1018,1051
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070227,0,0,0,244,-17,57,240,210,116,139,1440,1228
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070228,0,0,0,239,72,97,230,230,192,259,1704,1614
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070301,0,0,0,133,-11,68,290,290,143,210,1539,1702
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070302,0,0,0,144,-61,50,40,40,161,183,2328,2329
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070303,0,0,0,89,-33,75,360,360,143,174,945,959
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070304,0,0,0,150,-78,30,280,270,72,94,1308,1309
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070305,0,0,0,194,-56,49,210,210,98,107,1216,1216
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070306,0,0,0,228,44,47,200,230,94,130,1512,1439
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070307,0,0,0,222,0,43,210,200,80,98,0,1
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070308,0,0,0,239,17,50,210,200,103,116,1531,1419
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070309,0,0,0,239,56,46,10,10,125,156,1010,1013
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070310,0,0,0,267,50,66,190,360,116,143,2359,1344
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070311,185,0,0,183,94,71,20,30,183,219,19,16
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070312,483,0,0,128,94,64,40,40,116,139,1034,1036
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070313,0,0,0,172,61,36,210,210,72,80,1602,1604
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070314,0,0,0,233,61,24,110,30,45,58,1319,2258
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070315,0,0,0,233,78,57,20,10,139,170,2357,1654
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070316,0,0,0,144,61,47,20,10,134,170,2357,2358
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070317,0,0,0,267,61,39,240,240,89,98,928,928
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070318,0,0,0,267,94,59,170,160,107,125,1550,1558
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070319,0,0,0,261,111,48,30,30,103,125,1921,1921
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070320,0,0,0,250,150,65,170,190,125,143,2245,2217
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070321,5,0,0,283,133,73,200,190,161,192,2044,2045
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070322,13,0,0,183,139,53,150,160,103,112,951,950
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070323,5,0,0,222,167,73,160,160,134,161,2341,2342
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070324,236,0,0,217,117,51,300,280,130,139,51,51
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070325,338,0,0,189,122,40,310,310,98,112,1758,1800
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070326,5,0,0,167,111,31,160,160,80,94,118,119
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070327,0,0,0,228,100,42,160,170,76,94,1738,1749
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070328,173,0,0,261,72,97,280,280,156,215,2230,2231
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070329,0,0,0,183,56,40,270,270,76,98,1351,1456
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070330,66,0,0,106,50,72,60,50,130,148,1108,1112
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070331,0,0,0,183,17,47,270,270,94,103,1137,943
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070401,0,0,0,250,56,41,260,210,94,107,1601,1319
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070402,0,0,0,289,117,65,210,200,107,134,2211,2223
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070403,0,0,0,228,89,62,20,30,125,143,937,939
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070404,0,0,0,156,44,64,60,70,103,130,753,755
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070405,0,0,0,150,61,60,140,140,94,112,919,920
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070406,0,0,0,61,-11,68,50,50,98,116,1522,1538
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070407,33,25,48,-6,-33,44,30,30,89,98,408,408
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070408,0,25,0,17,-22,46,140,160,72,80,1431,1931
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070409,53,0,0,94,11,51,140,140,80,98,2157,2159
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070410,0,0,0,256,61,91,270,270,197,237,1556,1556
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070411,0,0,0,189,17,34,110,320,76,103,1447,2352
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070412,10,0,0,233,67,86,120,120,143,174,853,917
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070413,23,0,0,167,22,79,260,200,161,206,1446,1700
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070414,0,0,0,144,17,66,350,350,143,179,117,117
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070415,0,0,0,233,33,53,140,160,116,148,1525,1709
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070416,0,0,0,206,39,73,140,160,130,161,913,1610
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070417,76,0,0,183,83,38,310,310,125,170,1405,1405
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070418,0,0,0,217,56,42,140,140,94,107,2331,2341
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070419,0,0,0,272,83,35,180,180,80,98,2355,2356
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070420,0,0,0,278,89,67,140,140,125,143,1825,1752
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070421,30,0,0,261,122,93,160,170,183,219,1915,1848
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070422,0,0,0,250,89,45,280,290,89,112,934,920
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070423,0,0,0,289,117,65,140,120,130,161,2336,2238
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070424,0,0,0,244,100,82,270,250,139,179,1515,1656
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070425,0,0,0,200,83,95,340,340,165,201,1150,1137
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070426,0,0,0,233,39,39,110,100,94,98,1826,1826
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070427,0,0,0,267,83,36,60,60,72,94,2243,2323
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070428,0,0,0,267,122,50,120,120,80,107,1614,1615
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070429,86,0,0,222,111,39,190,180,161,197,1215,1217
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070430,0,0,0,217,117,35,210,70,98,125,28,56
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070501,0,0,0,267,111,33,60,80,72,112,1451,1808
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070502,48,0,0,211,122,44,30,30,148,174,1332,1331
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070503,0,0,0,272,100,37,230,210,89,112,1750,1737
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070504,0,0,0,317,156,83,180,180,139,174,1654,1655
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070505,0,0,0,306,206,89,180,170,148,183,1424,1425
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070506,10,0,0,283,133,46,180,180,130,170,31,31
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070507,10,0,0,239,106,43,30,30,80,98,1718,1718
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070508,500,0,0,161,100,54,50,60,112,143,1550,1551
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070509,150,0,0,156,117,22,300,270,80,94,1601,931
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070510,3,0,0,250,128,30,60,60,80,107,1749,1751
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070511,0,0,0,261,117,36,60,40,67,94,1417,1556
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070512,0,0,0,267,128,25,70,80,58,67,1430,1205
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070513,0,0,0,267,139,30,140,170,67,89,1544,1809
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070514,0,0,0,289,150,56,170,180,98,130,1414,1518
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070515,13,0,0,217,139,58,30,30,116,148,1156,1135
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070516,0,0,0,206,100,31,70,90,63,80,1102,1129
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070517,5,0,0,194,111,38,160,170,76,98,1509,1726
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070518,353,0,0,156,106,51,150,150,98,116,1451,1452
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070519,0,0,0,194,122,48,160,170,76,94,1849,1851
GHCND:USW00023042,LUBBOCK INTERNATIONAL AIRPORT TX US,20070520,0,0,0,239,139,53,200,200,103,143,2342,2343
