STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070101,0,-9999,-9999,144,39,39,10,340,72,80,1726,915
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070102,0,-9999,-9999,128,17,23,80,80,67,76,930,930
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070103,0,-9999,-9999,128,33,32,70,70,63,72,2009,2010
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070104,704,-9999,-9999,189,128,43,150,150,116,139,917,918
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070105,0,-9999,-9999,194,117,30,220,240,76,103,1340,1423
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070106,53,-9999,-9999,222,156,28,60,70,72,80,1038,959
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070107,170,-9999,-9999,189,100,43,340,340,80,98,1522,1523
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070108,0,-9999,-9999,156,44,22,340,330,45,58,1547,1517
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070109,0,-9999,-9999,200,28,34,30,40,76,94,1306,1306
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070110,0,-9999,-9999,144,33,35,150,150,72,89,1425,1635
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070111,0,-9999,-9999,217,161,60,150,150,98,125,1526,1530
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070112,0,-9999,-9999,239,150,48,160,160,80,98,1458,1459
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070113,0,-9999,-9999,244,189,63,150,140,94,116,1114,1114
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070114,0,-9999,-9999,244,194,57,180,170,89,107,1338,1404
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070115,140,-9999,-9999,211,22,62,350,360,103,134,2058,2132
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070116,0,-9999,-9999,39,0,77,10,20,107,134,522,1441
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070117,0,-9999,-9999,39,0,49,30,40,94,107,15,16
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070118,119,-9999,-9999,72,28,33,40,30,58,76,2211,2230
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070119,10,-9999,-9999,100,61,58,50,50,80,98,2123,2123
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070120,0,-9999,-9999,133,61,59,130,140,94,112,2323,2229
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070121,318,-9999,-9999,161,100,15,150,150,98,112,108,109
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070122,0,-9999,-9999,111,83,38,30,30,72,80,2319,1647
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070123,61,-9999,-9999,83,56,45,30,30,76,98,254,255
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070124,99,-9999,-9999,78,56,24,360,360,45,58,1636,1157
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070125,0,-9999,-9999,167,33,31,10,20,63,76,1615,1635
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070126,0,-9999,-9999,139,6,21,160,160,54,63,1534,1535
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070127,318,-9999,-9999,139,67,31,90,90,94,107,1402,1402
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070128,0,-9999,-9999,117,17,51,20,30,98,130,643,644
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070129,0,-9999,-9999,100,-17,27,100,130,63,72,946,952
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070130,130,-9999,-9999,78,39,47,60,50,76,94,926,1231
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070131,112,-9999,-9999,78,28,47,80,70,72,80,1449,1449
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070201,15,-9999,-9999,89,39,32,30,330,63,72,2213,1402
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070202,0,-9999,-9999,72,6,38,330,330,72,89,836,837
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070203,0,-9999,-9999,89,-11,19,80,120,40,54,1152,1207
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070204,0,-9999,-9999,139,11,11,150,140,40,45,937,942
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070205,0,-9999,-9999,161,11,14,80,100,54,63,1205,1135
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070206,0,-9999,-9999,183,11,26,190,160,63,76,1546,1608
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070207,0,-9999,-9999,211,67,27,210,210,67,80,1530,1532
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070208,0,-9999,-9999,217,100,22,210,200,58,72,1548,1617
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070209,0,-9999,-9999,122,56,44,30,30,80,94,2022,2022
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070210,0,-9999,-9999,111,22,45,50,60,94,103,1201,1202
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070211,0,-9999,-9999,128,39,32,140,80,54,63,1317,1616
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070212,5,-9999,-9999,206,72,63,130,160,116,143,1616,1910
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070213,3,-9999,-9999,189,56,66,330,360,103,116,2158,1342
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070214,0,-9999,-9999,72,11,56,30,20,107,134,322,323
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070215,0,-9999,-9999,94,-6,52,20,30,89,107,1106,708
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070216,0,-9999,-9999,61,-28,30,350,330,67,80,122,113
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070217,0,-9999,-9999,178,6,51,310,320,112,143,1550,1551
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070218,0,-9999,-9999,139,28,29,50,20,67,89,815,909
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070219,0,-9999,-9999,189,17,43,200,220,94,130,1340,1421
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070220,0,-9999,-9999,206,150,38,210,210,76,94,1151,1151
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070221,58,-9999,-9999,211,117,35,160,170,80,103,814,816
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070222,0,-9999,-9999,244,100,12,150,150,58,67,1439,1440
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070223,0,-9999,-9999,239,94,55,150,150,125,143,2245,2241
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070224,89,-9999,-9999,211,144,64,190,200,112,161,1634,1630
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070225,0,-9999,-9999,217,78,27,330,330,80,103,839,840
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070226,0,-9999,-9999,217,44,26,210,220,80,98,1411,1410
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070227,0,-9999,-9999,250,100,24,200,200,58,72,1521,1605
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070228,0,-9999,-9999,233,144,45,160,170,89,103,2254,1342
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070301,36,-9999,-9999,256,106,52,330,300,112,130,1543,1159
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070302,0,-9999,-9999,194,50,17,210,210,54,72,1507,1720
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070303,0,-9999,-9999,200,50,33,340,340,89,103,2346,2346
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070304,0,-9999,-9999,150,28,43,340,20,80,98,811,2357
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070305,0,-9999,-9999,178,-11,16,220,340,54,63,1325,1727
GHCND:USW00003937,LAKE CHARLES REGIONAL AIRPORT LA US,20070306,0,-9999,-9999,189,22,17,220,240,63,76,1420,1612
