STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070101,3,0,0,94,17,47,280,280,98,139,1218,1219
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070102,0,0,0,72,6,13,150,270,36,45,2356,2229
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070103,0,0,0,117,-28,37,210,220,72,94,1339,1401
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070104,8,0,0,172,39,43,190,190,72,89,1355,1356
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070105,152,0,0,189,128,49,180,180,107,134,925,925
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070106,0,0,0,128,39,38,280,290,80,112,1519,1519
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070107,157,0,0,78,28,35,100,270,67,103,2349,1330
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070108,3,0,0,61,0,52,300,290,134,170,406,406
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070109,0,0,0,56,-22,60,310,290,125,156,1633,1318
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070110,0,0,0,33,-56,26,160,160,58,67,2346,2349
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070111,0,0,0,106,-22,60,200,190,98,125,2313,1150
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070112,18,0,0,150,83,67,210,200,103,143,205,513
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070113,249,0,0,144,122,43,200,200,80,112,715,856
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070114,13,0,0,161,128,37,220,220,80,107,1203,1203
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070115,150,0,0,178,17,61,210,210,112,148,628,610
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070116,0,0,0,11,-50,47,300,310,76,112,201,300
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070117,0,0,0,11,-78,30,100,90,63,80,1339,1428
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070118,0,0,0,56,-11,53,250,260,89,125,2350,2335
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070119,0,0,0,44,-22,49,300,300,107,134,234,222
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070120,0,0,0,33,-67,18,80,70,45,58,2336,2337
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070121,99,0,0,56,-11,43,140,140,72,98,1122,1011
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070122,0,0,0,56,-6,37,290,300,76,98,2116,2120
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070123,0,0,0,6,-39,40,220,230,76,94,1413,1546
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070124,5,0,3,28,-22,30,300,290,45,67,1425,2330
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070125,0,0,3,6,-67,38,320,290,89,112,1412,1043
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070126,0,0,0,61,-89,45,210,210,98,116,1608,1555
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070127,0,0,0,117,-17,67,230,230,98,125,1049,1050
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070128,0,0,5,-6,-111,60,290,300,103,134,1755,1756
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070129,0,0,0,-17,-122,44,220,220,94,116,1716,1418
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070130,0,0,0,-6,-111,58,300,310,112,139,1057,1058
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070131,0,0,0,-22,-128,17,180,320,54,67,2358,1423
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070201,0,0,0,-6,-39,14,230,230,58,76,351,401
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070202,30,25,56,-22,-106,34,280,290,76,98,2003,1917
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070203,0,51,0,-11,-133,54,250,270,116,165,1509,1543
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070204,3,25,18,-61,-117,41,250,270,89,112,1309,1608
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070205,0,25,10,-83,-172,29,320,320,76,98,38,40
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070206,13,25,8,-44,-144,26,130,140,67,89,1545,1619
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070207,0,0,0,-50,-89,26,350,340,58,72,648,645
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070208,0,0,0,-39,-117,22,310,310,54,67,447,449
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070209,0,0,0,-22,-117,16,290,60,40,80,1602,1544
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070210,0,0,0,-22,-106,17,310,320,54,67,1245,1246
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070211,0,0,0,6,-117,20,190,210,40,54,1312,1415
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070212,71,0,0,56,-33,31,130,130,58,72,129,151
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070213,226,0,0,33,-28,47,320,320,94,112,2338,2333
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070214,0,0,13,-28,-106,54,320,320,98,139,454,437
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070215,0,0,0,-39,-133,15,310,300,58,76,1557,1558
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070216,0,0,0,-33,-144,36,190,230,63,89,1500,2238
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070217,18,0,46,-11,-61,51,320,220,103,139,605,2155
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070218,0,51,0,-33,-106,40,290,290,94,125,1258,1259
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070219,0,25,0,89,-89,59,210,200,134,161,1346,1320
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070220,84,0,0,133,56,63,200,220,112,134,1354,1346
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070221,0,0,0,100,39,14,20,20,45,63,1542,1619
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070222,0,0,0,111,-17,55,310,310,116,161,1606,1544
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070223,0,0,0,56,-44,22,70,70,54,67,2356,2359
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070224,165,0,0,67,-33,60,110,110,116,148,2355,2344
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070225,18,0,0,139,33,70,120,120,134,170,449,451
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070226,0,0,0,83,0,42,220,210,76,134,1017,1907
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070227,0,0,0,89,-44,20,260,240,63,94,1513,1515
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070228,0,0,0,128,-28,42,130,140,80,170,2241,2217
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070301,203,0,0,133,83,76,200,200,148,197,737,740
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070302,0,0,0,128,17,83,240,240,170,237,1610,1637
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070303,0,0,0,72,-33,58,250,250,125,165,956,952
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070304,0,0,0,6,-67,45,310,290,76,103,1102,1103
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070305,0,0,0,122,-44,49,300,290,94,116,1740,1505
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070306,0,0,0,39,-67,28,60,10,63,80,141,813
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070307,0,0,0,172,-22,43,10,10,76,112,1526,1433
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070308,0,0,0,117,-56,29,110,80,54,98,1608,2334
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070309,0,0,0,222,0,43,220,230,94,130,1222,1506
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070310,20,0,0,139,72,38,300,210,94,130,1119,1119
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070311,0,0,0,144,17,27,80,340,72,148,821,1025
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070312,0,0,0,200,17,30,180,140,54,89,739,1736
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070313,0,0,0,261,111,50,220,230,98,116,1506,1507
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070314,20,0,0,239,139,47,240,220,94,156,736,1150
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070315,28,0,0,156,22,47,50,50,80,107,1612,1613
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070316,0,0,0,39,-22,41,320,320,89,112,1538,1540
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070317,0,0,0,61,-44,39,290,320,80,107,1421,1719
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070318,0,0,0,72,-50,18,130,140,45,63,1025,2349
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070319,76,0,0,167,0,61,210,210,130,156,1157,1157
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070320,15,0,0,161,111,24,220,220,45,130,105,105
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070321,0,0,0,239,111,51,210,320,103,148,921,1351
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070322,0,0,0,211,128,60,220,220,134,179,921,937
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070323,0,0,0,250,133,42,230,240,98,130,1112,1039
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070324,0,0,0,267,150,26,240,210,76,130,642,1136
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070325,0,0,0,278,122,27,140,200,67,112,754,648
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070326,0,0,0,267,161,32,250,260,67,125,1029,1029
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070327,0,0,0,267,150,21,230,230,58,80,632,933
GHCND:USW00093820,LEXINGTON BLUEGRASS AIRPORT KY US,20070328,241,0,0,211,150,34,40,300,98,148,1133,138
