STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070101,0,-9999,-9999,133,50,39,30,350,67,89,1356,1627
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070102,0,-9999,-9999,133,22,22,20,20,45,54,1652,1701
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070103,0,-9999,-9999,133,44,22,80,90,45,63,2333,2306
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070104,673,-9999,-9999,217,133,41,160,150,116,148,1212,1211
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070105,0,-9999,-9999,228,122,32,210,210,80,107,1527,1530
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070106,3,-9999,-9999,239,172,23,10,10,63,72,1040,1041
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070107,147,-9999,-9999,222,111,45,340,310,76,94,1920,1622
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070108,0,-9999,-9999,156,56,25,20,20,67,80,937,938
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070109,0,-9999,-9999,206,44,30,340,340,80,103,1507,1606
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070110,0,-9999,-9999,161,67,26,100,110,58,72,937,930
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070111,0,-9999,-9999,206,100,38,140,160,76,107,1445,1500
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070112,33,-9999,-9999,228,178,31,140,150,76,107,1159,1200
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070113,0,-9999,-9999,250,189,36,170,160,76,98,1425,1216
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070114,0,-9999,-9999,250,194,45,170,160,89,107,1353,1251
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070115,127,-9999,-9999,217,61,59,350,20,94,125,2148,2236
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070116,53,-9999,-9999,61,17,75,360,10,103,134,541,1404
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070117,0,-9999,-9999,56,17,47,20,20,89,112,614,614
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070118,84,-9999,-9999,89,50,34,360,10,63,80,2302,2303
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070119,28,-9999,-9999,100,67,50,40,40,107,112,2326,2327
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070120,0,-9999,-9999,150,83,41,100,100,72,94,2031,1115
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070121,396,-9999,-9999,200,128,26,160,150,103,125,449,450
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070122,8,-9999,-9999,133,94,34,10,10,67,80,1828,1829
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070123,36,-9999,-9999,100,67,38,10,30,63,80,643,1433
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070124,43,-9999,-9999,83,67,24,330,330,54,63,1132,1134
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070125,0,-9999,-9999,172,33,34,330,330,72,80,1544,1544
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070126,0,-9999,-9999,161,33,19,190,190,54,63,1637,1638
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070127,371,-9999,-9999,128,72,24,30,30,63,67,1510,1510
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070128,5,-9999,-9999,128,28,50,10,10,103,116,529,507
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070129,0,-9999,-9999,111,11,19,210,210,45,58,1627,1628
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070130,30,-9999,-9999,83,50,26,20,10,58,63,1735,1435
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070131,122,-9999,-9999,89,50,36,260,270,80,98,2231,2231
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070201,97,-9999,-9999,100,56,36,320,330,67,76,2336,2327
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070202,0,-9999,-9999,83,28,40,340,340,80,94,1421,1422
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070203,0,-9999,-9999,100,6,12,20,20,36,45,1257,1258
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070204,0,-9999,-9999,144,22,9,30,20,45,54,1452,1431
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070205,0,-9999,-9999,172,33,9,70,60,45,58,1038,940
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070206,0,-9999,-9999,189,33,27,190,200,67,76,1114,1113
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070207,0,-9999,-9999,217,78,20,190,190,54,67,1730,1758
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070208,0,-9999,-9999,228,106,19,190,190,54,58,1657,1636
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070209,0,-9999,-9999,167,61,37,10,10,80,98,2052,2052
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070210,0,-9999,-9999,128,28,44,10,10,80,94,451,452
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070211,0,-9999,-9999,161,39,18,90,130,36,45,1557,1704
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070212,36,-9999,-9999,217,100,34,160,160,76,107,2346,2346
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070213,170,-9999,-9999,222,83,72,330,220,107,139,853,1913
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070214,0,-9999,-9999,83,17,67,10,10,107,134,956,934
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070215,0,-9999,-9999,83,-11,52,340,340,98,130,1407,1408
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070216,0,-9999,-9999,78,-11,32,320,340,72,89,309,256
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070217,0,-9999,-9999,183,0,53,310,290,130,165,1548,1548
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070218,0,-9999,-9999,144,22,26,20,30,67,80,920,922
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070219,0,-9999,-9999,189,11,33,180,180,94,112,1527,1527
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070220,0,-9999,-9999,233,144,39,210,230,80,103,1212,1343
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070221,58,-9999,-9999,233,128,35,240,250,76,98,1318,1259
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070222,0,-9999,-9999,261,106,11,190,290,40,54,2247,1800
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070223,0,-9999,-9999,250,106,28,140,170,89,130,2201,2211
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070224,74,-9999,-9999,228,139,75,280,280,130,165,2223,2223
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070225,0,-9999,-9999,217,117,27,300,300,76,89,1500,1500
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070226,0,-9999,-9999,239,78,26,180,170,76,103,1350,1354
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070227,0,-9999,-9999,267,128,22,200,180,63,72,1733,1727
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070228,5,-9999,-9999,244,161,35,170,170,89,107,1432,1433
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070301,3,-9999,-9999,244,133,59,230,240,107,130,1359,1320
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070302,0,-9999,-9999,217,100,17,190,270,58,76,1521,1800
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070303,0,-9999,-9999,211,83,36,330,340,72,80,2315,2308
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070304,0,-9999,-9999,139,50,41,320,10,80,98,828,1500
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070305,0,-9999,-9999,189,22,13,300,300,54,63,1545,1545
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070306,0,-9999,-9999,211,33,17,200,190,63,72,1617,1614
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070307,0,-9999,-9999,217,50,13,240,210,58,72,1310,1231
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070308,0,-9999,-9999,233,72,11,180,350,36,58,1042,1849
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070309,0,-9999,-9999,239,89,15,190,190,63,76,1720,1720
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070310,0,-9999,-9999,261,111,16,200,190,58,67,1557,1602
GHCND:USW00013976,LAFAYETTE REGIONAL AIRPORT LA US,20070311,0,-9999,-9999,233,117,15,150,170,54,72,924,937
