STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070101,338,0,0,133,78,38,300,180,89,116,716,2328
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070102,0,0,0,111,61,72,330,310,134,165,818,741
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070103,0,0,0,117,39,45,240,230,89,107,1756,1426
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070104,0,0,0,144,67,41,240,220,72,89,1334,1125
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070105,10,0,0,167,106,33,220,220,67,89,850,850
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070106,10,0,0,222,128,63,300,300,125,156,2323,2356
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070107,38,0,0,133,78,47,300,320,125,143,4,2356
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070108,302,0,0,139,44,67,280,280,139,174,1809,1708
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070109,0,0,0,72,28,66,260,260,112,134,1250,1250
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070110,0,0,0,33,-6,81,320,330,130,156,1441,1401
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070111,0,0,0,50,-17,42,290,280,98,112,18,18
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070112,0,0,0,100,39,51,240,230,94,112,1153,954
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070113,8,0,0,139,78,37,260,250,58,76,1113,1237
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070114,13,0,0,78,56,39,60,50,72,80,728,729
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070115,5,0,0,106,50,31,60,50,76,94,1041,1048
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070116,0,0,0,139,-39,84,340,330,139,165,2308,2308
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070117,0,0,0,-6,-61,59,320,320,139,174,236,237
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070118,23,0,0,33,-39,20,130,130,58,67,31,32
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070119,13,0,13,61,6,62,310,300,148,192,1436,1415
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070120,0,0,0,17,-50,107,330,310,161,197,1555,1608
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070121,0,0,0,-6,-61,35,310,310,112,139,2353,2357
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070122,0,0,0,11,-22,24,60,70,54,67,1606,1607
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070123,0,0,0,33,-11,59,320,320,103,116,634,636
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070124,0,0,0,44,11,55,290,300,94,116,401,401
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070125,0,0,0,28,-83,62,320,310,125,165,2330,2332
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070126,0,0,0,-44,-117,83,300,300,125,170,1553,1554
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070127,0,0,0,50,-56,25,220,220,58,72,1947,2009
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070128,20,0,10,61,0,36,30,10,80,94,2348,2304
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070129,5,0,5,0,-44,77,320,320,130,165,1015,1016
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070130,10,0,10,28,-50,50,260,270,89,116,103,1221
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070131,10,0,10,11,-28,64,320,340,107,139,1156,1026
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070201,0,0,0,28,-22,43,220,210,94,116,1111,1114
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070202,43,0,0,39,11,37,280,270,89,107,2356,2357
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070203,0,0,0,33,-39,77,280,280,116,170,245,300
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070204,0,0,0,-6,-78,86,290,290,148,201,2222,2225
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070205,0,0,0,-67,-122,94,290,310,134,170,2,1520
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070206,0,0,0,-33,-106,72,290,290,112,139,57,117
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070207,0,0,0,-28,-100,66,290,290,112,139,1501,1501
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070208,0,0,0,-11,-83,78,290,310,130,161,1432,1304
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070209,0,0,0,6,-67,85,320,310,134,156,1618,1658
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070210,0,0,0,11,-39,58,320,320,103,134,1607,1811
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070211,0,0,0,11,-61,54,270,270,94,116,2215,2054
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070212,0,0,0,50,-11,54,270,260,98,116,18,15
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070213,5,0,5,11,-50,55,80,80,112,125,2339,2339
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070214,201,0,71,-6,-72,114,50,40,174,215,1005,1006
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070215,0,51,0,-39,-83,89,330,320,156,179,19,18
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070216,0,51,0,-11,-89,83,290,290,116,143,1528,1539
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070217,0,51,0,22,-56,55,280,240,94,116,2130,1119
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070218,0,25,0,17,-67,77,310,330,156,197,2224,2232
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070219,0,25,0,-17,-100,86,320,320,143,170,150,150
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070220,25,25,0,94,-17,41,250,250,72,98,1209,1431
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070221,3,0,0,94,39,35,320,330,67,76,1456,1457
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070222,36,0,0,78,6,38,310,310,116,148,2234,2212
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070223,0,0,0,44,-50,101,310,320,156,183,2021,2021
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070224,0,0,0,61,-56,81,310,310,143,170,919,920
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,20070225,38,0,33,39,-33,34,70,70,89,98,2335,2336
