STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00023129,LONG BEACH DAUGHERTY FIELD CA US,20070101,0,-9999,-9999,200,67,13,300,310,45,58,1455,1511
GHCND:USW00023129,LONG BEACH DAUGHERTY FIELD CA US,20070102,0,-9999,-9999,244,67,14,300,310,63,72,1357,1414
GHCND:USW00023129,LONG BEACH DAUGHERTY FIELD CA US,20070103,0,-9999,-9999,194,78,13,180,180,36,45,1517,1534
GHCND:USW00023129,LONG BEACH DAUGHERTY FIELD CA US,20070104,13,-9999,-9999,156,111,34,270,270,103,125,2046,2046
GHCND:USW00023129,LONG BEACH DAUGHERTY FIELD CA US,20070105,0,-9999,-9999,178,83,64,320,320,139,165,427,418
GHCND:USW00023129,LONG BEACH DAUGHERTY FIELD CA US,20070106,0,-9999,-9999,194,22,13,300,290,58,58,1647,1635
GHCND:USW00023129,LONG BEACH DAUGHERTY FIELD CA US,20070107,0,-9999,-9999,256,50,18,240,240,45,58,1235,1235
GHCND:USW00023129,LONG BEACH DAUGHERTY FIELD CA US,20070108,0,-9999,-9999,306,78,26,80,80,80,103,1454,1454
GHCND:USW00023129,LONG BEACH DAUGHERTY FIELD CA US,20070109,0,-9999,-9999,289,100,16,160,160,40,54,1550,1551
GHCND:USW00023129,LONG BEACH DAUGHERTY FIELD CA US,20070110,0,-9999,-9999,194,83,15,170,180,54,63,1604,1605
GHCND:USW00023129,LONG BEACH DAUGHERTY FIELD CA US,20070111,0,-9999,-9999,161,100,26,220,220,63,72,1404,1405
GHCND:USW00023129,LONG BEACH DAUGHERTY FIELD CA US,20070112,0,-9999,-9999,128,50,39,310,320,94,107,1404,1240
GHCND:USW00023129,LONG BEACH DAUGHERTY FIELD CA US,20070113,0,-9999,-9999,128,22,28,70,90,76,94,1043,1152
GHCND:USW00023129,LONG BEACH DAUGHERTY FIELD CA US,20070114,0,-9999,-9999,122,-6,12,200,210,40,54,1525,1516
GHCND:USW00023129,LONG BEACH DAUGHERTY FIELD CA US,20070115,0,-9999,-9999,156,-6,14,250,260,45,63,1405,1408
