STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20070101,0,-9999,-9999,106,17,43,310,300,98,112,511,511
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20070102,0,-9999,-9999,100,-11,16,70,70,40,58,1130,1131
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20070103,0,-9999,-9999,122,-17,20,120,130,45,63,1625,1443
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20070104,249,-9999,-9999,106,39,16,120,110,63,76,1200,1201
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20070105,3,-9999,-9999,128,106,31,240,240,76,103,1001,1002
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20070106,0,-9999,-9999,156,61,26,70,70,76,89,2210,2211
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20070107,244,-9999,-9999,128,67,43,300,300,89,103,1632,2051
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20070108,0,-9999,-9999,133,-11,35,230,220,67,76,1514,1435
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20070109,0,-9999,-9999,128,6,43,310,310,103,116,1124,1015
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20070110,0,-9999,-9999,111,-11,28,140,130,72,89,1543,1549
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20070111,0,-9999,-9999,167,6,42,180,170,94,112,2350,2350
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20070112,5,-9999,-9999,189,133,38,190,180,89,107,243,106
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20070113,1069,-9999,-9999,194,83,31,320,330,103,112,516,517
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20070114,528,-9999,-9999,139,61,32,300,320,89,112,2249,2231
GHCND:USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD AR US,20070115,130,-9999,-9999,61,-22,65,300,310,98,116,1406,1151
