STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070101,0,0,0,28,-56,43,330,320,112,139,556,556
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070102,0,0,0,61,-39,44,200,200,98,116,1403,1402
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070103,0,0,0,100,6,51,200,190,116,156,1436,1437
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070104,0,0,0,89,33,39,190,170,80,112,1157,1210
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070105,0,0,0,72,11,31,320,320,76,94,1111,1112
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070106,0,0,0,44,-6,39,280,280,80,107,928,928
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070107,3,0,0,44,-17,57,280,280,107,130,1922,1836
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070108,0,0,0,39,-67,31,300,310,80,103,56,104
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070109,0,0,0,-28,-89,59,310,290,98,125,1423,1158
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070110,0,0,0,33,-100,55,180,180,112,139,2326,2318
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070111,0,0,0,78,11,42,180,180,107,143,3,45
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070112,0,0,0,11,-111,59,320,310,89,107,411,751
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070113,0,0,0,-67,-133,27,340,330,58,67,353,358
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070114,43,0,48,-33,-72,27,20,330,54,67,2042,2245
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070115,30,76,84,-61,-150,48,340,340,76,94,1420,1424
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070116,0,127,0,-94,-217,16,360,350,45,54,326,330
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070117,0,102,0,-44,-167,52,190,180,89,107,2252,1513
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070118,5,102,10,-17,-78,42,320,310,89,103,1906,1906
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070119,0,76,0,-44,-150,38,280,280,89,116,219,228
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070120,0,76,0,-56,-189,20,190,140,54,63,1917,1326
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070121,69,76,112,-39,-106,19,90,100,45,58,1129,1144
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070122,0,178,0,-22,-83,30,200,210,80,98,2242,2243
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070123,0,152,0,-39,-122,26,210,210,80,98,153,154
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070124,0,127,0,-33,-133,21,320,310,63,72,1649,1621
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070125,0,127,0,-39,-117,16,190,190,63,72,2348,2214
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070126,0,127,0,56,-61,43,310,200,76,98,1122,2344
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070127,3,102,5,6,-144,61,310,310,107,134,1800,1801
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070128,0,76,0,-100,-156,50,320,320,89,103,841,816
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070129,10,76,25,-39,-144,39,310,320,80,98,2108,2124
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070130,0,102,0,-100,-167,46,320,310,89,107,925,1004
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070131,8,102,30,-67,-183,43,200,180,80,107,1412,1416
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070201,0,127,0,-61,-167,30,250,260,80,98,107,108
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070202,0,102,0,-117,-211,44,220,220,89,107,1425,1427
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070203,0,102,0,-150,-239,56,280,270,103,125,1356,1358
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070204,0,102,0,-200,-250,45,320,320,72,89,2326,2338
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070205,0,102,0,-167,-283,18,330,340,58,63,1137,1137
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070206,28,102,43,-139,-250,19,320,320,45,54,1808,1809
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070207,0,152,0,-122,-256,27,270,280,80,94,1647,1533
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070208,0,152,0,-117,-233,22,280,280,63,76,1621,1621
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070209,0,127,0,-117,-244,14,270,270,67,76,1732,1746
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070210,0,127,0,-111,-239,20,280,290,58,67,1532,1544
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070211,3,127,3,-56,-144,17,170,220,40,54,9,743
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070212,5,127,10,-39,-89,25,50,80,67,89,2353,1409
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070213,0,127,0,-72,-167,35,10,360,72,94,1515,1516
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070214,0,127,0,-100,-200,36,330,330,72,80,1447,1447
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070215,0,127,0,-100,-233,21,330,330,72,89,1231,1235
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070216,0,127,0,-67,-200,41,200,200,98,112,1423,1424
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070217,0,127,0,-39,-128,45,300,300,98,116,1627,1627
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070218,0,127,0,-50,-133,30,160,150,76,98,2324,2325
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070219,0,127,0,50,-83,36,180,160,72,94,3,1003
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070220,0,102,0,72,-56,13,160,150,40,45,2130,2130
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070221,0,76,0,100,-22,53,290,290,139,179,2315,2315
GHCND:USW00014920,LA CROSSE MUNICIPAL AIRPORT WI US,20070222,0,0,0,28,-67,52,300,290,139,179,18,49
