STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070101,0,0,0,50,-17,26,70,70,58,67,1655,1615
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070102,0,0,0,106,22,74,180,160,148,174,149,1022
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070103,5,0,0,89,33,41,190,180,94,107,1008,1009
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070104,0,0,3,61,6,28,260,260,94,116,2316,2329
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070105,0,0,0,44,-22,66,190,190,143,197,2210,2230
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070106,0,0,0,72,6,87,270,250,174,210,504,625
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070107,0,0,0,89,6,67,210,200,156,206,1011,1013
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070108,0,0,0,94,22,24,280,280,98,116,142,143
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070109,0,0,0,144,39,51,300,300,134,165,2232,2230
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070110,3,0,13,50,-39,39,270,270,116,139,439,439
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070111,10,25,0,-22,-133,26,60,70,76,103,800,1003
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070112,0,25,0,-89,-167,9,50,50,36,40,922,923
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070113,5,25,10,-100,-161,7,130,120,31,36,54,57
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070114,0,25,8,-72,-150,7,90,80,31,36,1030,1026
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070115,0,25,0,-67,-161,10,90,60,36,40,902,840
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070116,0,25,0,-17,-122,23,130,140,72,103,730,731
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070117,0,25,0,-22,-78,13,260,260,36,40,121,123
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070118,0,25,0,22,-78,9,20,30,40,45,1642,1643
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070119,0,0,0,56,0,76,170,170,130,161,2148,2145
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070120,3,0,3,50,-17,39,170,170,103,125,143,144
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070121,0,0,0,28,-61,10,70,70,36,45,1250,1250
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070122,3,0,0,56,0,18,60,70,54,63,1416,1523
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070123,0,0,0,89,-11,19,120,120,76,98,2343,2343
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070124,0,0,0,111,17,57,120,130,98,112,1050,1051
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070125,0,0,0,100,-28,17,160,160,58,67,54,55
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070126,0,0,0,6,-33,13,280,280,40,45,1533,1534
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070127,0,0,0,28,-44,13,40,260,36,40,1600,127
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070128,0,0,0,17,-39,19,270,300,40,54,1313,1648
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070129,0,0,0,-6,-22,21,260,260,45,58,2240,2241
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070130,0,0,0,0,-17,18,320,280,45,45,1615,1601
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070131,0,0,0,-6,-28,22,290,290,54,63,2307,2308
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070201,0,0,13,0,-50,20,270,290,54,63,1158,1149
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070202,0,0,0,33,-61,26,30,50,58,67,1431,1355
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070203,41,0,13,22,-67,10,100,70,31,36,1246,1246
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070204,5,25,0,50,-6,5,280,280,36,36,1219,1145
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070205,0,0,0,83,22,8,40,40,31,45,831,832
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070206,0,0,0,78,-6,16,260,260,45,54,1621,1621
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070207,0,0,0,56,0,11,200,210,36,40,1554,1555
GHCND:USW00024149,LEWISTON NEZ PERCE CO AIRPORT ID US,20070208,20,0,0,61,22,18,260,260,54,63,647,648
