STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070101,25,0,0,94,-6,68,250,220,125,183,228
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070102,0,0,0,56,-28,46,250,250,81,94,1402
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070103,0,0,0,83,0,72,240,240,112,134,1213
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070104,30,0,0,106,22,72,230,230,112,143,1216
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070105,0,0,0,100,72,37,240,250,89,107,337
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070106,41,0,0,78,22,47,290,300,94,112,1534
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070107,13,-9999,0,33,-33,35,190,190,67,76,1041
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070108,5,0,5,11,-28,62,270,270,125,161,1423
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070109,0,0,5,-6,-56,56,300,300,107,125,1612
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070110,0,-9999,0,-17,-83,46,310,300,81,112,45
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070111,0,0,0,61,-17,72,220,220,107,130,1530
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070112,23,0,0,61,-6,32,230,40,72,89,1915
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070113,0,0,0,-6,-50,0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070114,15,0,25,-17,-33,2,10,10,58,63,2354
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070115,91,102,117,-6,-67,47,20,30,98,112,902
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070116,3,127,5,-44,-156,30,300,300,58,72,243
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070117,0,127,0,-33,-172,47,190,190,107,130,1408
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070118,3,127,13,-11,-117,52,170,170,81,98,1509
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070119,0,-9999,0,-22,-111,61,240,240,103,125,1121
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070120,0,127,0,-61,-144,34,250,250,63,76,551
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070121,20,127,30,-39,-128,29,30,40,63,76,1643
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070122,0,127,0,-28,-128,33,190,200,63,76,2350
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070123,0,-9999,0,-11,-33,62,220,180,107,139,806
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070124,0,127,25,-33,-67,22,250,250,58,72,2131
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070125,0,102,3,-67,-189,34,300,280,76,107,1228
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070126,15,152,38,-22,-161,46,160,150,94,107,1444
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070127,0,-9999,0,6,-72,48,310,280,81,103,1645
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070128,0,-9999,0,-67,-161,33,350,10,67,89,1308
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070129,0,-9999,0,-50,-139,39,220,220,76,94,1257
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070130,0,127,8,-50,-139,29,280,320,54,63,1358
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070131,25,127,0,-50,-117,67,210,220,103,116,2058
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070201,0,127,5,-33,-94,61,210,210,98,112,1529
GHCND:USW00014845,SAGINAW MBS INTERNATIONAL AIRPORT MI US,20070202,0,127,8,-56,-139,64,260,250,134,157,1422
