STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00003947,KANSAS CITY INTERNATIONAL AIRPORT MO US,20070101,0,0,0,39,-44,32,310,320,80,107,113,114
GHCND:USW00003947,KANSAS CITY INTERNATIONAL AIRPORT MO US,20070102,0,0,0,78,-67,44,210,200,89,103,2033,1603
GHCND:USW00003947,KANSAS CITY INTERNATIONAL AIRPORT MO US,20070103,0,0,0,122,6,80,210,210,130,165,2315,2346
GHCND:USW00003947,KANSAS CITY INTERNATIONAL AIRPORT MO US,20070104,0,0,0,139,61,82,200,200,125,165,507,625
GHCND:USW00003947,KANSAS CITY INTERNATIONAL AIRPORT MO US,20070105,3,0,0,83,33,33,360,360,80,107,2024,2025
GHCND:USW00003947,KANSAS CITY INTERNATIONAL AIRPORT MO US,20070106,0,0,0,83,-33,29,330,330,76,98,52,52
GHCND:USW00003947,KANSAS CITY INTERNATIONAL AIRPORT MO US,20070107,0,0,0,61,-39,50,330,320,134,165,1246,1256
GHCND:USW00003947,KANSAS CITY INTERNATIONAL AIRPORT MO US,20070108,0,0,0,122,-56,57,320,320,107,143,2207,2208
GHCND:USW00003947,KANSAS CITY INTERNATIONAL AIRPORT MO US,20070109,0,0,0,44,-50,55,320,320,130,183,720,631
GHCND:USW00003947,KANSAS CITY INTERNATIONAL AIRPORT MO US,20070110,0,0,0,133,-44,93,200,200,161,201,1321,1235
GHCND:USW00003947,KANSAS CITY INTERNATIONAL AIRPORT MO US,20070111,0,0,0,156,-6,78,190,200,125,165,853,1248
GHCND:USW00003947,KANSAS CITY INTERNATIONAL AIRPORT MO US,20070112,20,0,5,-6,-100,62,330,330,89,107,917,918
GHCND:USW00003947,KANSAS CITY INTERNATIONAL AIRPORT MO US,20070113,30,0,13,-72,-100,45,20,20,80,98,344,455
GHCND:USW00003947,KANSAS CITY INTERNATIONAL AIRPORT MO US,20070114,58,25,8,-28,-78,44,330,320,76,98,1836,1839
GHCND:USW00003947,KANSAS CITY INTERNATIONAL AIRPORT MO US,20070115,3,25,5,-61,-156,54,310,330,89,116,633,1515
GHCND:USW00003947,KANSAS CITY INTERNATIONAL AIRPORT MO US,20070116,0,25,0,-78,-183,22,320,320,45,63,28,50
GHCND:USW00003947,KANSAS CITY INTERNATIONAL AIRPORT MO US,20070117,0,0,0,-28,-144,52,180,200,94,112,2358,2206
GHCND:USW00003947,KANSAS CITY INTERNATIONAL AIRPORT MO US,20070118,0,0,0,22,-33,64,320,310,107,156,1439,1552
GHCND:USW00003947,KANSAS CITY INTERNATIONAL AIRPORT MO US,20070119,0,0,0,44,-72,33,240,250,80,107,1415,1455
GHCND:USW00003947,KANSAS CITY INTERNATIONAL AIRPORT MO US,20070120,84,0,91,11,-50,40,110,110,94,112,2348,2348
