STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070101,94,-9999,-9999,189,61,38,270,270,80,103,1548,1549
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070102,0,-9999,-9999,139,0,25,70,50,67,89,1333,1046
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070103,0,-9999,-9999,172,6,16,70,70,58,67,1015,1001
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070104,8,-9999,-9999,183,100,15,130,140,36,45,1653,1656
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070105,234,-9999,-9999,211,150,31,270,280,89,112,1318,1320
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070106,0,-9999,-9999,217,106,19,270,270,72,89,1429,1431
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070107,97,-9999,-9999,228,117,23,280,280,80,107,2359,2359
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070108,132,-9999,-9999,189,22,47,300,290,103,134,316,316
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070109,0,-9999,-9999,144,-6,44,300,280,125,156,1500,1344
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070110,0,-9999,-9999,117,-6,22,340,340,63,76,908,158
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070111,0,-9999,-9999,161,-28,18,110,130,58,67,1418,1442
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070112,0,-9999,-9999,217,56,19,160,150,72,89,1420,1421
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070113,0,-9999,-9999,222,100,10,200,170,54,63,1239,1240
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070114,0,-9999,-9999,228,83,10,200,170,40,63,1423,1432
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070115,0,-9999,-9999,233,156,31,210,190,67,89,1142,1148
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070116,20,-9999,-9999,183,39,44,320,310,80,107,1829,1830
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070117,5,-9999,-9999,94,33,51,60,60,98,107,1306,952
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070118,53,-9999,-9999,44,17,30,40,20,63,72,752,635
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070119,3,-9999,-9999,144,39,37,290,330,67,89,1430,1504
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070120,0,-9999,-9999,122,28,22,330,340,63,72,551,551
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070121,79,-9999,-9999,150,39,28,120,130,63,72,1220,846
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070122,277,-9999,-9999,111,56,27,310,320,67,89,2156,2238
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070123,0,-9999,-9999,78,44,30,310,310,58,76,1014,1015
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070124,0,-9999,-9999,94,39,30,310,310,54,67,1445,1549
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070125,0,-9999,-9999,128,17,45,320,300,94,107,1303,1041
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070126,0,-9999,-9999,144,-22,21,250,230,45,58,1609,1655
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070127,48,-9999,-9999,156,-28,16,240,250,58,72,2046,2047
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070128,76,-9999,-9999,122,0,55,270,300,107,134,1419,1539
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070129,0,-9999,-9999,72,-50,27,330,340,72,103,149,307
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070130,0,-9999,-9999,122,-28,22,250,240,76,89,1554,1548
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070131,0,-9999,-9999,94,-22,24,20,330,58,76,841,1003
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070201,246,-9999,-9999,56,33,34,20,20,80,94,711,712
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070202,0,-9999,-9999,117,33,35,300,290,94,107,1821,1822
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070203,0,-9999,-9999,72,-22,31,310,310,80,103,1408,1408
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070204,0,-9999,-9999,128,-28,30,270,250,76,107,1449,1701
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070205,0,-9999,-9999,117,-17,32,320,300,76,94,1328,1300
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070206,0,-9999,-9999,128,-50,21,260,250,63,89,1504,1505
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070207,0,-9999,-9999,217,61,43,290,280,76,103,1523,1056
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070208,0,-9999,-9999,172,28,27,320,320,63,72,1300,1249
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070209,23,-9999,-9999,94,22,24,290,340,54,58,1539,1407
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070210,0,-9999,-9999,122,-11,37,320,300,67,80,1601,1618
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070211,0,-9999,-9999,156,-39,10,290,300,31,36,248,257
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070212,0,-9999,-9999,206,-11,9,190,190,45,58,1537,1538
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070213,168,-9999,-9999,211,78,20,290,300,139,170,1525,1526
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070214,18,-9999,-9999,139,0,57,300,290,98,134,1128,1150
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070215,0,-9999,-9999,89,-28,32,330,330,67,80,825,826
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070216,0,-9999,-9999,83,-39,36,290,310,67,89,1438,1637
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070217,0,-9999,-9999,117,-72,31,220,240,80,107,1500,1504
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070218,0,-9999,-9999,100,0,58,320,320,103,130,1131,1132
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070219,0,-9999,-9999,150,-44,25,230,200,63,80,1427,1637
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070220,28,-9999,-9999,178,39,32,210,230,72,107,1233,2237
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070221,23,-9999,-9999,183,122,38,260,250,94,125,1434,1423
GHCND:USW00003813,MACON MIDDLE GA REGIONAL AIRPORT GA US,20070222,0,-9999,-9999,250,106,46,310,300,94,116,1513,1630
