STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070101,0,0,0,239,189,46,190,200,94,116,1830,1831
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070102,28,0,0,194,161,39,30,20,63,72,1734,1735
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070103,109,0,0,283,161,22,20,10,72,89,1750,1750
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070104,0,0,0,267,189,25,140,170,67,94,1204,1112
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070105,0,0,0,272,183,38,170,160,80,107,1317,1329
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070106,0,0,0,283,194,26,220,200,58,72,1109,1134
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070107,0,0,0,289,172,32,180,150,76,94,1215,1148
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070108,0,0,0,272,144,51,340,270,89,125,1528,2326
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070109,0,0,0,178,100,44,10,360,94,116,1017,1030
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070110,0,0,0,178,72,49,20,10,80,98,1040,1041
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070111,0,0,0,244,83,41,80,70,98,107,1612,1530
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070112,0,0,0,256,133,36,80,90,89,103,1231,1139
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070113,0,0,0,267,144,31,110,100,80,98,1529,1533
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070114,3,0,0,267,156,33,110,90,89,94,1710,1525
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070115,0,0,0,261,133,17,200,200,63,72,1229,1230
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070116,0,0,0,283,156,22,10,10,76,94,2354,2358
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070117,0,0,0,228,156,60,20,20,103,130,59,100
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070118,0,0,0,211,150,30,30,360,40,54,2339,2355
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070119,0,0,0,233,139,24,10,10,58,63,949,949
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070120,0,0,0,211,111,37,50,40,67,76,1822,1707
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070121,0,0,0,272,106,34,140,140,80,103,1046,1046
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070122,81,0,0,278,172,46,310,320,89,116,2026,2026
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070123,0,0,0,217,150,26,10,10,63,76,2316,2318
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070124,51,0,0,172,106,26,10,360,58,67,747,913
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070125,112,0,0,139,78,44,10,10,89,98,448,442
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070126,0,0,0,200,50,43,350,350,76,94,31,142
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070127,0,0,0,233,89,35,180,170,76,103,2306,2311
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070128,56,0,0,189,106,64,270,270,116,148,1759,1800
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070129,0,0,0,128,39,38,340,340,94,112,515,518
GHCND:USW00012815,ORLANDO INTERNATIONAL AIRPORT FL US,20070130,0,0,0,150,33,18,320,330,40,54,2303,2309
