STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014711,MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT PA US,20070101,208,0,0,89,44,26,310,310,134,161,2358,2314
GHCND:USW00014711,MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT PA US,20070102,0,0,0,83,-22,57,300,290,130,165,4,9
GHCND:USW00014711,MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT PA US,20070103,0,0,0,117,-33,18,230,220,63,76,1817,1826
GHCND:USW00014711,MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT PA US,20070104,0,0,0,150,-28,12,220,230,54,72,1430,1437
GHCND:USW00014711,MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT PA US,20070105,46,0,0,167,50,27,200,210,63,89,1328,1452
GHCND:USW00014711,MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT PA US,20070106,53,0,0,194,106,61,280,270,156,179,1326,1327
GHCND:USW00014711,MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT PA US,20070107,147,0,0,106,44,34,110,110,89,98,1822,1822
GHCND:USW00014711,MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT PA US,20070108,107,0,0,94,17,52,290,280,139,170,1330,1342
GHCND:USW00014711,MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT PA US,20070109,0,0,0,61,6,54,320,320,116,143,2211,2212
GHCND:USW00014711,MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT PA US,20070110,0,0,0,11,-50,71,300,300,130,161,913,925
GHCND:USW00014711,MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT PA US,20070111,0,0,0,44,-72,24,190,190,67,80,1549,1549
GHCND:USW00014711,MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT PA US,20070112,0,0,0,83,-6,13,220,210,67,76,1929,1929
GHCND:USW00014711,MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT PA US,20070113,23,0,0,117,56,6,130,220,31,40,2357,2311
GHCND:USW00014711,MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT PA US,20070114,10,0,0,94,78,4,50,40,27,36,2239,2355
