STATION,STATION_NAME,DATE,PRCP,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070101,0,78,11,55,240,240,130,174,24
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070102,0,67,-10,35,200,200,76,98,1304
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070103,0,100,17,60,200,180,103,125,2058
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070104,353,100,44,71,200,190,103,148,1050
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070105,13,117,72,29,230,230,76,112,114
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070106,8,72,17,43,250,240,89,98,1241
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070107,13,56,0,42,270,240,94,125,2019
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070108,0,50,-10,62,260,260,130,165,507
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070109,0,22,-32,74,280,270,125,170,1551
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070110,0,28,-60,51,170,180,107,143,2302
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070111,0,94,28,83,200,200,112,148,428
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070112,10,111,28,42,20,20,76,98,2258
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070113,0,28,6,58,20,20,98,125,354
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070114,124,28,11,52,60,50,98,107,1914
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070115,41,22,-43,54,60,330,89,98,2046
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070116,0,-27,-88,50,320,320,76,89,1414
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070117,0,-43,-105,40,170,180,81,103,1807
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070118,0,11,-43,54,260,270,98,125,2123
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070119,0,-10,-55,61,290,280,107,139,50
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070120,0,-5,-93,29,320,320,63,81,42
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070121,10,6,-21,35,100,110,72,94,806
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070122,0,11,-21,43,240,240,89,107,2316
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070123,0,-10,-32,57,230,220,107,130,512
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070124,0,-10,-32,42,320,320,89,103,2335
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070125,0,-21,-71,48,320,320,94,112,6
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070126,0,67,17,-9999,260,230,98,125,1434
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070127,0,17,-82,53,280,260,94,107,2321
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070128,0,-43,-132,64,320,310,107,130,1353
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070129,0,-38,-116,49,250,260,98,125,2331
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070130,0,-77,-132,63,280,250,103,130,135
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070131,0,-66,-155,51,190,190,81,112,2002
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070201,0,-32,-105,55,240,230,94,116,1358
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070202,0,-105,-132,61,250,260,103,130,1515
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070203,0,-110,-205,82,260,270,143,183,1258
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070204,0,-155,-205,69,280,270,112,130,1629
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070205,0,-138,-227,50,300,270,89,103,955
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070206,20,-121,-199,22,310,310,63,67,2058
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070207,0,-110,-177,50,250,250,76,98,1735
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070208,0,-110,-193,53,280,280,89,98,110
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070209,0,-71,-166,43,290,290,76,98,1343
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070210,0,-99,-177,51,280,290,76,94,21
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070211,0,-27,-138,39,230,230,63,81,1311
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070212,18,-5,-38,50,60,50,103,116,2327
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070213,18,-27,-71,101,20,10,143,174,1802
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070214,0,-55,-132,54,10,30,107,130,22
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070215,0,-93,-160,52,320,320,81,98,1044
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070216,0,-71,-199,59,180,180,107,143,1604
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070217,13,-27,-82,45,320,300,81,103,1601
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070218,0,-43,-93,43,300,300,76,98,237
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070219,0,61,-93,63,200,190,103,157,1523
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070220,0,83,-10,21,230,230,58,67,23
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070221,0,89,-43,38,250,240,81,103,2352
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070222,0,44,-21,66,280,270,130,174,506
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070223,0,-5,-27,51,90,100,98,112,2300
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070224,114,0,-32,81,80,80,116,143,2032
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070225,107,44,-5,59,120,110,107,134,250
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070226,0,0,-10,62,240,240,81,103,127
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070227,0,6,-16,31,260,240,63,76,3
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070228,0,22,-16,52,80,70,116,139,1613
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070301,94,89,6,65,200,220,107,139,1842
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070302,3,6,-32,105,240,240,170,219,1431
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070303,0,-27,-60,64,240,250,112,143,2352
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070304,0,0,-93,67,230,220,107,130,1328
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070305,0,11,-66,54,50,20,89,107,1258
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070306,3,-38,-93,39,120,110,63,67,1458
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070307,3,-21,-49,34,40,50,89,103,1121
GHCND:USW00014819,CHICAGO MIDWAY AIRPORT IL US,20070308,0,39,-71,27,190,170,54,72,1312
