STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070101,0,0,0,117,17,28,20,10,67,80,2324,2221
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070102,0,0,0,128,-22,20,40,50,67,76,926,909
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070103,0,0,0,133,-28,6,70,80,36,40,1450,1447
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070104,10,0,0,206,61,30,140,160,76,103,2353,2356
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070105,254,0,0,206,78,34,210,210,156,183,127,128
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070106,0,0,0,233,100,19,270,240,54,63,1132,1112
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070107,170,0,0,228,106,43,290,200,98,125,1053,1221
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070108,0,0,0,133,6,25,310,300,58,72,1404,1405
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070109,0,0,0,156,0,36,330,300,98,116,1348,1431
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070110,0,0,0,128,-28,12,80,80,67,76,934,932
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070111,0,0,0,167,-28,26,180,190,80,98,1141,1141
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070112,0,0,0,228,106,37,180,150,72,89,2009,1450
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070113,0,0,0,228,111,32,180,200,80,98,1134,1200
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070114,0,0,0,250,133,38,190,190,80,103,1535,1408
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070115,84,0,0,211,67,43,330,320,98,116,1131,1132
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070116,3,0,0,67,0,58,10,10,94,107,1920,1921
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070117,8,0,0,39,-6,40,20,20,89,103,139,139
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070118,15,0,0,78,39,7,190,190,31,36,1347,1347
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070119,3,0,0,106,39,39,10,30,67,89,1220,1836
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070120,0,0,0,94,50,37,60,50,72,94,954,955
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070121,170,0,0,128,89,26,160,170,72,98,142,143
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070122,5,0,0,122,50,29,360,10,63,67,549,342
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070123,0,0,0,61,22,21,20,10,63,67,900,901
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070124,0,0,0,100,33,11,330,10,31,40,1103,2328
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070125,0,0,0,144,-17,23,10,340,67,76,1442,1342
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070126,0,0,0,150,-33,12,220,190,54,58,1527,1425
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070127,64,0,0,122,-17,14,180,160,45,58,1130,1132
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070128,0,0,0,89,-39,52,330,330,103,125,1306,1358
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070129,0,0,0,78,-83,5,140,130,40,54,1313,1313
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070130,0,0,0,111,0,22,340,330,67,80,2022,2019
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070131,36,0,0,94,-39,33,80,30,63,76,558,2356
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070201,239,0,0,78,28,26,330,320,63,72,401,401
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070202,3,0,0,50,-39,24,340,340,72,80,1534,1507
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070203,0,0,0,94,-61,8,350,30,45,58,1504,1514
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070204,0,0,0,139,-44,21,310,320,63,67,1353,1310
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070205,0,0,0,122,-22,17,70,50,58,63,1010,939
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070206,0,0,0,183,-22,33,220,230,76,94,1647,1613
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070207,0,0,0,206,22,23,330,330,63,76,1218,1219
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070208,0,0,0,111,56,36,40,40,63,72,1107,1108
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070209,58,0,0,67,0,38,10,10,63,72,2249,2207
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070210,0,0,0,106,-33,30,20,20,63,80,1414,1436
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070211,0,0,0,150,-39,15,230,50,40,58,941,1629
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070212,0,0,0,211,6,21,190,180,67,72,1109,1110
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070213,183,0,0,233,39,61,260,260,139,192,454,455
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070214,0,0,0,61,-17,56,20,310,89,112,550,801
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070215,0,0,0,67,-33,47,10,340,76,94,1043,858
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070216,0,0,0,61,-72,27,350,310,72,98,1245,1146
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070217,0,0,0,150,-56,57,330,340,112,143,2037,2037
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070218,0,0,0,111,-39,32,350,330,89,107,56,47
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070219,0,0,0,172,-56,46,200,190,103,125,1526,1527
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070220,5,0,0,222,106,51,180,170,112,139,2250,2301
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070221,0,0,0,233,89,38,210,240,89,107,1338,1242
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070222,0,0,0,261,44,25,20,20,67,76,1839,1840
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070223,0,0,0,233,61,34,120,110,58,80,2239,2240
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070224,89,0,0,217,100,68,190,160,139,179,1824,2206
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070225,66,0,0,211,28,38,260,270,98,125,1459,1429
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070226,0,0,0,233,-11,27,210,190,89,107,1419,1508
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070227,0,0,0,244,28,20,40,40,58,72,1150,1123
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070228,0,0,0,250,17,41,180,160,103,134,959,1126
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070301,76,0,0,256,78,52,300,300,156,206,1608,1611
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070302,0,0,0,194,28,20,210,220,67,80,1352,1352
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070303,0,0,0,178,6,31,310,300,76,98,1552,1458
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070304,0,0,0,128,-17,42,330,320,80,112,1116,1520
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070305,0,0,0,189,-50,17,10,20,67,80,1422,1421
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070306,0,0,0,222,-17,10,210,210,54,72,1359,1448
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070307,0,0,0,222,0,14,220,220,76,98,1230,1231
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070308,0,0,0,244,6,10,180,160,45,58,1500,1500
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070309,0,0,0,256,17,19,190,150,63,76,1245,1408
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070310,0,0,0,261,72,14,200,210,45,58,1446,1446
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070311,0,0,0,267,72,8,140,150,45,63,1249,1326
GHCND:USW00013865,MERIDIAN KEY FIELD MS US,20070312,0,0,0,283,78,21,200,210,67,80,1340,1309
