STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070101,0,0,0,83,17,41,300,300,98,130,108,210
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070102,0,0,0,100,-6,16,50,50,58,67,1010,1011
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070103,0,0,0,133,-6,20,200,230,72,103,1214,1259
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070104,157,0,0,183,56,47,150,150,165,210,1600,1549
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070105,58,0,0,178,111,36,230,230,80,103,1241,1237
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070106,0,0,0,144,89,25,20,10,54,80,1321,1816
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070107,239,0,0,106,61,36,310,300,80,107,2317,2317
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070108,0,0,0,100,6,35,240,200,72,125,2247,1524
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070109,0,0,0,100,28,51,310,310,125,148,955,955
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070110,0,0,0,106,-6,32,170,170,94,103,2342,2330
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070111,0,0,0,156,56,67,160,160,103,130,1108,1109
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070112,10,0,0,200,139,58,190,190,94,107,110,111
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070113,81,0,0,183,111,38,190,250,80,112,1152,902
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070114,112,0,0,200,106,57,180,170,107,130,206,207
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070115,277,0,0,183,-11,51,280,280,94,125,114,115
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070116,0,0,0,-6,-33,52,10,10,76,98,1923,2010
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070117,0,0,0,22,-39,35,50,70,72,89,1008,143
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070118,0,0,0,56,17,35,190,190,63,94,938,1200
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070119,0,0,0,89,-11,28,20,30,63,80,1430,1539
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070120,20,0,0,67,22,34,110,120,72,94,2356,2328
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070121,241,0,0,89,28,33,170,130,67,103,45,1138
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070122,0,0,0,78,28,40,340,340,72,89,942,943
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070123,0,0,0,39,-11,24,310,220,45,76,2035,810
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070124,0,0,0,89,11,20,320,320,45,58,1531,1533
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070125,0,0,0,83,0,27,310,10,63,76,1224,1428
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070126,0,0,0,122,-17,38,190,230,67,98,1209,2313
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070127,3,0,0,94,22,31,240,240,63,107,14,1031
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070128,0,0,0,44,-39,51,300,290,98,125,1127,811
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070129,0,0,0,78,-78,38,190,200,89,103,1534,1529
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070130,0,0,0,44,-44,47,310,300,103,116,1316,1306
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070131,3,0,0,0,-78,33,80,80,63,72,905,905
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070201,15,0,10,33,-11,26,320,310,54,80,1246,2306
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070202,18,51,46,28,-44,29,270,270,76,85,1515,1517
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070203,0,0,0,67,-61,36,250,250,80,103,1250,1251
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070204,0,0,0,50,-33,25,360,10,76,94,419,504
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070205,0,0,0,44,-39,34,50,50,72,80,820,818
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070206,0,0,0,178,-22,51,200,210,107,143,1600,1555
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070207,0,0,0,128,11,50,30,20,98,112,552,541
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070208,3,0,0,56,-11,51,40,50,80,98,832,824
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070209,5,0,0,11,-22,45,40,50,76,98,407,447
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070210,0,0,0,61,-11,34,20,360,63,76,130,131
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070211,0,0,0,100,-33,12,90,260,40,80,1705,1338
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070212,43,0,0,189,67,27,200,210,67,80,1530,1535
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070213,109,0,0,156,-17,62,330,340,107,139,2051,1750
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070214,0,0,0,0,-44,68,360,350,116,125,343,343
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070215,0,0,0,-6,-61,44,10,10,76,94,1355,1356
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070216,0,0,0,17,-78,45,190,250,89,134,1233,2128
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070217,0,0,0,50,-33,67,290,300,116,143,1051,1033
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070218,0,0,0,89,-50,34,260,270,76,85,808,809
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070219,0,0,0,161,11,76,190,190,134,165,1525,1555
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070220,0,0,0,200,133,78,200,210,125,161,1258,1348
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070221,0,0,0,211,89,31,210,250,72,107,105,27
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,20070222,0,0,0,206,61,32,20,10,80,103,916,918
