STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070101,0,-9999,-9999,194,78,38,30,30,72,94,1211,1215
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070102,0,-9999,-9999,183,78,41,20,60,67,76,1940,1042
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070103,71,-9999,-9999,178,100,30,310,310,103,134,2012,2052
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070104,145,-9999,-9999,194,100,30,140,150,58,67,1820,1822
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070105,0,-9999,-9999,278,100,34,160,170,67,80,1439,1510
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070106,0,-9999,-9999,244,117,60,320,310,103,125,1816,1816
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070107,0,-9999,-9999,211,106,49,350,310,98,116,1615,1548
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070108,0,-9999,-9999,189,39,20,320,320,45,58,11,214
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070109,0,-9999,-9999,200,67,26,80,20,63,76,1448,1500
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070110,0,-9999,-9999,233,67,37,140,120,103,125,1635,1713
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070111,0,-9999,-9999,256,133,57,140,140,116,143,1603,1615
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070112,0,-9999,-9999,278,189,69,140,140,130,156,1542,1533
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070113,5,-9999,-9999,283,217,67,130,150,107,134,1214,1043
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070114,0,-9999,-9999,283,222,75,150,160,112,139,1538,1606
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070115,0,-9999,-9999,228,39,75,340,340,116,148,1627,1628
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070116,0,-9999,-9999,50,11,72,330,310,107,139,110,20
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070117,0,-9999,-9999,56,11,50,340,340,76,94,332,41
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070118,8,-9999,-9999,94,33,42,330,340,72,80,1851,1851
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070119,33,-9999,-9999,150,78,47,10,10,72,94,1511,1712
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070120,5,-9999,-9999,189,139,30,310,300,67,80,1002,1003
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070121,0,-9999,-9999,-9999,-9999,26,70,340,58,67,244,2159
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070122,3,-9999,-9999,-9999,-9999,50,10,10,89,107,1405,1408
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070123,61,-9999,-9999,72,33,60,320,320,98,116,1423,2222
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070124,269,-9999,-9999,72,56,60,340,340,89,107,145,128
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070125,0,-9999,-9999,172,72,39,340,10,72,89,1153,1042
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070126,0,-9999,-9999,194,94,31,130,110,89,103,1436,1454
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070127,8,-9999,-9999,244,144,43,10,10,80,103,2243,2231
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070128,0,-9999,-9999,161,72,40,340,20,72,94,1047,1156
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070129,0,-9999,-9999,178,72,17,50,20,45,63,758,542
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070130,0,-9999,-9999,156,106,38,10,20,72,89,1903,2317
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070131,5,-9999,-9999,156,100,34,20,10,67,80,1300,725
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070201,0,-9999,-9999,194,117,24,350,360,58,67,835,837
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070202,0,-9999,-9999,139,78,34,50,60,67,94,2235,2227
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070203,0,-9999,-9999,139,83,38,10,20,72,89,523,817
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070204,0,-9999,-9999,189,111,30,80,70,80,94,1534,1535
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070205,0,-9999,-9999,200,139,33,80,50,63,72,1651,1639
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070206,0,-9999,-9999,239,89,20,160,150,58,80,1535,1536
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070207,0,-9999,-9999,278,128,50,140,150,94,107,1852,1855
GHCND:USW00012959,MCALLEN MILLER INTERNATIONAL AIRPORT TX US,20070208,0,-9999,-9999,272,172,51,130,140,98,107,1527,1527
