STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070101,0,0,0,78,-22,6,160,160,31,31,2229,2229
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070102,0,0,0,89,22,8,300,290,36,40,2346,2350
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070103,236,0,0,100,33,15,80,80,63,72,2,3
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070104,38,0,0,56,0,18,290,290,80,98,1403,1406
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070105,0,0,0,39,-33,6,310,350,27,36,1227,2211
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070106,71,0,0,67,6,16,340,340,36,40,1644,1644
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070107,3,0,0,72,39,6,350,340,27,31,1429,2320
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070108,0,0,0,56,39,7,20,20,40,45,758,759
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070109,0,0,0,39,22,9,310,300,31,36,2321,2322
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070110,25,0,3,56,-11,21,300,300,94,112,1657,1658
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070111,0,0,0,33,-39,14,10,360,45,58,1824,2201
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070112,0,0,0,17,-78,7,350,340,36,40,7,12
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070113,0,0,0,6,-83,8,160,150,36,40,1935,1936
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070114,0,0,0,39,-78,5,90,90,36,36,2106,2105
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070115,0,0,0,61,-78,7,140,130,31,36,2239,2240
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070116,48,0,76,-6,-72,3,300,300,31,31,848,840
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070117,0,76,0,22,-28,11,60,60,40,45,2214,2219
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070118,0,25,0,44,-6,5,10,300,27,36,1500,1520
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070119,0,0,0,61,-39,2,170,300,22,27,1415,1947
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070120,0,0,0,72,-28,4,30,330,27,27,1457,1205
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070121,0,0,0,78,-44,4,50,50,36,36,2002,1959
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070122,0,0,0,100,-50,5,160,160,31,31,647,646
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070123,0,0,0,106,-50,3,10,150,27,31,533,1510
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070124,0,0,0,117,-56,1,170,190,27,27,2216,2207
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070125,0,0,0,117,-50,4,20,30,27,31,2009,2010
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070126,0,0,0,89,-44,5,150,30,27,31,1537,2304
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070127,0,0,0,128,-39,3,150,340,31,36,1918,503
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070128,0,0,0,139,-56,10,190,190,40,45,1849,1850
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070129,0,0,0,144,-50,8,70,70,40,40,2057,2057
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070130,0,0,0,133,-39,5,140,140,36,40,2200,109
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070131,0,0,0,133,-56,5,40,180,31,36,1819,2158
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070201,0,0,0,122,-56,4,180,170,27,31,1918,1948
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070202,0,0,0,111,-56,7,30,30,31,31,802,802
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070203,0,0,0,122,-17,5,80,80,31,31,2231,2231
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070204,0,0,0,172,-17,5,40,310,31,31,1212,51
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070205,0,0,0,133,11,3,150,140,27,31,839,2321
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070206,0,0,0,183,0,5,360,180,31,40,1925,2242
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070207,86,0,0,150,39,25,290,290,94,112,1710,1643
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070208,28,0,0,67,22,10,100,100,58,67,1956,1957
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070209,0,0,0,128,22,5,200,250,31,40,138,344
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070210,84,0,0,144,22,17,140,140,63,76,2121,2122
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070211,18,0,0,111,44,17,270,260,72,80,1557,1552
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070212,0,0,0,117,17,13,290,280,45,54,1635,1636
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070213,0,0,0,122,28,5,10,10,36,40,1254,1254
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070214,53,0,0,67,-11,7,350,360,27,31,2237,2244
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070215,25,0,0,144,56,12,40,40,45,45,2137,2135
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070216,0,0,0,161,56,11,20,20,36,45,1706,1707
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070217,0,0,0,167,28,13,310,300,45,58,2209,2210
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070218,10,0,0,111,28,28,290,310,72,98,1545,1118
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070219,0,0,0,94,0,8,360,360,36,40,1339,1339
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070220,20,0,0,94,6,24,310,310,76,94,1618,1619
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070221,216,0,38,44,0,9,310,100,31,36,52,746
GHCND:USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT OR US,20070222,117,76,64,33,0,4,130,130,31,36,1649,1650
