STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070101,0,-9999,-9999,144,39,43,330,330,72,94,1209,1832
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070102,0,-9999,-9999,144,-11,17,90,90,76,89,1004,1005
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070103,0,-9999,-9999,133,6,14,100,80,54,67,849,921
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070104,0,-9999,-9999,194,122,31,110,110,58,67,909,911
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070105,356,-9999,-9999,206,94,31,280,270,98,116,606,607
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070106,0,-9999,-9999,233,72,16,300,310,63,72,1102,1103
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070107,442,-9999,-9999,233,128,46,270,290,103,130,2352,1621
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070108,0,-9999,-9999,139,28,44,310,300,94,112,147,150
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070109,0,-9999,-9999,144,6,43,310,310,103,134,1346,1522
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070110,0,-9999,-9999,122,-22,19,60,40,63,76,912,915
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070111,0,-9999,-9999,172,-11,35,170,170,80,103,1211,1212
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070112,0,-9999,-9999,228,72,33,180,180,67,76,1234,1235
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070113,0,-9999,-9999,233,100,29,180,190,63,72,1329,1223
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070114,0,-9999,-9999,244,83,23,190,230,76,98,1415,1204
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070115,13,-9999,-9999,233,122,34,330,210,72,89,1205,1803
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070116,30,-9999,-9999,139,17,55,320,320,89,107,130,131
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070117,8,-9999,-9999,89,17,47,100,30,76,98,2354,2313
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070118,0,-9999,-9999,78,50,28,100,100,72,89,113,114
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070119,3,-9999,-9999,133,61,35,20,330,63,80,614,1444
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070120,0,-9999,-9999,117,44,26,50,60,63,67,1011,902
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070121,147,-9999,-9999,161,72,31,310,310,63,72,1637,1637
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070122,124,-9999,-9999,128,61,30,310,340,67,76,1718,1335
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070123,0,-9999,-9999,67,39,30,20,20,58,72,910,910
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070124,0,-9999,-9999,83,39,19,300,310,36,45,1254,1519
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070125,0,-9999,-9999,139,0,34,330,40,89,103,1053,1202
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070126,0,-9999,-9999,139,-22,17,60,50,45,63,852,903
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070127,38,-9999,-9999,167,-17,15,330,220,45,58,1233,2337
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070128,0,-9999,-9999,111,-11,58,300,310,116,143,1332,1333
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070129,0,-9999,-9999,78,-61,16,330,330,63,76,2354,5
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070130,0,-9999,-9999,139,-6,27,320,320,67,89,2329,2342
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070131,28,-9999,-9999,122,-22,27,320,330,63,76,15,4
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070201,262,-9999,-9999,150,72,36,100,90,72,80,456,456
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070202,0,-9999,-9999,139,-6,38,290,290,80,98,1348,1335
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070203,0,-9999,-9999,78,-28,20,300,290,54,67,1255,1258
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070204,0,-9999,-9999,133,-28,21,310,300,76,94,1345,1327
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070205,0,-9999,-9999,122,-6,21,330,30,63,76,850,1433
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070206,0,-9999,-9999,167,-22,21,190,240,54,89,1309,1451
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070207,0,-9999,-9999,206,72,30,290,290,76,94,1041,1047
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070208,0,-9999,-9999,167,67,24,40,40,63,76,329,330
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070209,20,-9999,-9999,94,22,27,330,340,54,67,2213,2233
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070210,0,-9999,-9999,117,-28,31,320,330,63,72,1654,1629
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070211,0,-9999,-9999,144,-22,9,40,40,40,54,24,27
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070212,0,-9999,-9999,222,0,17,120,150,40,54,1440,1536
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070213,384,-9999,-9999,189,83,44,290,290,139,170,1903,1854
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070214,0,-9999,-9999,94,-6,63,290,300,107,143,29,30
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070215,0,-9999,-9999,67,-28,38,300,330,72,94,1055,1551
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070216,0,-9999,-9999,67,-44,37,300,300,76,94,1343,1343
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070217,0,-9999,-9999,144,-61,55,300,300,134,161,1904,1904
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070218,0,-9999,-9999,106,-22,55,310,340,112,139,215,159
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070219,0,-9999,-9999,178,-50,26,200,220,67,89,1531,1621
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070220,0,-9999,-9999,228,94,38,220,220,76,103,1032,1143
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070221,58,-9999,-9999,189,100,38,180,200,94,107,47,26
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070222,0,-9999,-9999,250,67,29,330,350,72,94,1439,1622
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070223,0,-9999,-9999,222,33,21,60,60,63,76,842,841
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070224,0,-9999,-9999,233,72,55,150,150,107,139,1615,1615
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070225,114,-9999,-9999,233,100,45,280,260,148,170,402,402
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070226,0,-9999,-9999,233,22,16,270,270,67,80,1419,1419
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070227,0,-9999,-9999,256,61,14,10,340,58,72,1406,1408
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070228,0,-9999,-9999,267,44,31,160,160,72,80,1406,1407
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070301,386,-9999,-9999,228,133,48,300,290,197,219,1941,1941
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070302,0,-9999,-9999,178,72,24,310,310,94,107,26,22
GHCND:USW00013895,MONTGOMERY AIRPORT AL US,20070303,0,-9999,-9999,194,72,32,270,250,80,98,1518,1514
