STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070101,165,-9999,-9999,28,-43,19,140,140,63,72,801
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070102,5,-9999,-9999,61,-16,42,300,310,125,157,1118
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070103,0,-9999,-9999,111,-32,30,250,240,63,89,1539
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070104,0,-9999,-9999,122,-21,15,180,180,72,89,1432
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070105,3,-9999,-9999,156,28,33,190,200,67,89,1327
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070106,132,-9999,-9999,206,94,49,280,280,103,161,1903
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070107,0,-9999,-9999,100,39,33,300,310,98,125,254
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070108,254,-9999,-9999,72,28,31,260,280,72,107,2147
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070109,0,-9999,-9999,61,0,38,270,270,98,130,1222
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070110,0,-9999,-9999,6,-66,46,310,300,116,161,1353
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070111,0,-9999,-9999,6,-93,32,320,320,76,94,7
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070112,0,-9999,-9999,83,-5,36,220,210,67,81,851
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070113,0,-9999,-9999,94,6,36,10,10,89,98,1135
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070114,20,-9999,-9999,6,-16,16,350,360,58,67,1210
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070115,130,-9999,-9999,6,-27,21,20,60,45,63,649
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070116,0,-9999,-9999,6,-110,29,330,320,76,98,809
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070117,0,-9999,-9999,-88,-166,28,330,320,63,81,211
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070118,10,-9999,-9999,0,-138,19,200,180,54,67,1113
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070119,8,-9999,-9999,33,-10,26,300,300,72,98,1541
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070120,8,-9999,-9999,-10,-110,56,310,310,130,174,1410
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070121,0,-9999,-9999,-55,-121,47,310,310,94,112,743
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070122,0,-9999,-9999,-43,-77,10,320,210,31,63,1617
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070123,0,-9999,-9999,-5,-71,17,360,360,63,67,1004
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070124,0,-9999,-9999,33,-105,20,300,320,72,81,1410
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070125,0,-9999,-9999,-49,-160,42,320,330,81,107,2231
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070126,0,-9999,-9999,-127,-177,55,310,310,107,139,1249
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070127,0,-9999,-9999,-66,-171,16,320,330,58,72,1
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070128,5,-9999,-9999,33,-71,24,360,360,67,76,2111
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070129,0,-9999,-9999,-38,-93,45,300,310,89,112,1010
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070130,0,-9999,-9999,-27,-138,20,300,250,76,94,1441
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070131,0,-9999,-9999,-10,-110,29,290,280,81,112,1601
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070201,0,-9999,-9999,11,-66,27,220,220,72,103,1418
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070202,58,-9999,-9999,33,-66,13,110,110,36,67,1905
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070203,3,-9999,-9999,6,-82,35,300,280,98,125,1026
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070204,0,-9999,-9999,-55,-138,30,280,290,89,112,1227
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070205,0,-9999,-9999,-93,-143,56,300,310,125,174,1511
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070206,0,-9999,-9999,-43,-105,-9999,310,310,107,139,1102
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070207,0,-9999,-9999,-66,-143,34,320,310,98,130,1447
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070208,0,-9999,-9999,-43,-121,49,310,310,130,170,1347
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070209,0,-9999,-9999,-49,-99,50,310,310,112,139,1554
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070210,0,-9999,-9999,-5,-121,26,280,290,67,89,1608
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070211,0,-9999,-9999,-10,-132,21,220,190,54,63,1906
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070212,0,-9999,-9999,6,-99,40,350,310,89,125,1134
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070213,0,-9999,-9999,-82,-160,46,310,320,89,116,330
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070214,168,-9999,-9999,-43,-116,66,310,310,139,179,2320
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070215,0,-9999,-9999,-71,-121,63,300,310,130,174,1047
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070216,0,-9999,-9999,-21,-127,54,290,300,112,148,1317
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070217,0,-9999,-9999,22,-82,29,290,290,67,89,1525
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070218,0,-9999,-9999,0,-105,37,310,320,112,165,2234
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070219,0,-9999,-9999,-77,-155,62,320,310,134,179,837
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070220,0,-9999,-9999,67,-105,12,210,180,36,45,1545
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070221,8,-9999,-9999,50,-49,25,300,310,98,116,1557
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20070222,0,-9999,-9999,39,-82,15,170,130,54,67,1627
