STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20070101,0,-9999,-9999,272,217,35,120,120,89,103,1056,1057
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20070102,28,-9999,-9999,283,217,26,110,110,67,76,1259,1300
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20070103,0,-9999,-9999,278,228,46,90,140,72,94,1150,1624
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20070104,0,-9999,-9999,278,217,52,100,100,80,103,1110,1507
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20070105,3,-9999,-9999,272,222,47,130,130,98,134,1450,1526
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20070106,0,-9999,-9999,283,217,33,120,130,63,76,1402,1008
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20070107,0,-9999,-9999,278,233,47,100,100,80,103,1050,1414
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20070108,36,-9999,-9999,289,211,34,250,240,80,112,1556,1610
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20070109,0,-9999,-9999,233,150,40,340,360,63,80,1515,2050
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20070110,0,-9999,-9999,233,122,43,70,60,80,98,2346,2347
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20070111,0,-9999,-9999,256,206,64,80,80,112,130,1133,1138
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20070112,0,-9999,-9999,261,211,71,90,90,103,130,1308,1313
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20070113,0,-9999,-9999,267,211,62,80,80,98,116,1305,1317
GHCND:USW00012839,MIAMI INTERNATIONAL AIRPORT FL US,20070114,3,-9999,-9999,256,211,59,90,100,98,116,1020,1007
