STATION,STATION_NAME,DATE,MDPR,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070101,-9999,0,0,0,56,-28,25,300,290,58,81,103
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070102,-9999,0,0,0,78,-39,26,210,210,67,94,2129
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070103,-9999,0,0,0,117,17,60,200,200,112,139,1548
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070104,-9999,0,0,0,111,67,59,210,210,103,139,431
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070105,-9999,10,0,0,89,44,20,330,320,58,76,2356
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070106,-9999,0,0,0,89,-11,19,330,310,63,81,44
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070107,-9999,0,0,0,67,-22,33,330,330,98,139,1502
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070108,-9999,0,0,0,111,-22,51,250,330,94,134,2143
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070109,-9999,0,0,0,56,-11,41,320,290,107,148,521
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070110,-9999,0,0,0,128,-11,71,200,210,148,197,1255
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070111,-9999,0,0,0,156,17,-9999,190,180,107,139,1536
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070112,-9999,23,0,0,17,-83,47,350,320,67,94,16
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070113,-9999,15,0,8,-72,-89,38,10,360,72,94,140
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070114,-9999,86,0,13,-22,-78,33,330,320,72,98,1846
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20070115,-9999,0,25,0,-22,-139,44,320,320,81,112,747
