STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014839,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,20070101,0,0,0,72,-6,60,320,240,116,148,2355,1031
GHCND:USW00014839,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,20070102,0,0,0,56,-17,37,220,210,80,98,2338,1020
GHCND:USW00014839,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,20070103,0,0,0,94,6,71,220,200,103,139,1450,2242
GHCND:USW00014839,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,20070104,0,0,0,100,33,76,220,220,139,174,1044,1258
GHCND:USW00014839,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,20070105,0,0,0,117,33,33,330,330,76,98,2043,2043
GHCND:USW00014839,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,20070106,0,0,0,50,-6,37,270,270,80,107,1018,1018
GHCND:USW00014839,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,20070107,10,0,0,61,-33,38,280,210,103,134,813,2238
GHCND:USW00014839,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,20070108,0,0,0,33,-28,51,270,280,94,125,308,632
GHCND:USW00014839,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,20070109,0,0,0,-11,-61,63,300,310,116,165,1322,1356
GHCND:USW00014839,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,20070110,0,0,0,11,-83,42,170,170,89,112,1909,1910
GHCND:USW00014839,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,20070111,15,0,0,72,11,57,220,210,107,134,1319,1143
GHCND:USW00014839,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT WI US,20070112,3,0,0,50,-17,35,360,350,76,116,2353,2344
