STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070101,0,-9999,0,56,-28,51,300,300,94,116,625,625
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070102,0,-9999,0,56,-61,28,220,230,67,80,2346,2355
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070103,0,-9999,0,100,-6,58,200,200,103,125,2134,2115
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070104,0,-9999,0,111,39,67,200,180,112,139,1524,1311
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070105,0,-9999,0,106,11,30,220,360,72,80,2013,349
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070106,0,-9999,0,72,-11,35,310,310,67,89,209,202
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070107,0,-9999,0,78,-28,44,290,300,89,116,2335,2336
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070108,3,-9999,0,56,-44,49,260,250,98,116,1304,1309
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070109,0,-9999,0,22,-56,62,310,300,112,148,1406,1431
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070110,0,-9999,0,44,-89,60,190,180,134,170,2346,2347
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070111,0,-9999,0,106,33,72,190,190,130,165,226,0
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070112,3,-9999,0,100,-44,45,310,310,76,103,128,129
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070113,15,-9999,3,-11,-39,35,80,80,67,76,1250,1254
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070114,102,-9999,10,6,-22,41,80,60,76,98,1831,1835
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070115,13,-9999,25,-22,-106,36,20,350,63,76,2357,122
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070116,0,-9999,0,-89,-161,24,290,290,45,54,214,19
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070117,0,-9999,0,-44,-178,28,170,170,63,76,1438,1441
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070118,0,-9999,3,6,-44,53,300,310,89,116,2232,2232
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070119,0,-9999,0,-11,-106,34,290,290,76,98,104,106
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070120,0,-9999,0,-33,-133,30,110,110,58,67,1551,1554
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070121,94,-9999,94,-6,-39,36,110,110,72,89,354,354
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070122,0,-9999,0,-11,-39,44,250,270,98,125,2256,2256
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070123,0,-9999,0,-22,-94,42,250,250,98,112,152,54
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070124,0,-9999,0,-17,-111,29,320,330,89,107,2007,2008
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070125,0,-9999,0,-22,-144,26,260,260,58,67,1347,1834
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070126,0,-9999,0,83,-78,53,240,230,107,130,1513,1514
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070127,0,-9999,0,11,-133,64,310,290,116,161,1857,1357
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070128,0,-9999,0,-83,-167,54,310,310,98,116,931,838
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070129,0,-9999,5,-6,-117,58,290,290,107,156,2016,2017
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070130,0,-9999,0,-100,-156,56,300,310,94,130,2357,26
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070131,5,-9999,30,-61,-172,44,220,220,76,94,1730,1730
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070201,0,-9999,0,-56,-144,37,250,260,72,80,309,310
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070202,0,-9999,0,-106,-183,57,260,270,103,125,1155,1613
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070203,0,-9999,0,-106,-200,71,260,320,107,148,1036,1449
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070204,0,-9999,0,-144,-200,59,330,300,80,112,1051,1356
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070205,0,-9999,0,-139,-228,10,310,330,36,54,910,910
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070206,89,-9999,99,-133,-200,39,110,110,76,89,1106,1107
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070207,0,-9999,0,-117,-183,34,300,290,72,94,1519,1628
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070208,0,-9999,0,-111,-194,43,310,330,72,89,2353,2333
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070209,0,-9999,0,-83,-161,38,300,300,67,89,1655,1656
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070210,0,-9999,0,-111,-200,32,290,300,63,94,36,41
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070211,3,-9999,3,11,-117,25,150,210,58,72,1254,2104
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070212,0,-9999,0,-6,-33,53,50,50,98,116,2359,2324
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070213,104,-9999,168,-33,-106,76,30,20,112,148,1556,1351
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070214,0,-9999,0,-83,-161,43,10,10,76,94,232,229
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070215,0,-9999,0,-106,-217,38,280,290,67,89,402,1626
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070216,36,-9999,69,-56,-222,47,200,210,103,130,1420,1319
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070217,25,-9999,25,-44,-83,54,310,310,103,130,1609,1603
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070218,0,-9999,0,-33,-111,34,150,150,58,76,2256,2257
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070219,0,-9999,0,89,-61,55,230,220,107,139,1034,1336
GHCND:USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,20070220,3,-9999,0,89,-28,16,270,270,45,58,1455,1511
