STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070101,0,-9999,-9999,106,11,31,340,290,72,89,39,935
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070102,0,-9999,-9999,106,-6,20,20,100,54,67,1029,1237
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070103,0,-9999,-9999,117,0,5,130,140,31,40,1650,1651
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070104,366,-9999,-9999,161,50,24,280,260,80,103,2322,2337
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070105,3,-9999,-9999,172,89,23,220,230,58,67,1141,229
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070106,5,-9999,-9999,178,61,22,80,50,58,72,2048,2351
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070107,213,-9999,-9999,128,72,34,310,310,80,98,617,617
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070108,0,-9999,-9999,133,22,26,320,320,67,89,134,325
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070109,0,-9999,-9999,161,28,33,320,320,98,116,1209,1209
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070110,0,-9999,-9999,128,0,16,170,170,45,63,1305,1319
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070111,0,-9999,-9999,189,56,43,170,180,89,107,1248,1252
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070112,18,-9999,-9999,217,150,33,160,160,89,107,2310,2311
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070113,3,-9999,-9999,233,183,49,200,190,94,112,1229,1231
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070114,226,-9999,-9999,239,172,38,170,170,80,107,1055,1056
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070115,295,-9999,-9999,206,11,52,310,310,103,125,13,14
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070116,0,-9999,-9999,11,-11,57,350,340,89,112,645,651
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070117,5,-9999,-9999,11,-11,40,20,20,89,103,257,257
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070118,13,-9999,-9999,67,0,17,340,340,45,58,2207,2211
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070119,0,-9999,-9999,72,33,44,40,60,80,98,1152,936
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070120,13,-9999,-9999,100,39,35,90,70,58,80,1159,1305
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070121,165,-9999,-9999,161,61,19,310,300,67,80,48,51
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070122,0,-9999,-9999,111,33,27,340,340,63,76,1127,1137
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070123,0,-9999,-9999,72,28,17,350,340,54,58,1553,1554
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070124,0,-9999,-9999,111,44,19,340,360,40,45,1403,951
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070125,0,-9999,-9999,117,11,24,20,10,72,80,1023,1018
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070126,0,-9999,-9999,150,-22,18,180,190,54,67,1132,1158
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070127,114,-9999,-9999,94,33,19,360,340,89,116,2311,2319
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070128,0,-9999,-9999,67,-28,42,340,350,80,103,905,900
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070129,0,-9999,-9999,83,-44,13,170,160,40,54,1354,1439
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070130,0,-9999,-9999,94,17,26,50,50,76,89,2332,1304
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070131,56,-9999,-9999,44,-22,36,60,80,63,76,901,928
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070201,51,-9999,-9999,50,11,29,10,10,58,67,1122,1122
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070202,0,-9999,-9999,67,-17,29,310,290,63,76,1434,1301
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070203,0,-9999,-9999,94,-50,20,210,220,58,72,1141,1142
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070204,0,-9999,-9999,139,-6,17,50,60,45,58,1916,1919
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070205,0,-9999,-9999,133,-6,21,50,100,45,58,923,148
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070206,0,-9999,-9999,189,-11,28,210,210,76,98,1608,1602
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070207,0,-9999,-9999,194,72,35,60,40,72,76,1843,2237
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070208,0,-9999,-9999,94,28,47,30,50,89,103,1041,1018
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070209,41,-9999,-9999,44,6,34,10,360,58,72,1621,1433
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070210,0,-9999,-9999,83,6,36,50,50,63,72,1616,1604
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070211,0,-9999,-9999,133,-17,16,150,140,45,58,1438,1439
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070212,28,-9999,-9999,194,83,30,130,130,80,130,2307,2308
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070213,84,-9999,-9999,161,33,65,260,300,125,148,1312,1041
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070214,0,-9999,-9999,33,-11,55,10,10,94,116,517,518
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070215,0,-9999,-9999,28,-22,47,20,350,76,94,1200,913
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070216,0,-9999,-9999,67,-39,34,230,330,58,72,250,1555
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070217,0,-9999,-9999,133,0,64,310,280,125,161,1437,1342
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070218,0,-9999,-9999,122,-39,16,320,190,40,54,1235,2
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070219,0,-9999,-9999,189,11,48,170,170,112,139,1537,1538
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070220,3,-9999,-9999,211,128,49,210,210,94,107,1349,1350
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070221,0,-9999,-9999,267,100,26,270,260,76,98,1417,1449
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070222,0,-9999,-9999,244,67,32,30,30,76,89,1010,1011
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070223,0,-9999,-9999,239,83,32,160,140,63,89,2143,2330
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070224,69,-9999,-9999,233,161,70,240,200,116,201,2247,2250
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070225,0,-9999,-9999,194,50,53,270,270,107,134,400,401
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070226,0,-9999,-9999,256,11,35,230,230,116,139,1340,1341
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070227,0,-9999,-9999,233,39,27,40,40,67,80,1235,1235
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070228,0,-9999,-9999,211,83,35,170,160,72,98,2239,2219
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070301,13,-9999,-9999,239,83,57,280,280,125,148,1451,1451
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070302,0,-9999,-9999,200,6,40,260,240,98,116,1424,1415
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070303,0,-9999,-9999,167,11,35,270,300,94,107,1442,1720
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070304,0,-9999,-9999,133,-6,30,20,310,67,76,1148,832
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070305,0,-9999,-9999,194,-6,5,320,330,40,54,1617,1618
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070306,0,-9999,-9999,206,17,15,170,160,58,72,1345,1346
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070307,0,-9999,-9999,217,28,17,250,280,54,80,1259,1458
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070308,0,-9999,-9999,239,50,6,190,160,40,54,1439,1321
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070309,0,-9999,-9999,239,61,15,230,230,67,76,1603,1603
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070310,13,-9999,-9999,239,122,21,250,20,45,54,1809,1037
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070311,0,-9999,-9999,267,122,13,100,80,45,63,1458,1459
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070312,3,-9999,-9999,244,106,19,170,160,58,72,1556,1557
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070313,0,-9999,-9999,261,167,34,180,200,76,98,1312,1337
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070314,140,-9999,-9999,217,167,32,270,280,112,130,1341,1324
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070315,0,-9999,-9999,250,133,23,310,310,58,72,1543,1551
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070316,5,-9999,-9999,178,56,49,10,10,98,130,329,329
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070317,0,-9999,-9999,200,22,19,220,170,58,76,1540,1605
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070318,0,-9999,-9999,239,111,34,190,180,58,72,2349,2349
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070319,0,-9999,-9999,250,117,42,180,170,98,125,1148,1144
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070320,0,-9999,-9999,250,117,28,170,160,63,80,1512,1616
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070321,0,-9999,-9999,267,144,39,170,180,76,98,1127,1201
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070322,0,-9999,-9999,267,122,23,170,170,67,80,1156,1157
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070323,0,-9999,-9999,272,117,21,170,160,67,94,1330,1634
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070324,0,-9999,-9999,283,128,16,160,190,45,63,1514,1526
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070325,0,-9999,-9999,261,144,11,170,180,54,58,808,808
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070326,0,-9999,-9999,261,117,20,170,160,76,94,1456,1457
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070327,0,-9999,-9999,267,156,32,180,180,80,103,1418,1449
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070328,0,-9999,-9999,289,178,32,210,150,63,72,1605,1052
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070329,0,-9999,-9999,283,150,16,180,170,58,67,1438,1417
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070330,0,-9999,-9999,289,144,36,170,170,103,130,1301,1302
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070331,58,-9999,-9999,239,172,47,160,170,134,179,1102,1043
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070401,94,-9999,-9999,256,167,15,190,180,40,54,1251,1307
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070402,0,-9999,-9999,283,161,21,180,180,58,67,2239,2240
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070403,0,-9999,-9999,300,183,43,180,180,80,103,1636,1746
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070404,145,-9999,-9999,217,100,48,10,10,130,165,210,211
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070405,0,-9999,-9999,178,72,46,30,20,94,125,832,833
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070406,0,-9999,-9999,139,67,45,340,340,94,112,1929,1929
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070407,0,-9999,-9999,111,33,36,10,360,103,139,227,228
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070408,0,-9999,-9999,144,33,28,320,300,54,72,1230,1640
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070409,0,-9999,-9999,150,67,15,70,70,40,54,908,812
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070410,244,-9999,-9999,183,100,26,80,80,63,94,1150,1151
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070411,3,-9999,-9999,250,122,51,280,280,107,143,1333,1618
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070412,0,-9999,-9999,244,56,16,40,80,54,63,2316,1352
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070413,0,-9999,-9999,256,122,45,170,170,94,130,2306,2356
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070414,422,-9999,-9999,239,83,59,300,290,125,143,108,109
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070415,0,-9999,-9999,189,44,40,320,360,94,112,1224,1023
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070416,0,-9999,-9999,228,44,12,210,230,45,54,917,750
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070417,48,-9999,-9999,233,94,18,160,170,63,76,1439,1452
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070418,48,-9999,-9999,228,144,19,340,20,54,72,1557,1643
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070419,0,-9999,-9999,267,111,13,60,70,45,58,2341,2342
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070420,0,-9999,-9999,250,117,26,50,70,58,67,1354,1344
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070421,0,-9999,-9999,267,100,18,170,170,58,72,1100,1327
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070422,0,-9999,-9999,267,117,26,190,190,67,80,1659,1659
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070423,48,-9999,-9999,256,178,22,190,180,98,116,1318,1319
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070424,0,-9999,-9999,267,200,47,200,200,76,94,2054,2054
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070425,249,-9999,-9999,211,161,26,270,260,206,286,634,635
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070426,0,-9999,-9999,233,122,40,270,260,80,107,1507,1508
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070427,0,-9999,-9999,250,94,19,330,330,40,54,1003,1004
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070428,0,-9999,-9999,289,133,21,310,290,63,80,1334,1426
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070429,0,-9999,-9999,306,128,10,220,220,40,54,2327,2327
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070430,0,-9999,-9999,306,144,19,210,210,58,72,1657,1658
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070501,3,-9999,-9999,289,156,28,180,190,72,94,1422,1428
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070502,10,-9999,-9999,272,194,27,160,180,67,89,1315,1431
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070503,183,-9999,-9999,278,167,33,270,260,139,170,1521,1521
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070504,0,-9999,-9999,267,167,22,160,160,63,72,1716,1646
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070505,0,-9999,-9999,294,217,30,170,170,72,94,1103,1032
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070506,0,-9999,-9999,306,206,20,170,170,63,72,1054,1046
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070507,0,-9999,-9999,311,189,20,30,40,58,67,2301,2252
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070508,15,-9999,-9999,289,211,13,330,320,63,67,1544,1544
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070509,0,-9999,-9999,306,189,17,330,340,76,89,1652,1652
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070510,0,-9999,-9999,311,172,21,20,250,67,76,1727,1942
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070511,0,-9999,-9999,311,172,18,230,230,76,89,1834,1836
GHCND:USW00013942,MONROE REGIONAL AIRPORT LA US,20070512,0,-9999,-9999,311,183,22,310,300,63,72,1507,1508
