STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070101,0,0,0,150,39,30,310,280,63,80,1517,1515
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070102,0,0,0,117,6,18,50,60,63,72,931,920
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070103,0,0,0,139,22,14,120,110,40,45,2315,2316
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070104,10,0,0,200,106,47,140,150,89,116,2258,2259
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070105,173,0,0,228,122,37,200,190,112,148,246,247
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070106,15,0,0,233,133,23,110,110,45,58,2305,2307
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070107,38,0,0,233,139,48,340,200,98,125,1346,2119
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070108,0,0,0,161,39,39,340,320,80,103,39,1441
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070109,0,0,0,194,17,40,320,320,103,134,1408,1326
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070110,0,0,0,139,11,28,70,60,72,89,940,942
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070111,0,0,0,194,22,43,160,150,98,116,1406,1407
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070112,0,0,0,228,133,51,130,130,112,134,1256,1257
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070113,0,0,0,239,133,43,130,140,76,94,1445,1429
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070114,0,0,0,239,172,45,130,140,89,107,1139,1157
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070115,8,0,0,250,144,40,10,210,80,98,1350,2017
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070116,18,0,0,144,22,67,20,330,98,125,156,2206
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070117,0,0,0,78,17,45,30,20,80,103,924,1011
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070118,23,0,0,128,61,22,100,350,40,45,2042,927
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070119,66,0,0,106,67,41,10,20,67,80,850,850
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070120,0,0,0,150,56,41,60,70,80,98,930,911
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070121,188,0,0,217,117,51,260,260,94,116,1511,1512
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070122,231,0,0,144,83,31,20,20,63,72,1957,1958
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070123,0,0,0,83,56,35,10,20,72,89,220,220
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070124,13,0,0,83,50,31,360,10,58,67,1333,1435
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070125,0,0,0,161,44,38,330,350,72,94,1123,1440
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070126,0,0,0,128,28,19,100,100,45,58,1856,1855
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070127,132,0,0,117,0,27,60,60,58,76,2058,2058
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070128,0,0,0,128,-11,47,320,320,76,76,1259,1258
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070129,0,0,0,94,-56,26,20,20,63,63,1051,1050
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070130,0,0,0,106,22,13,300,300,36,36,1351,1350
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070131,0,0,0,111,-11,41,30,30,72,80,2049,2048
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070201,157,0,0,178,78,38,240,240,94,116,638,638
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070202,0,0,0,100,11,40,330,320,76,98,1333,1318
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070203,0,0,0,89,-11,23,20,20,63,72,1035,1015
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070204,0,0,0,133,-11,13,290,290,40,45,1303,1302
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070205,0,0,0,139,6,22,50,60,72,89,910,911
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070206,0,0,0,172,-6,23,200,190,67,89,1527,1528
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070207,0,0,0,217,39,23,220,220,54,72,1345,1734
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070208,0,0,0,228,72,23,190,330,54,67,454,1614
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070209,0,0,0,211,44,28,360,10,67,89,2251,2259
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070210,0,0,0,128,-6,43,10,360,80,98,417,418
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070211,0,0,0,161,6,18,60,60,45,58,942,945
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070212,0,0,0,200,22,29,130,120,67,76,2148,2152
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070213,48,0,0,256,100,52,330,320,98,125,2327,2346
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070214,0,0,0,100,17,55,330,320,98,116,210,211
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070215,0,0,0,83,-17,44,340,340,76,94,1254,1209
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070216,0,0,0,72,-44,34,330,360,80,103,1211,1207
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070217,0,0,0,150,-50,46,340,340,125,148,2247,2129
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070218,0,0,0,122,-17,47,340,340,112,148,252,18
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070219,0,0,0,167,-22,33,180,170,103,112,1421,1421
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070220,0,0,0,217,83,39,210,210,94,112,1331,1313
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070221,173,0,0,178,122,32,220,330,67,80,730,1541
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070222,0,0,0,267,89,23,330,330,54,72,1332,1346
GHCND:USW00013894,MOBILE REGIONAL AIRPORT AL US,20070223,0,0,0,239,106,31,80,60,63,76,1016,952
