STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070101,0,178,0,-33,-128,38,220,220,94,112,1448,1449
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070102,0,152,0,50,-83,67,240,240,112,143,1358,1358
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070103,0,76,0,78,28,62,230,230,98,134,753,907
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070104,0,51,0,39,-39,45,290,280,89,103,1743,1744
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070105,0,51,0,0,-89,57,290,290,98,116,1354,1346
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070106,0,51,0,11,-94,64,290,290,156,183,2338,2357
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070107,0,51,0,-17,-72,75,290,300,179,237,222,407
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070108,0,51,8,11,-83,70,290,290,174,215,1542,1537
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070109,0,51,0,-39,-128,48,290,290,112,143,20,23
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070110,0,51,0,-28,-117,48,280,280,139,161,2358,2359
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070111,0,51,0,-117,-239,93,270,260,174,210,218,219
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070112,0,51,0,-183,-283,36,310,320,80,98,15,16
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070113,0,51,0,-94,-206,45,220,220,107,134,1243,1243
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070114,0,51,0,-189,-250,19,340,330,36,45,1512,1513
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070115,0,51,0,-156,-261,18,230,230,45,54,1502,1503
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070116,0,51,0,-17,-222,42,220,200,98,107,1517,1315
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070117,0,25,0,0,-89,58,300,300,107,134,2353,2341
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070118,0,25,0,-56,-117,61,290,300,98,125,10,44
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070119,0,25,0,-33,-161,22,230,230,67,76,1102,1100
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070120,0,25,0,-17,-106,50,290,300,89,98,1155,1155
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070121,0,25,0,-39,-133,45,230,240,76,94,2213,2214
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070122,0,25,13,6,-89,62,250,260,107,143,1105,1144
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070123,13,25,0,28,-61,41,290,290,94,112,1611,1612
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070124,0,25,0,-11,-83,31,330,340,54,63,1438,1440
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070125,0,25,0,61,-78,50,230,230,98,112,1415,1413
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070126,0,25,3,33,-106,98,300,300,148,192,743,2228
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070127,0,25,0,-100,-217,66,320,330,139,170,28,33
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070128,0,51,20,-39,-217,83,300,300,165,197,1342,1339
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070129,0,51,0,-72,-200,94,320,320,143,170,439,2355
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070130,0,51,0,-67,-217,60,220,220,107,134,1321,1320
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070131,0,51,0,-72,-189,77,330,330,125,156,703,744
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070201,0,51,0,-94,-194,93,270,280,148,192,2059,2228
GHCND:USW00024013,MINOT INTERNATIONAL AIRPORT ND US,20070202,0,51,0,-172,-256,91,270,260,143,179,100,101
