STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20070101,142,178,119,0,-67,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20070102,0,178,0,17,-83,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20070103,0,178,0,50,-22,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20070104,0,127,0,50,11,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20070105,3,127,0,39,-6,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20070106,3,76,5,0,-22,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20070107,25,76,38,28,-44,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20070108,5,127,10,-11,-67,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20070109,3,127,18,-61,-128,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20070110,0,127,0,-28,-172,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20070111,0,127,0,28,-28,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20070112,25,76,81,-11,-128,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20070113,5,178,25,-89,-117,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20070114,20,127,76,-83,-161,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20070115,150,305,401,-89,-111,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20070116,0,406,3,-106,-206,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20070117,0,305,0,-28,-156,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20070118,8,229,10,-50,-117,-9999
GHCND:USW00094850,MARQUETTE WEATHER SERVICE OFFICE AIRPORT MI US,20070119,23,279,97,-67,-139,-9999
