STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,20070101,0,-9999,-9999,156,33,18,110,100,45,54,2304
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,20070102,0,-9999,-9999,189,56,21,120,120,58,63,726
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,20070103,0,-9999,-9999,156,83,11,300,310,45,58,1433
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,20070104,56,-9999,-9999,139,83,49,300,310,125,157,2022
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,20070105,0,-9999,-9999,122,50,47,350,340,89,130,519
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,20070106,0,-9999,-9999,133,17,24,110,110,58,63,429
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,20070107,0,-9999,-9999,183,44,29,40,60,58,72,1238
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,20070108,0,-9999,-9999,206,39,31,110,90,63,72,212
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,20070109,0,-9999,-9999,228,39,15,130,130,40,40,2309
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,20070110,0,-9999,-9999,128,39,38,290,290,89,112,2347
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,20070111,0,-9999,-9999,100,61,42,290,290,89,112,1805
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,20070112,0,-9999,-9999,89,-10,33,360,340,72,94,1420
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,20070113,0,-9999,-9999,94,-38,29,110,100,54,67,537
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,20070114,0,-9999,-9999,100,-5,27,110,110,45,54,2335
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,20070115,0,-9999,-9999,128,-16,25,110,110,58,63,36
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,20070116,53,-9999,-9999,106,-10,29,300,300,54,67,1250
