STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070101,0,0,0,-11,-100,5,110,100,36,36,724,707
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070102,0,0,0,100,-22,27,150,240,103,130,2324,1738
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070103,30,0,0,89,6,23,240,240,94,103,15,16
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070104,10,0,13,33,-22,27,270,280,80,98,1307,1308
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070105,0,0,0,-6,-50,36,260,270,98,125,1258,1304
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070106,10,0,25,11,-72,53,280,290,130,156,1535,1536
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070107,0,25,0,56,-33,38,150,160,94,112,958,958
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070108,0,0,0,56,6,42,280,290,116,161,112,156
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070109,0,0,0,100,-6,10,140,280,58,67,2359,1916
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070110,3,0,5,100,-83,51,260,250,130,165,152,152
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070111,0,0,0,-67,-172,56,90,90,125,148,234,241
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070112,0,0,0,-122,-194,15,120,100,54,63,151,539
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070113,0,0,3,-111,-200,4,250,300,27,31,1402,1859
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070114,0,0,0,-89,-167,6,310,260,31,31,1530,539
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070115,0,0,0,-72,-178,1,230,280,22,22,2245,1443
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070116,0,0,0,-44,-167,8,330,280,27,36,1317,2233
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070117,8,0,5,-33,-139,8,120,130,36,36,731,731
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070118,0,0,8,-22,-117,13,290,290,63,72,148,148
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070119,0,0,0,22,-44,7,180,180,36,40,2241,2242
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070120,3,0,8,28,-39,33,270,270,103,116,1153,1152
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070121,0,0,0,28,-89,22,270,270,63,72,1645,1647
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070122,0,0,0,28,-22,13,280,280,40,45,2035,2131
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070123,0,0,0,72,0,11,260,260,40,45,1417,1418
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070124,0,0,0,50,-44,5,270,280,31,31,1305,1219
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070125,0,0,0,56,-89,5,120,360,27,31,1946,2358
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070126,0,0,0,50,-83,16,340,340,80,98,2003,2003
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070127,0,0,0,17,-89,16,120,120,72,89,530,531
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070128,0,0,0,17,-106,5,290,290,31,31,1619,1619
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070129,13,0,23,-33,-117,6,360,350,54,58,2319,2319
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070130,0,25,0,-6,-94,17,360,350,67,80,1735,1739
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070131,5,25,10,-28,-89,8,360,360,63,76,27,29
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070201,23,25,25,-44,-100,21,110,100,94,107,1134,1214
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070202,0,51,0,-28,-111,9,120,130,40,54,17,17
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070203,0,51,0,-17,-144,3,250,260,31,31,2346,2346
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070204,23,51,13,44,-44,6,260,250,31,36,1703,2101
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070205,0,25,0,67,-6,4,260,260,36,45,1555,1747
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070206,0,0,0,78,-11,7,100,100,31,36,1932,1932
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070207,0,0,0,28,-44,8,230,200,40,45,2111,2119
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070208,51,0,0,39,6,6,100,190,31,36,239,413
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070209,36,0,0,33,6,9,300,300,31,31,1745,1743
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070210,0,0,0,28,6,16,160,160,36,40,954,954
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070211,13,0,5,50,0,7,300,300,40,45,1529,1533
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070212,13,0,0,17,-28,57,90,100,98,116,1726,1949
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070213,3,0,13,22,-39,22,100,100,80,103,34,35
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070214,0,0,0,39,-22,4,180,170,27,31,2315,2315
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070215,8,0,13,83,0,17,270,280,130,170,2333,2334
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070216,0,0,0,83,33,66,290,280,183,219,332,332
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070217,0,0,0,122,-11,12,330,320,58,67,41,32
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070218,3,0,0,72,-44,34,270,280,107,143,1711,1712
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070219,0,0,0,50,-39,22,260,250,89,107,1308,1308
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070220,5,0,0,72,-6,39,240,260,107,130,1834,1811
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070221,0,0,0,39,-39,19,320,330,58,67,26,27
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070222,5,0,0,44,-6,17,300,290,76,89,1721,1722
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070223,51,25,46,33,-44,36,320,320,94,107,1706,1707
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070224,0,0,0,39,-72,22,100,100,63,76,2258,2358
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070225,0,0,0,67,-11,41,160,160,80,98,1523,1537
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070226,10,25,28,39,-44,11,250,250,89,103,1625,1625
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070227,20,0,15,22,-56,16,170,170,54,58,1731,1731
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070228,0,25,3,33,-56,26,220,220,80,98,1705,1706
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070301,5,25,13,0,-72,18,290,300,98,103,1450,1430
GHCND:USW00024153,MISSOULA INTERNATIONAL AIRPORT MT US,20070302,0,0,0,17,-100,10,130,130,36,54,1108,1303
