STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070101,0,76,0,6,-61,38,310,320,112,148,126,126
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070102,0,76,0,22,-78,38,190,200,72,103,2023,2032
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070103,0,51,0,44,-22,39,190,180,67,94,1714,1715
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070104,0,51,0,50,6,25,220,220,58,72,1432,1507
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070105,0,0,0,28,-17,31,300,290,63,80,1053,1114
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070106,0,0,0,22,-22,41,170,180,67,89,2155,2203
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070107,0,0,0,28,-56,58,290,290,103,139,1213,1938
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070108,0,0,0,11,-72,23,330,330,67,80,2347,2348
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070109,0,0,0,-44,-89,51,290,290,98,130,1410,1410
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070110,0,0,0,39,-100,61,150,140,116,156,1201,1344
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070111,0,0,0,39,-100,49,320,20,98,130,1157,1852
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070112,0,0,0,-100,-156,54,320,360,80,116,1318,557
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070113,0,0,0,-100,-172,16,360,30,54,67,1347,4
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070114,41,0,76,-61,-106,35,360,30,63,94,1141,1938
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070115,13,102,30,-100,-178,47,340,10,76,112,1328,41
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070116,0,102,0,-133,-211,22,230,250,45,63,1344,1509
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070117,0,76,0,-22,-183,44,170,180,98,116,1238,1801
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070118,5,76,5,-22,-94,43,290,310,98,139,2003,2301
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070119,0,76,0,-67,-133,34,310,320,80,98,1302,1422
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070120,0,76,0,-39,-150,37,150,170,80,107,2059,1256
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070121,18,102,20,-22,-78,17,120,300,45,67,2310,724
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070122,0,102,0,-39,-78,36,250,270,67,94,1021,1025
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070123,0,76,0,-44,-83,26,280,10,54,98,953,1703
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070124,0,76,0,-33,-78,32,330,320,94,116,1954,1954
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070125,0,76,0,-44,-122,28,330,200,67,89,2103,25
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070126,0,76,0,50,-67,43,310,310,112,143,1921,1921
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070127,0,51,0,-33,-161,74,310,320,130,161,1149,1016
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070128,0,51,3,-122,-194,36,330,320,80,112,32,34
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070129,0,51,0,-61,-133,47,310,310,89,116,1702,1744
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070130,0,51,0,-111,-172,46,310,320,80,103,148,150
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070131,3,51,5,-67,-167,42,280,230,80,103,1235,2304
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070201,0,51,5,-106,-189,36,310,310,98,116,2258,2258
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070202,0,51,0,-128,-222,51,270,310,89,112,37,2013
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070203,0,51,0,-178,-250,64,320,310,107,139,1113,1113
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070204,0,51,0,-206,-250,42,310,320,94,107,1008,1009
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070205,0,51,0,-167,-272,15,320,330,54,67,1,2
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070206,28,51,48,-139,-211,27,110,50,54,76,1155,1104
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070207,0,102,0,-150,-228,39,280,270,76,94,1729,1610
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070208,0,102,0,-139,-250,33,250,240,63,80,1524,1531
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070209,0,102,0,-122,-217,37,280,280,72,94,1632,1639
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070210,0,102,0,-128,-228,32,240,240,67,80,1642,1642
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070211,0,102,0,-39,-122,17,240,240,54,63,228,214
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070212,0,102,0,-50,-144,39,30,40,72,98,1318,2334
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070213,0,102,0,-72,-139,47,30,20,72,148,1337,1
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070214,0,102,0,-117,-183,36,310,330,76,94,1635,1530
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070215,0,102,0,-111,-206,37,260,250,67,80,1841,1534
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070216,0,102,3,-67,-178,36,330,200,67,103,824,2100
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070217,0,76,0,-39,-106,59,310,290,103,134,1320,1546
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070218,0,76,0,-56,-106,44,140,140,103,125,2119,2115
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070219,0,76,0,61,-67,40,150,160,80,107,132,57
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070220,0,25,0,50,-72,23,230,220,58,72,1247,1256
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070221,0,0,0,83,-28,51,290,290,148,206,2029,2024
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070222,0,0,0,6,-78,42,280,320,98,125,237,203
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070223,8,0,3,6,-33,79,120,130,143,197,1914,1915
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070224,163,0,122,-11,-44,90,100,100,134,165,1336,1334
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070225,89,178,99,-6,-44,49,50,50,98,125,141,141
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070226,10,178,8,6,-33,26,310,20,40,107,1353,2214
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070227,3,152,0,6,-39,16,220,350,40,58,608,1133
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070228,48,152,33,28,-33,63,80,80,112,143,1608,1609
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070301,229,178,229,6,-44,69,40,30,107,148,1555,1556
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070302,43,381,51,-28,-78,69,320,340,98,134,2240,851
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070303,0,356,0,-50,-122,52,320,320,94,125,1411,1400
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070304,0,330,0,17,-156,46,270,290,76,107,1339,1618
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070305,0,279,0,-22,-122,44,350,20,89,116,1330,322
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070306,0,279,0,-61,-122,38,140,120,63,76,800,851
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070307,0,279,0,-22,-83,26,230,30,54,80,600,1754
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070308,0,254,0,33,-56,47,170,150,89,107,1519,1155
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070309,0,229,0,83,0,33,290,290,76,94,1434,1505
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070310,0,152,0,89,-28,16,220,270,45,63,1347,1819
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070311,0,127,0,94,-33,34,200,190,89,112,1255,1256
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070312,0,51,0,122,33,26,220,230,63,80,27,115
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070313,0,0,0,189,50,25,310,290,54,72,1317,1742
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070314,0,0,0,61,0,36,10,10,76,112,845,912
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070315,0,0,0,50,-39,49,330,320,107,139,2322,2341
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070316,0,0,0,22,-67,26,320,340,89,112,0,154
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070317,0,0,0,56,-56,12,310,360,40,67,1459,1846
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070318,0,0,0,56,-28,47,150,150,107,143,1715,1715
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070319,0,0,0,61,-33,60,310,320,112,156,1219,1304
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070320,0,0,0,72,-50,64,160,170,116,161,2253,2334
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070321,5,0,0,133,50,47,160,150,107,139,53,133
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070322,0,0,0,117,-6,34,310,310,112,143,143,144
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070323,0,0,0,183,22,11,170,170,45,63,104,105
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070324,28,0,0,183,50,22,130,130,63,80,2234,2234
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070325,46,0,0,228,133,52,220,220,112,161,1531,1536
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070326,0,0,0,272,100,31,340,350,112,156,2222,2226
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070327,23,0,0,183,56,62,80,50,103,134,1308,1412
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070328,109,0,0,122,67,73,120,110,107,139,2001,2002
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070329,0,0,0,139,67,55,120,140,89,116,824,1023
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070330,259,0,0,94,61,53,90,80,89,107,1318,1319
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070331,183,0,0,94,50,61,110,90,94,116,2320,1135
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070401,23,0,0,94,33,56,290,290,112,148,1903,1905
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070402,3,0,0,106,39,35,310,310,72,94,943,658
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070403,13,0,0,56,-67,68,310,320,130,179,1653,1654
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070404,3,0,10,-11,-83,89,320,320,139,170,946,952
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070405,0,0,0,0,-89,66,320,350,94,130,36,1656
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070406,0,0,0,-17,-89,81,320,340,130,165,1433,1620
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070407,0,0,0,17,-94,64,320,300,94,125,1257,1607
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070408,0,0,0,44,-72,36,320,40,72,112,1419,1309
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070409,0,0,0,61,-67,12,60,40,58,76,1540,1541
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070410,30,0,0,61,-11,54,110,100,107,125,1311,1725
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070411,74,25,33,22,-11,74,20,20,107,139,1710,1711
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070412,3,25,5,78,-17,56,280,320,98,130,1331,1351
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070413,0,0,0,117,-11,24,260,330,67,107,1203,1556
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070414,0,0,0,150,-11,14,280,10,63,103,1439,1505
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070415,0,0,0,178,11,21,280,30,63,112,1421,1554
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070416,0,0,0,244,50,41,350,360,116,148,2255,2236
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070417,0,0,0,178,78,61,360,360,107,143,1,123
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20070418,0,0,0,183,39,44,50,10,89,125,1618,1634
