STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070101,0,-9999,-9999,128,72,49,20,10,94,107,2318,2246
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070102,0,-9999,-9999,106,44,29,50,50,76,98,148,209
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070103,0,-9999,-9999,144,28,22,50,110,63,67,2008,1238
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070104,249,-9999,-9999,217,133,55,170,150,103,125,1831,2013
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070105,25,-9999,-9999,222,133,31,160,230,63,80,2358,1634
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070106,8,-9999,-9999,206,139,27,50,40,58,67,1203,1159
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070107,8,-9999,-9999,239,128,54,230,220,107,130,1206,1207
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070108,0,-9999,-9999,144,67,46,340,340,80,98,604,604
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070109,0,-9999,-9999,200,44,45,30,30,94,103,2344,2345
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070110,0,-9999,-9999,133,67,41,30,30,89,103,13,13
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070111,0,-9999,-9999,206,83,40,150,160,72,94,1510,1531
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070112,0,-9999,-9999,233,161,47,120,120,94,112,1625,1626
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070113,0,-9999,-9999,250,144,38,160,160,76,98,1328,1328
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070114,0,-9999,-9999,250,183,49,160,170,94,116,1405,1424
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070115,41,-9999,-9999,261,106,55,320,340,94,107,1551,1543
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070116,20,-9999,-9999,106,33,77,10,10,112,139,944,1818
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070117,0,-9999,-9999,78,33,55,20,20,94,112,835,836
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070118,56,-9999,-9999,111,72,38,30,10,58,67,2051,2235
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070119,79,-9999,-9999,106,83,60,40,30,80,103,841,2330
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070120,0,-9999,-9999,167,83,56,120,130,89,112,2349,2350
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070121,137,-9999,-9999,206,144,47,180,150,89,112,652,955
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070122,112,-9999,-9999,144,100,38,20,10,72,80,2204,2205
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070123,0,-9999,-9999,100,78,52,20,20,89,98,452,642
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070124,5,-9999,-9999,89,72,44,10,10,67,89,1734,2122
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070125,0,-9999,-9999,156,61,35,20,330,63,98,1328,830
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070126,0,-9999,-9999,139,44,26,30,40,67,76,243,243
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070127,455,-9999,-9999,128,78,30,70,70,94,116,1608,1609
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070128,0,-9999,-9999,122,28,59,310,340,94,112,805,1343
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070129,0,-9999,-9999,89,0,34,30,30,72,80,119,9
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070130,5,-9999,-9999,100,61,29,30,20,63,76,1646,2356
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070131,36,-9999,-9999,106,50,51,40,80,80,103,842,311
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070201,102,-9999,-9999,111,61,28,300,300,89,103,1106,1107
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070202,0,-9999,-9999,94,44,48,320,320,98,125,1307,1314
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070203,0,-9999,-9999,72,33,30,20,10,67,76,1110,1016
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070204,0,-9999,-9999,128,6,12,20,20,45,54,909,927
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070205,0,-9999,-9999,139,44,23,70,70,67,80,950,951
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070206,0,-9999,-9999,178,22,24,200,180,63,72,1916,1345
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070207,0,-9999,-9999,206,50,19,20,20,54,58,1525,1519
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070208,0,-9999,-9999,222,89,19,10,200,54,58,2008,1456
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070209,0,-9999,-9999,233,78,36,20,10,80,98,2209,2310
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070210,0,-9999,-9999,117,50,46,20,20,94,107,514,515
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070211,0,-9999,-9999,156,67,31,40,40,63,72,1513,1521
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070212,0,-9999,-9999,206,100,45,110,120,72,94,2034,2034
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070213,325,-9999,-9999,244,94,72,160,170,116,148,303,301
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070214,0,-9999,-9999,94,39,61,10,10,107,125,557,557
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070215,0,-9999,-9999,78,6,57,330,340,94,125,2037,2045
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070216,0,-9999,-9999,67,6,43,10,10,94,116,408,409
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070217,0,-9999,-9999,167,6,68,330,330,130,170,2250,2251
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070218,0,-9999,-9999,117,28,40,340,340,112,143,2354,2355
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070219,0,-9999,-9999,178,11,38,180,170,94,112,1432,1432
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070220,0,-9999,-9999,222,122,38,230,230,72,89,1141,1142
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070221,140,-9999,-9999,217,122,35,150,140,76,89,1232,1227
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070222,0,-9999,-9999,250,94,14,320,340,40,40,1240,933
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070223,0,-9999,-9999,228,100,38,140,130,76,98,1316,1237
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070224,0,-9999,-9999,228,172,75,170,170,143,174,1525,1525
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070225,10,-9999,-9999,233,117,36,320,310,130,156,146,147
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070226,0,-9999,-9999,239,83,30,180,180,76,89,1600,1615
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070227,0,-9999,-9999,256,128,28,70,100,58,72,1234,1251
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070228,8,-9999,-9999,233,111,36,140,130,76,98,1513,1516
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070301,30,-9999,-9999,239,150,59,200,200,116,148,1427,1302
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070302,0,-9999,-9999,189,111,36,340,340,89,107,100,100
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070303,0,-9999,-9999,206,89,35,320,330,80,103,2359,2359
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070304,0,-9999,-9999,139,72,55,10,340,94,125,144,435
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070305,0,-9999,-9999,172,17,22,300,310,63,98,1452,1452
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070306,0,-9999,-9999,200,44,19,50,50,67,80,1222,1223
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070307,0,-9999,-9999,200,56,16,280,280,58,67,1414,1415
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070308,0,-9999,-9999,222,78,17,200,30,54,72,1336,2134
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070309,0,-9999,-9999,228,83,14,30,190,58,72,1410,1559
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070310,0,-9999,-9999,233,100,16,80,90,58,67,1622,1623
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070311,0,-9999,-9999,239,144,24,140,110,67,80,1534,1609
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070312,0,-9999,-9999,256,144,32,130,140,76,94,1149,1150
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070313,0,-9999,-9999,267,189,37,160,170,89,107,1450,1515
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070314,81,-9999,-9999,233,178,35,220,220,98,125,857,858
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070315,328,-9999,-9999,233,156,26,300,300,125,134,109,105
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070316,0,-9999,-9999,228,128,57,10,360,112,139,1939,2117
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070317,0,-9999,-9999,183,100,38,20,10,107,134,26,52
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070318,0,-9999,-9999,217,83,27,170,180,67,80,1420,1615
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070319,0,-9999,-9999,239,139,43,190,180,98,112,1320,1320
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070320,0,-9999,-9999,244,150,33,140,100,67,80,1521,1628
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070321,3,-9999,-9999,244,172,41,120,120,76,98,1818,1805
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070322,0,-9999,-9999,261,161,36,80,140,76,89,1630,1524
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070323,0,-9999,-9999,261,128,30,100,130,67,103,1147,1439
GHCND:USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT LA US,20070324,0,-9999,-9999,272,172,32,130,150,67,89,1136,1357
