STATION,STATION_NAME,DATE,PRCP,SNWD,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00012896,MARATHON AIRPORT FL US,20070101,0,-9999,278,239,34,120,120,63,81,256
GHCND:USW00012896,MARATHON AIRPORT FL US,20070102,0,-9999,283,228,25,100,90,45,67,2342
GHCND:USW00012896,MARATHON AIRPORT FL US,20070104,0,-9999,278,250,-9999,120,120,72,103,2213
GHCND:USW00012896,MARATHON AIRPORT FL US,20070105,30,-9999,278,239,46,130,110,81,107,1828
GHCND:USW00012896,MARATHON AIRPORT FL US,20070106,0,-9999,283,244,36,90,90,72,94,2314
GHCND:USW00012896,MARATHON AIRPORT FL US,20070107,5,-9999,283,228,47,110,130,67,94,345
GHCND:USW00012896,MARATHON AIRPORT FL US,20070108,0,-9999,278,217,22,140,140,54,67,1030
GHCND:USW00012896,MARATHON AIRPORT FL US,20070109,0,-9999,239,183,49,20,20,89,107,2357
GHCND:USW00012896,MARATHON AIRPORT FL US,20070110,0,-9999,211,150,66,20,360,103,130,731
GHCND:USW00012896,MARATHON AIRPORT FL US,20070111,0,-9999,256,194,60,80,80,94,116,1423
GHCND:USW00012896,MARATHON AIRPORT FL US,20070112,3,-9999,272,217,66,60,70,98,125,1256
GHCND:USW00012896,MARATHON AIRPORT FL US,20070113,0,-9999,261,222,56,60,90,89,116,207
GHCND:USW00012896,MARATHON AIRPORT FL US,20070114,23,-9999,267,217,47,90,90,81,125,1223
GHCND:USW00012896,MARATHON AIRPORT FL US,20070115,0,-9999,261,217,31,100,90,63,76,134
GHCND:USW00012896,MARATHON AIRPORT FL US,20070116,0,-9999,283,222,29,120,120,54,67,438
GHCND:USW00012896,MARATHON AIRPORT FL US,20070117,0,-9999,278,228,35,50,60,58,63,2158
GHCND:USW00012896,MARATHON AIRPORT FL US,20070118,0,-9999,278,222,29,80,110,54,67,1017
GHCND:USW00012896,MARATHON AIRPORT FL US,20070119,0,-9999,261,217,28,30,40,63,72,1051
GHCND:USW00012896,MARATHON AIRPORT FL US,20070120,8,-9999,250,222,44,30,40,72,89,838
GHCND:USW00012896,MARATHON AIRPORT FL US,20070121,0,-9999,272,233,52,110,110,76,103,1231
GHCND:USW00012896,MARATHON AIRPORT FL US,20070122,0,-9999,278,222,34,140,130,72,89,36
GHCND:USW00012896,MARATHON AIRPORT FL US,20070123,3,-9999,289,206,6,360,10,40,58,2355
GHCND:USW00012896,MARATHON AIRPORT FL US,20070124,0,-9999,283,217,26,170,170,54,67,2354
GHCND:USW00012896,MARATHON AIRPORT FL US,20070125,284,-9999,283,161,49,10,360,89,116,2015
GHCND:USW00012896,MARATHON AIRPORT FL US,20070126,0,-9999,222,133,63,10,10,103,130,557
GHCND:USW00012896,MARATHON AIRPORT FL US,20070127,0,-9999,256,178,40,150,90,63,89,1456
GHCND:USW00012896,MARATHON AIRPORT FL US,20070128,74,-9999,261,178,50,310,320,94,125,1505
GHCND:USW00012896,MARATHON AIRPORT FL US,20070129,0,-9999,194,156,40,30,20,89,107,839
GHCND:USW00012896,MARATHON AIRPORT FL US,20070130,0,-9999,211,150,46,50,50,63,76,1640
GHCND:USW00012896,MARATHON AIRPORT FL US,20070131,0,-9999,-9999,-9999,38,50,50,72,89,1625
GHCND:USW00012896,MARATHON AIRPORT FL US,20070201,0,-9999,267,217,47,130,130,72,98,534
GHCND:USW00012896,MARATHON AIRPORT FL US,20070202,0,-9999,294,239,29,200,190,72,98,151
GHCND:USW00012896,MARATHON AIRPORT FL US,20070203,15,-9999,294,206,36,40,30,81,103,1853
GHCND:USW00012896,MARATHON AIRPORT FL US,20070204,467,-9999,217,189,59,20,10,98,116,2313
GHCND:USW00012896,MARATHON AIRPORT FL US,20070205,0,-9999,222,161,87,50,60,139,165,1230
GHCND:USW00012896,MARATHON AIRPORT FL US,20070206,0,-9999,200,144,64,50,50,89,98,1652
GHCND:USW00012896,MARATHON AIRPORT FL US,20070207,0,-9999,233,183,34,50,50,58,67,1338
GHCND:USW00012896,MARATHON AIRPORT FL US,20070208,0,-9999,256,189,28,40,20,54,67,919
GHCND:USW00012896,MARATHON AIRPORT FL US,20070209,0,-9999,239,172,15,330,320,40,54,1239
GHCND:USW00012896,MARATHON AIRPORT FL US,20070210,0,-9999,239,172,27,350,350,54,67,2358
GHCND:USW00012896,MARATHON AIRPORT FL US,20070211,20,-9999,211,178,49,30,90,76,94,1921
GHCND:USW00012896,MARATHON AIRPORT FL US,20070212,386,-9999,222,189,50,60,60,89,107,1027
GHCND:USW00012896,MARATHON AIRPORT FL US,20070213,74,-9999,267,217,27,220,230,54,72,1539
GHCND:USW00012896,MARATHON AIRPORT FL US,20070214,0,-9999,272,217,25,280,270,54,63,1410
GHCND:USW00012896,MARATHON AIRPORT FL US,20070215,3,-9999,250,200,30,360,350,58,76,2351
GHCND:USW00012896,MARATHON AIRPORT FL US,20070216,8,-9999,194,139,48,360,340,76,103,2019
GHCND:USW00012896,MARATHON AIRPORT FL US,20070217,0,-9999,161,100,36,10,20,63,89,136
GHCND:USW00012896,MARATHON AIRPORT FL US,20070218,8,-9999,194,122,57,310,310,112,157,909
GHCND:USW00012896,MARATHON AIRPORT FL US,20070219,0,-9999,183,100,47,20,10,89,107,241
GHCND:USW00012896,MARATHON AIRPORT FL US,20070220,0,-9999,233,156,27,50,90,54,63,231
GHCND:USW00012896,MARATHON AIRPORT FL US,20070221,0,-9999,250,161,23,350,360,31,45,2232
GHCND:USW00012896,MARATHON AIRPORT FL US,20070222,3,-9999,250,167,29,310,310,58,67,2033
GHCND:USW00012896,MARATHON AIRPORT FL US,20070223,0,-9999,244,178,27,360,10,67,94,436
GHCND:USW00012896,MARATHON AIRPORT FL US,20070224,0,-9999,261,194,42,90,90,72,89,1115
GHCND:USW00012896,MARATHON AIRPORT FL US,20070225,0,-9999,272,222,35,130,140,67,89,317
GHCND:USW00012896,MARATHON AIRPORT FL US,20070226,0,-9999,289,228,21,230,170,40,58,1001
GHCND:USW00012896,MARATHON AIRPORT FL US,20070227,0,-9999,300,239,-9999,230,220,31,40,1627
GHCND:USW00012896,MARATHON AIRPORT FL US,20070228,30,-9999,283,211,20,90,80,54,76,2251
GHCND:USW00012896,MARATHON AIRPORT FL US,20070301,0,-9999,289,239,33,120,120,58,81,1711
GHCND:USW00012896,MARATHON AIRPORT FL US,20070302,0,-9999,294,239,28,160,170,58,76,145
GHCND:USW00012896,MARATHON AIRPORT FL US,20070303,3,-9999,300,244,21,200,320,36,89,850
GHCND:USW00012896,MARATHON AIRPORT FL US,20070304,0,-9999,272,211,36,30,30,76,107,2127
GHCND:USW00012896,MARATHON AIRPORT FL US,20070305,0,-9999,244,167,48,20,350,94,134,421
GHCND:USW00012896,MARATHON AIRPORT FL US,20070306,0,-9999,244,172,65,40,30,89,116,844
GHCND:USW00012896,MARATHON AIRPORT FL US,20070307,0,-9999,267,189,41,90,100,63,94,1451
GHCND:USW00012896,MARATHON AIRPORT FL US,20070308,0,-9999,267,200,34,60,350,63,89,826
GHCND:USW00012896,MARATHON AIRPORT FL US,20070309,0,-9999,267,217,38,50,90,63,89,1643
GHCND:USW00012896,MARATHON AIRPORT FL US,20070310,0,-9999,272,206,21,50,330,45,76,1537
GHCND:USW00012896,MARATHON AIRPORT FL US,20070311,0,-9999,267,217,38,70,80,72,98,1708
GHCND:USW00012896,MARATHON AIRPORT FL US,20070312,3,-9999,272,217,49,70,70,76,94,1916
GHCND:USW00012896,MARATHON AIRPORT FL US,20070313,0,-9999,267,222,49,80,80,81,112,1048
GHCND:USW00012896,MARATHON AIRPORT FL US,20070314,0,-9999,272,228,50,100,80,72,112,749
GHCND:USW00012896,MARATHON AIRPORT FL US,20070315,48,-9999,283,211,41,170,170,81,116,1510
GHCND:USW00012896,MARATHON AIRPORT FL US,20070316,33,-9999,294,228,41,300,300,72,112,2135
GHCND:USW00012896,MARATHON AIRPORT FL US,20070317,0,-9999,239,183,53,310,320,81,130,144
GHCND:USW00012896,MARATHON AIRPORT FL US,20070318,0,-9999,244,150,49,40,30,81,107,2328
GHCND:USW00012896,MARATHON AIRPORT FL US,20070319,0,-9999,261,172,58,80,90,89,112,1241
GHCND:USW00012896,MARATHON AIRPORT FL US,20070320,18,-9999,272,211,55,70,80,98,125,1857
GHCND:USW00012896,MARATHON AIRPORT FL US,20070321,0,-9999,272,217,65,60,70,94,125,1350
GHCND:USW00012896,MARATHON AIRPORT FL US,20070322,211,-9999,250,200,47,70,80,76,103,1940
GHCND:USW00012896,MARATHON AIRPORT FL US,20070323,0,-9999,272,222,57,60,70,98,125,1622
GHCND:USW00012896,MARATHON AIRPORT FL US,20070324,0,-9999,267,222,67,60,70,98,125,2258
GHCND:USW00012896,MARATHON AIRPORT FL US,20070325,3,-9999,267,222,68,60,60,103,130,1238
GHCND:USW00012896,MARATHON AIRPORT FL US,20070326,0,-9999,272,228,66,70,80,94,130,1547
GHCND:USW00012896,MARATHON AIRPORT FL US,20070327,3,-9999,272,228,61,70,80,94,116,1811
GHCND:USW00012896,MARATHON AIRPORT FL US,20070328,0,-9999,278,217,42,70,90,67,98,1515
GHCND:USW00012896,MARATHON AIRPORT FL US,20070329,5,-9999,278,228,43,70,70,89,116,1917
GHCND:USW00012896,MARATHON AIRPORT FL US,20070330,0,-9999,278,233,56,90,90,89,125,1019
GHCND:USW00012896,MARATHON AIRPORT FL US,20070331,0,-9999,272,228,54,80,70,81,112,217
GHCND:USW00012896,MARATHON AIRPORT FL US,20070401,0,-9999,278,228,44,120,130,72,103,1411
GHCND:USW00012896,MARATHON AIRPORT FL US,20070402,0,-9999,289,233,34,120,130,63,89,530
GHCND:USW00012896,MARATHON AIRPORT FL US,20070403,0,-9999,289,233,33,120,110,54,76,1255
GHCND:USW00012896,MARATHON AIRPORT FL US,20070404,0,-9999,294,228,23,150,90,40,63,104
GHCND:USW00012896,MARATHON AIRPORT FL US,20070405,0,-9999,300,222,14,170,160,36,58,31
GHCND:USW00012896,MARATHON AIRPORT FL US,20070406,102,-9999,256,206,42,310,290,112,143,143
GHCND:USW00012896,MARATHON AIRPORT FL US,20070407,0,-9999,239,178,46,330,340,81,130,147
GHCND:USW00012896,MARATHON AIRPORT FL US,20070408,0,-9999,244,150,35,30,20,72,103,124
GHCND:USW00012896,MARATHON AIRPORT FL US,20070409,0,-9999,283,206,27,170,140,45,63,2230
GHCND:USW00012896,MARATHON AIRPORT FL US,20070410,3,-9999,300,244,28,170,140,58,81,2111
GHCND:USW00012896,MARATHON AIRPORT FL US,20070411,310,-9999,272,200,46,320,320,103,161,245
