STATION,STATION_NAME,DATE,PRCP,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070101,0,22,-82,23,140,140,54,63,2359
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070102,0,44,-99,21,140,330,54,125,1841
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070103,0,56,-77,17,130,160,45,58,1237
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070104,0,133,-71,31,220,210,103,148,1757
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070105,56,50,-166,31,300,290,81,98,1425
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070106,0,-43,-182,29,150,200,63,148,101
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070107,0,-21,-160,26,150,150,58,58,2353
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070108,0,22,-116,-9999,140,190,54,103,1847
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070109,0,44,-121,23,150,190,45,103,2328
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070110,0,100,-121,21,210,240,125,174,2313
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070111,0,100,28,36,200,210,134,165,2304
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070112,13,89,-21,53,200,200,139,192,214
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070113,8,0,-82,36,230,210,103,157,502
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070114,18,-82,-149,27,330,330,112,116,2249
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070115,0,-93,-221,23,150,150,54,58,2037
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070116,0,-60,-221,18,150,140,45,54,318
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070117,0,-38,-199,21,160,160,45,45,542
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070118,0,-21,-188,20,160,160,54,54,731
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070119,0,-10,-171,23,160,330,45,54,1233
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070120,8,0,-138,10,170,170,40,45,54
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070121,28,-38,-171,19,330,210,116,183,33
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070122,0,-16,-171,26,140,140,58,63,2040
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070123,0,-5,-160,23,160,160,58,58,2027
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070124,0,39,-149,24,160,200,58,125,42
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070125,0,44,-127,23,140,200,54,107,140
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070126,0,50,-132,22,150,150,54,58,238
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070127,0,33,-121,25,170,200,76,139,324
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070128,0,39,-105,21,140,140,45,54,2031
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070129,0,39,-116,24,140,150,54,58,2216
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070130,3,33,-116,19,150,160,54,63,2357
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070131,13,6,-138,23,310,320,58,72,1603
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070201,0,-32,-182,28,310,320,76,94,1736
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070202,0,-16,-177,25,330,200,125,139,18
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070203,0,50,-138,15,160,160,40,45,2139
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070204,0,83,-116,20,160,200,63,107,404
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070205,0,89,-77,22,150,150,67,72,2027
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070206,0,111,-60,21,150,200,58,116,2003
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070207,0,100,-49,16,200,200,94,112,112
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070208,0,128,-16,24,270,330,63,98,623
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070209,0,117,-10,18,130,170,45,54,511
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070210,3,117,6,22,90,100,63,72,2307
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070211,10,100,17,26,140,140,81,94,1547
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070212,0,94,6,23,310,300,63,76,1207
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070213,0,22,-16,15,300,310,54,58,1121
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070214,5,33,-21,32,320,300,107,139,1635
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070215,0,44,-49,26,270,320,54,76,1311
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070216,0,100,-16,28,330,300,103,148,1521
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070217,0,100,-27,29,130,130,63,72,743
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070218,0,111,-43,26,150,220,98,139,2320
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070219,0,111,11,38,180,190,112,143,1742
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070220,0,78,-27,18,320,340,40,63,1226
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070221,0,144,-38,20,140,130,63,76,2228
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070222,0,172,-32,30,220,230,98,139,1428
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070223,3,100,-27,48,190,190,134,174,1105
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070224,3,28,-60,48,310,310,130,165,205
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070225,0,56,-66,29,250,260,103,134,1601
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070226,0,56,-32,22,340,340,63,76,1155
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070227,23,122,-32,65,210,210,170,219,1356
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070228,107,-21,-143,17,300,290,81,98,1615
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070301,0,-10,-149,30,310,300,67,89,1544
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070302,3,0,-149,41,330,200,116,157,2342
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070303,0,-16,-171,27,330,340,116,134,2307
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070304,0,33,-155,24,330,320,125,130,532
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070305,0,83,-105,20,320,320,134,139,416
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070306,0,89,-55,22,160,160,67,76,2152
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070307,0,150,-16,22,120,150,58,72,2120
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070308,15,139,22,23,220,220,72,98,1552
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070309,0,156,-10,17,140,140,54,58,446
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070310,0,128,39,22,360,360,89,107,1600
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070311,0,133,-10,26,140,340,54,67,1600
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070312,0,172,-10,24,130,40,54,148,111
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070313,0,194,6,24,130,130,58,67,2128
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070314,0,211,17,26,290,200,76,112,119
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070315,0,183,44,36,320,320,94,107,1506
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070316,0,183,-10,24,140,140,58,67,2103
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070317,0,233,6,24,130,130,58,67,2312
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070318,0,233,28,40,280,280,103,157,1326
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070319,0,211,28,28,180,190,81,107,1627
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070320,0,206,39,52,190,200,112,157,2215
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070321,3,167,72,58,190,190,130,179,50
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070322,0,178,78,32,130,130,89,107,350
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070323,0,139,44,26,170,180,67,81,1435
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070324,3,133,61,21,330,330,67,89,1434
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070325,0,183,33,24,10,360,58,72,1614
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070326,0,211,22,27,170,160,103,116,1822
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070327,23,222,56,60,170,190,161,228,1448
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070328,3,56,-21,33,250,230,89,130,709
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070329,13,56,-38,24,200,200,112,112,2251
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070330,13,78,-27,13,330,330,116,125,1917
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070331,0,144,-32,23,250,240,67,89,1717
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070401,0,200,6,31,280,260,98,134,1327
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070402,0,206,50,47,230,230,116,157,1344
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070403,0,206,0,27,140,140,76,89,2313
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070404,0,228,44,19,350,350,58,72,1524
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070405,0,206,78,32,310,310,98,125,526
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070406,0,194,22,29,310,300,63,81,1534
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070407,0,189,61,34,160,270,98,116,1520
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070408,76,111,61,35,150,160,107,130,1806
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070409,46,150,39,22,330,330,103,139,2235
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070410,3,100,-5,66,310,310,134,174,700
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070411,0,94,-55,28,130,340,103,148,200
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070412,15,94,0,15,110,110,72,89,248
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070413,0,150,0,44,310,300,107,148,1809
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070414,0,178,-21,26,140,200,63,107,113
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070415,0,222,28,35,280,260,94,125,1742
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070416,0,206,22,33,170,190,139,192,1513
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070417,0,172,28,21,130,290,63,72,1309
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070418,0,211,44,71,200,220,179,241,1839
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070419,0,144,-16,28,270,210,89,125,210
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070420,0,211,-5,48,220,230,125,183,1234
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070421,38,111,17,39,240,240,134,179,1323
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070422,0,167,-10,25,250,260,98,125,1603
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070423,3,156,44,34,330,360,112,148,1551
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070424,107,128,0,49,310,300,130,170,1720
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070425,0,172,0,20,140,140,63,72,2334
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070426,0,206,22,30,190,190,76,89,1708
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070427,0,222,28,22,190,190,112,112,2051
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070428,0,272,44,24,190,190,103,116,2146
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070429,0,272,72,35,140,150,112,139,1847
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070430,0,278,72,39,90,80,107,165,1742
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070501,8,267,67,39,220,220,112,148,1411
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070502,46,172,89,18,170,170,81,103,2356
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070503,0,228,39,55,210,210,179,237,1431
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070504,5,156,39,36,220,210,107,143,1706
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070505,79,83,22,17,240,220,107,139,243
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070506,0,106,22,31,300,330,81,112,1654
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070507,0,167,44,16,330,280,54,81,1408
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070508,0,217,11,28,350,360,58,72,1513
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070509,0,239,50,33,310,280,76,98,1543
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070510,0,272,67,25,140,350,58,72,1156
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070511,0,294,67,31,120,120,94,112,1818
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070512,0,278,83,44,230,220,139,197,1153
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070513,15,267,111,41,110,110,112,148,1929
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070514,0,283,89,32,270,270,107,157,1700
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070515,0,267,72,32,340,30,72,107,1031
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070516,0,256,67,37,330,350,143,228,1405
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070517,0,250,61,28,320,300,63,81,1548
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070518,0,267,72,27,270,190,72,116,141
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070519,0,272,78,35,150,160,89,107,1811
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070520,0,244,89,28,150,150,98,116,1909
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070521,0,256,106,40,210,210,130,161,1431
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070522,142,133,39,46,310,310,134,170,58
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070523,0,133,39,26,310,310,89,125,1649
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070524,0,183,6,23,340,350,63,76,1235
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070525,0,250,61,25,340,340,58,143,2321
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070526,0,267,56,38,240,250,130,183,1452
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070527,0,283,83,27,130,130,67,89,2355
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070528,0,289,111,42,240,240,81,112,1604
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070529,0,244,67,41,260,240,161,233,1236
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070530,0,233,39,28,180,200,103,107,2318
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070531,0,267,39,26,120,120,67,76,2207
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070601,0,256,72,30,280,320,72,94,1138
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070602,0,294,78,30,340,340,81,116,208
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070603,0,278,106,30,340,350,103,143,1520
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070604,0,289,161,-9999,270,290,116,148,1843
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070605,0,306,117,43,200,190,139,206,2353
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070606,0,239,61,77,200,200,192,259,1042
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070607,0,178,28,32,300,300,98,116,1014
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070608,0,272,17,32,250,250,107,148,1501
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070609,0,311,67,36,230,260,94,125,1304
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070610,0,317,89,38,280,240,94,112,1348
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070611,3,300,128,34,170,180,125,161,1510
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070612,69,189,89,28,290,280,94,116,1745
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070613,0,267,61,20,140,140,58,72,2114
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070614,0,306,100,33,330,310,89,112,1411
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070615,0,339,122,25,140,140,63,76,2358
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070616,0,361,128,41,140,150,116,143,1639
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070617,0,333,156,44,260,270,94,157,1216
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070618,0,311,128,30,140,30,63,94,1439
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070619,0,344,100,30,50,50,67,89,1357
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070620,0,356,122,31,320,350,72,103,1536
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070621,0,344,133,36,170,180,103,143,1439
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070622,0,339,128,31,220,220,112,148,1335
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070623,0,361,122,24,80,80,76,98,707
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070624,0,361,139,40,260,250,81,107,1549
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070625,0,328,128,37,290,290,81,98,1401
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070626,0,361,122,31,140,140,63,76,32
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070627,0,350,122,38,250,290,89,116,1443
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070628,0,350,139,26,140,330,67,94,1317
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070629,0,356,144,22,330,330,58,76,1333
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070630,0,361,156,28,140,140,67,81,324
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070701,0,367,117,32,120,360,63,76,1336
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070702,0,378,122,28,120,140,58,72,2231
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070703,0,378,122,32,330,340,63,72,1648
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070704,0,367,133,43,110,110,143,197,2047
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070705,3,344,167,41,100,50,134,170,1743
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070706,0,317,161,28,110,110,139,170,1923
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070707,0,344,150,27,110,110,98,134,2016
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070708,0,339,139,30,320,320,98,130,1600
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070709,0,350,128,28,320,320,72,94,1554
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070710,0,472,211,28,80,90,63,89,718
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070711,10,372,178,37,150,160,134,183,1441
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070712,0,278,156,31,30,20,76,98,1719
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070713,0,328,133,24,30,20,67,98,2339
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070714,0,344,150,30,130,130,72,94,2348
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070715,0,361,139,30,320,320,103,134,1912
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070716,0,361,150,35,120,120,139,179,1948
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070717,0,356,144,31,190,190,161,183,1435
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070718,0,350,156,33,160,160,139,174,1523
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070719,0,356,172,42,190,120,112,148,1714
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070720,0,322,194,37,150,150,130,165,1707
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070721,25,339,167,32,90,150,116,161,11
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070722,0,344,150,25,150,150,125,148,1555
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070723,8,344,161,32,130,130,157,201,1942
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070724,0,339,139,31,150,140,112,139,1637
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070725,18,344,161,36,200,210,157,183,1619
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070726,0,328,139,28,140,210,107,134,1706
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070727,3,311,167,35,110,110,116,148,1651
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070728,5,317,167,34,110,110,103,130,2220
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070729,13,333,144,32,50,60,165,237,1825
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070730,0,339,144,27,360,340,98,130,1602
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070731,0,339,156,34,360,360,98,130,1745
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070801,5,350,167,27,60,50,143,170,1624
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070802,0,328,178,33,20,340,98,322,2341
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070803,63,306,172,29,220,220,107,134,1458
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070804,33,256,156,20,160,160,94,107,1422
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070805,28,272,128,18,140,140,72,89,1622
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070806,114,272,150,15,180,200,76,134,2257
GHCND:USW00093013,MONTROSE REGIONAL AIRPORT CO US,20070807,66,283,156,25,150,160,72,94,300
