STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070101,0,0,0,94,-22,38,330,330,80,98,154,427
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070102,0,0,0,106,-44,18,160,160,54,63,1307,1307
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070103,0,0,0,150,-17,54,150,150,103,116,2309,2309
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070104,3,0,0,106,67,55,150,150,103,125,333,319
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070105,0,0,0,144,67,64,320,330,112,134,1949,1800
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070106,0,0,0,89,6,34,350,340,98,116,204,205
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070107,0,0,0,100,-17,56,310,320,134,156,1344,1345
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070108,0,0,0,156,-50,33,230,230,67,76,1125,1126
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070109,0,0,0,128,-6,36,360,360,80,103,1125,1128
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070110,0,0,0,178,11,90,180,180,161,192,1339,1345
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070111,0,0,0,217,117,98,220,170,156,179,917,1438
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070112,71,0,25,144,-56,80,330,340,112,134,713,726
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070113,23,25,0,-44,-61,67,10,10,94,125,515,147
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070114,193,25,33,-33,-56,79,330,330,125,139,1731,1706
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070115,0,25,0,-39,-89,77,320,330,156,170,115,110
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070116,0,25,0,-33,-78,17,340,340,36,45,1408,1409
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070117,0,25,0,0,-56,42,180,180,80,94,2153,1942
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070118,0,25,0,39,-6,46,180,180,89,98,427,427
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070119,0,25,0,39,-28,15,130,120,36,45,1308,1318
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070120,168,25,5,11,-6,44,140,140,89,89,1809,1808
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070121,0,25,0,50,-6,68,320,320,107,125,1016,1017
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070122,0,51,0,33,-44,38,330,330,80,94,28,29
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070123,0,25,0,83,-72,38,230,230,76,94,1256,1257
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070124,0,25,0,106,-11,38,320,290,63,72,1233,1654
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070125,0,0,0,122,-22,25,340,330,54,54,139,20
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070126,0,0,0,167,-6,43,210,210,107,130,1333,1406
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070127,66,0,8,94,-11,65,360,30,116,143,1127,1551
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070128,0,0,0,50,-61,41,360,360,94,125,208,209
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070129,0,0,0,78,-17,32,200,190,67,76,115,116
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070130,0,0,0,22,-56,53,10,10,103,116,1029,1029
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070131,5,0,3,-6,-67,39,140,150,89,103,1029,958
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070201,8,0,28,0,-33,30,360,360,63,72,736,738
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070202,0,25,0,-17,-78,51,360,360,116,161,627,628
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070203,0,0,0,83,-67,41,220,220,76,94,150,150
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070204,0,0,0,78,-61,26,40,40,63,67,110,110
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070205,0,0,0,144,-44,25,200,220,58,76,1258,1438
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070206,0,0,0,222,0,47,200,200,94,112,1436,1322
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070207,0,0,0,106,6,64,360,10,94,112,2018,2044
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070208,0,0,0,17,-11,48,360,10,89,107,402,441
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070209,0,0,0,22,-11,46,340,10,72,80,2145,1224
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070210,0,0,0,28,-39,31,20,10,63,76,749,901
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070211,0,0,0,67,6,57,150,160,98,116,2202,1611
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070212,112,0,0,106,56,52,320,310,130,148,2339,2342
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070213,3,0,0,56,-50,105,330,340,174,201,715,656
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070214,0,0,13,-28,-78,69,360,10,94,112,841,321
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070215,0,25,15,-44,-111,55,320,330,89,98,1350,1408
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070216,0,0,0,94,-133,64,210,210,134,161,1531,1532
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070217,0,0,0,111,6,82,330,340,148,183,924,925
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070218,0,0,0,167,-44,62,170,160,112,134,2122,2254
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070219,0,0,0,228,56,84,200,200,148,179,1022,1022
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070220,0,0,0,189,50,38,300,300,89,103,1345,1347
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070221,0,0,0,222,-6,21,250,250,58,67,1554,1625
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070222,0,0,0,250,83,62,140,110,107,125,1343,1429
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070223,0,0,0,233,128,93,160,170,143,183,1334,1354
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070224,36,0,0,178,44,115,260,210,183,215,1303,1607
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070225,0,0,0,144,11,60,320,330,134,165,121,115
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070226,0,0,0,161,11,51,330,330,112,134,1158,1158
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070227,0,0,0,206,33,64,140,130,112,134,1606,1606
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070228,0,0,0,272,117,81,200,220,139,165,1531,1454
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070301,0,0,0,183,28,68,310,310,161,183,3,8
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070302,0,0,0,150,17,74,290,300,130,148,1426,1427
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070303,0,0,0,83,-22,81,320,310,148,179,347,350
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070304,0,0,0,167,-61,32,300,290,80,103,1405,1406
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070305,0,0,0,228,0,29,240,210,76,98,1221,1456
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070306,0,0,0,233,44,50,190,180,98,112,1610,1527
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070307,0,0,0,206,33,42,30,40,67,94,1415,1751
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070308,0,0,0,250,22,49,160,160,98,116,2212,2219
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070309,0,0,0,250,111,62,310,310,107,125,1519,1533
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070310,0,0,0,256,78,37,100,90,67,80,2240,2241
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070311,310,0,0,167,128,57,120,120,143,165,1157,1157
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070312,69,0,0,228,117,32,50,50,63,80,1125,1126
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070313,0,0,0,256,122,38,170,180,80,94,1909,1906
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070314,0,0,0,228,106,23,170,190,54,67,51,101
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070315,0,0,0,183,83,65,330,340,134,148,1659,1647
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070316,0,0,0,172,56,39,20,20,94,112,321,340
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070317,0,0,0,228,28,52,200,220,112,143,1600,1227
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070318,0,0,0,244,72,66,150,160,125,143,1850,1627
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070319,0,0,0,239,161,75,180,180,125,156,514,515
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070320,0,0,0,233,178,74,170,170,116,134,2111,2050
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070321,0,0,0,278,172,106,190,160,148,179,1441,1306
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070322,234,0,0,244,167,81,220,210,134,170,2320,2320
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070323,3,0,0,239,178,69,180,180,98,116,846,949
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070324,0,0,0,261,167,72,150,160,125,143,1124,1018
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070325,0,0,0,239,156,53,170,160,98,112,1358,1359
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070326,119,0,0,222,150,46,140,140,94,112,1226,1401
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070327,48,0,0,211,150,38,160,140,63,72,1402,1551
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070328,0,0,0,250,144,72,140,130,112,134,2242,1410
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070329,363,0,0,211,150,62,130,130,125,170,1453,1454
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070330,889,0,0,194,133,47,80,90,161,197,1844,1840
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070331,3,0,0,200,100,58,220,240,103,130,219,233
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070401,0,0,0,267,78,39,240,230,98,112,1636,1637
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070402,0,0,0,294,111,66,180,190,116,139,1705,1429
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070403,0,0,0,239,106,87,350,340,139,170,1033,1023
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070404,0,0,0,161,56,62,20,10,103,130,157,430
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070405,0,0,0,128,44,52,40,40,107,125,2031,2032
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070406,0,0,0,50,17,70,340,10,107,134,1139,1501
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070407,0,0,0,78,6,45,340,360,89,107,1231,1613
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070408,0,0,0,83,17,25,190,190,54,58,1859,1859
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070409,0,0,0,111,39,52,140,150,80,98,2129,935
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070410,23,0,0,178,83,64,150,140,98,112,1037,1037
GHCND:USW00013967,OKLAHOMA CITY WILL ROGERS WORLD AIRPORT OK US,20070411,0,0,0,206,50,54,270,280,139,165,1455,1459
