STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070101,0,76,0,6,-100,27,320,320,76,98,449,500
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070102,0,25,0,28,-100,46,200,200,94,112,1721,1627
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070103,0,25,0,61,-44,64,190,210,103,134,1535,1529
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070104,0,0,0,94,28,52,170,160,112,143,1019,1022
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070105,3,0,0,44,-6,39,340,340,89,107,1354,1355
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070106,0,0,0,67,-44,38,200,200,80,107,1449,1503
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070107,0,0,0,39,-17,57,310,300,139,179,1202,1436
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070108,0,0,0,117,-33,64,330,340,143,192,2129,2131
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070109,0,0,0,28,-56,68,320,320,156,201,217,553
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070110,0,0,0,128,-44,77,180,170,125,161,1445,1409
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070111,0,0,0,50,-94,63,340,330,130,174,2057,2108
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070112,0,0,0,-94,-150,75,340,350,112,139,159,200
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070113,8,0,36,-106,-144,40,20,360,67,89,46,1049
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070114,25,25,58,-78,-106,51,350,350,94,107,2326,2327
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070115,0,76,8,-100,-217,58,320,340,103,134,244,715
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070116,0,76,0,-106,-239,26,160,170,63,72,2351,2310
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070117,0,76,0,-44,-150,73,170,160,112,139,1623,1957
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070118,0,76,0,6,-111,52,320,320,130,165,1401,1202
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070119,0,0,0,22,-122,14,150,150,58,63,426,427
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070120,15,25,36,0,-128,39,130,120,80,94,2207,2129
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070121,89,127,122,-22,-67,32,350,350,80,103,1656,1656
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070122,0,127,0,-44,-133,38,320,320,58,67,836,946
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070123,0,127,0,22,-139,23,310,310,67,76,1540,1541
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070124,0,76,0,17,-83,28,350,350,112,139,1321,1322
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070125,0,76,0,-11,-94,23,150,160,58,63,1452,1447
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070126,0,76,0,72,-67,52,330,320,107,130,1644,1625
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070127,0,25,0,-33,-139,78,300,300,170,206,1321,1321
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070128,0,0,0,-83,-194,40,320,320,94,112,19,20
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070129,0,25,0,0,-150,63,320,300,161,201,1626,1609
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070130,0,25,0,-122,-178,51,320,320,107,139,151,151
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070131,10,25,23,-28,-172,43,330,330,89,107,2300,2308
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070201,0,76,3,-33,-172,42,320,350,143,174,2137,2008
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070202,0,51,0,-72,-178,65,330,320,116,156,2223,2241
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070203,0,51,0,-133,-200,49,320,320,103,134,58,100
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070204,0,51,0,-117,-206,36,340,350,98,112,1101,1011
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070205,0,51,0,-106,-144,40,140,130,67,76,2235,2237
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070206,0,51,3,-22,-111,52,320,350,103,125,519,449
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070207,5,25,13,-94,-128,34,350,360,67,80,244,235
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070208,0,51,5,-72,-106,30,350,350,58,63,300,300
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070209,5,76,18,-89,-144,35,360,360,58,67,1538,1129
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070210,0,76,0,-61,-178,20,160,150,58,63,2109,1855
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070211,0,76,0,17,-61,41,160,150,76,89,1534,1534
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070212,5,25,13,11,-67,38,40,50,112,143,1857,1951
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070213,30,76,74,-67,-172,78,350,340,107,134,1421,1444
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070214,0,102,0,-139,-217,49,350,340,76,94,842,1001
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070215,0,102,3,-133,-206,36,340,330,67,76,1258,1258
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070216,20,102,20,33,-189,76,330,340,192,237,2151,2208
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070217,0,127,0,-6,-72,62,340,340,148,201,9,10
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070218,0,102,0,44,-100,46,160,170,76,89,1014,1015
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070219,0,0,0,72,0,38,330,330,89,107,1340,1402
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070220,5,0,0,94,-22,20,190,190,54,67,1547,1548
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070221,0,0,0,128,-28,45,320,330,103,125,1702,1554
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070222,0,0,0,72,-33,40,120,120,76,107,2305,2321
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070223,0,0,0,106,6,94,140,130,148,183,937,1253
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070224,203,0,64,83,0,67,120,130,161,197,811,738
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070225,8,76,13,0,-39,90,300,320,143,170,1521,1510
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070226,0,76,0,-6,-39,47,310,320,89,107,1025,1138
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070227,0,76,0,17,-83,25,100,110,63,89,2359,2359
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070228,3,0,0,22,-6,43,110,110,76,103,1314,1334
GHCND:USW00014942,OMAHA EPPLEY AIRFIELD NE US,20070301,165,0,180,11,-39,110,310,310,179,259,1304,1044
