STATION,STATION_NAME,DATE,PRCP,SNWD,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070101,0,-9999,217,56,58,40,50,174,210,2220
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070102,0,-9999,244,106,34,60,60,148,201,643
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070103,0,-9999,228,78,16,240,250,45,58,1543
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070104,36,-9999,167,44,28,230,230,67,81,2151
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070105,3,-9999,139,50,85,80,80,201,295,1938
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070106,0,-9999,200,28,29,40,20,143,179,222
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070107,0,-9999,239,94,52,50,30,161,201,1411
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070108,0,-9999,306,100,53,40,30,143,170,818
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070109,0,-9999,283,89,18,260,240,40,54,1710
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070110,0,-9999,206,89,23,300,310,54,63,2117
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070111,0,-9999,144,50,22,220,230,67,89,1431
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070112,0,-9999,106,28,29,70,50,89,103,2308
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070113,0,-9999,111,0,45,50,60,103,148,1602
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070114,0,-9999,111,-38,37,50,60,139,183,2251
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070115,0,-9999,144,44,75,60,40,161,210,850
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070116,0,-9999,167,11,27,280,280,63,67,1302
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070117,0,-9999,144,0,17,280,280,94,103,1409
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070118,0,-9999,189,17,85,40,30,134,170,1750
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070119,0,-9999,183,78,51,50,60,130,170,222
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070120,0,-9999,150,28,24,290,280,58,67,2003
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070121,0,-9999,161,33,79,30,20,197,250,922
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070122,0,-9999,206,50,41,50,40,148,192,7
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070123,0,-9999,211,39,26,270,280,63,72,1516
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070124,0,-9999,250,44,17,270,250,54,58,1624
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070125,0,-9999,250,56,20,240,240,63,76,1617
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070126,0,-9999,206,78,34,270,270,76,94,1550
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070127,0,-9999,161,78,19,270,270,58,72,1536
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070128,0,-9999,178,67,12,270,240,40,45,1800
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070129,0,-9999,200,78,20,280,250,67,94,1451
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070130,3,-9999,150,100,18,310,320,58,76,1726
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070131,51,-9999,117,83,17,240,240,54,67,1840
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070201,0,-9999,139,94,31,220,230,63,72,1418
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070202,0,-9999,178,56,16,270,270,45,54,1634
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070203,0,-9999,233,39,14,270,280,40,54,1448
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070204,0,-9999,294,56,13,60,60,40,63,1847
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070205,0,-9999,306,100,22,90,110,76,103,1227
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070206,0,-9999,267,106,22,270,270,72,103,1443
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070207,0,-9999,222,83,21,270,290,72,89,1447
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070208,0,-9999,206,78,13,260,280,54,58,1933
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070209,0,-9999,206,94,18,270,270,63,67,1633
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070210,0,-9999,228,94,21,260,280,67,76,2000
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070211,117,-9999,167,100,26,210,230,72,89,1553
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070212,0,-9999,156,94,27,240,230,67,81,1711
GHCND:USW00003102,ONTARIO INTERNATIONAL AIRPORT CA US,20070213,38,-9999,150,89,26,340,260,81,107,1639
