STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070101,0,0,0,61,-17,59,240,240,125,139,305,306
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070102,0,0,0,61,-33,43,220,210,80,103,2341,1246
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070103,0,0,0,89,6,70,200,220,112,148,2158,2003
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070104,168,0,0,111,39,78,180,220,125,170,1111,1736
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070105,8,0,0,100,56,36,230,60,80,107,2256,15
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070106,5,0,0,56,-17,38,270,260,80,98,1239,1119
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070107,13,0,0,50,-28,39,280,280,98,125,2155,2205
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070108,0,0,0,39,-33,59,280,290,107,143,237,255
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070109,0,0,0,6,-56,70,290,280,116,148,1407,1542
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070110,0,0,0,17,-78,53,190,200,112,139,2114,2115
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070111,5,0,0,72,17,85,200,200,130,156,334,335
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070112,48,0,0,89,6,42,10,50,72,103,1907,2312
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070113,0,0,0,6,-17,53,20,20,94,125,351,409
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070114,109,0,0,6,-11,48,70,70,80,139,1312,2147
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070115,53,25,41,6,-61,54,340,360,80,103,1307,1242
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070116,0,25,0,-50,-117,48,330,10,76,112,211,226
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070117,0,25,0,-56,-128,42,180,170,89,103,2001,2009
