STATION,STATION_NAME,DATE,PRCP,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070101,0,172,50,35,280,280,89,98,1351
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070102,0,250,61,41,60,70,107,143,1103
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070103,0,178,78,24,260,270,54,58,1454
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070104,0,156,61,53,280,280,148,170,2148
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070105,0,156,61,43,290,290,116,157,2358
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070106,0,167,28,39,60,70,103,130,2359
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070107,0,250,106,54,60,60,130,161,922
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070108,0,289,178,81,80,90,139,161,1004
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070109,0,283,117,26,70,70,72,89,1123
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070110,0,172,100,-9999,240,240,40,143,1655
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070111,0,144,83,-9999,270,270,103,116,1711
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070112,0,128,11,41,270,270,116,143,1520
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070113,0,117,33,56,60,60,112,148,1106
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070114,0,117,11,35,60,150,67,130,1221
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070115,0,161,56,57,70,60,139,183,2223
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070116,0,156,39,36,290,290,81,103,1538
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070117,0,133,28,27,70,30,94,130,741
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070118,0,172,0,21,280,300,81,107,1611
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070119,0,183,22,33,290,280,89,98,1510
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070120,0,150,50,23,30,170,58,112,1538
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070121,0,194,50,39,60,70,139,170,1028
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070122,0,200,28,28,290,300,63,72,1331
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070123,0,183,50,22,260,260,58,67,1617
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070124,0,167,39,14,260,280,45,116,726
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070125,0,189,56,22,270,270,67,76,1246
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070126,0,161,50,25,270,200,67,76,1612
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070127,262,128,94,24,130,30,58,130,726
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070128,241,144,100,22,90,120,63,89,1543
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070129,0,150,94,26,260,250,58,81,1159
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070130,56,139,94,17,150,160,63,81,1227
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070131,3,150,94,26,270,110,89,116,841
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070201,0,144,67,18,280,280,63,81,1434
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070202,0,150,72,30,270,30,54,72,717
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070203,0,167,50,28,270,280,76,94,1410
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070204,0,233,72,26,270,150,201,98,30
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070205,0,289,94,29,270,260,94,107,1235
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070206,0,178,83,17,280,270,54,63,1619
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070207,0,156,67,18,260,260,45,54,1636
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070208,0,167,72,22,280,280,63,76,1732
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070209,0,161,78,22,280,200,89,143,2038
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070210,5,167,94,24,240,300,63,81,1848
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070211,23,167,128,51,260,240,112,143,1438
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070212,0,161,106,36,260,260,94,107,1858
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070213,0,172,72,50,280,280,134,161,1700
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070214,0,178,61,31,280,280,94,107,1422
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070215,0,183,89,26,260,250,58,67,1519
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070216,0,233,106,29,290,280,67,76,1335
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070217,0,300,150,50,60,70,116,148,1003
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070218,0,206,117,25,90,340,67,165,2335
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070219,56,167,94,26,290,350,67,98,1227
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070220,0,167,78,27,200,150,58,89,1208
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070221,0,161,83,19,270,250,54,72,1516
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070222,94,144,100,39,280,280,94,107,2246
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070223,0,150,61,57,260,270,148,165,1406
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070224,0,156,44,27,270,280,67,76,1700
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070225,0,161,44,68,280,280,165,197,1618
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070226,0,161,61,40,280,230,130,161,2211
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070227,28,139,89,86,260,270,139,165,1829
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070228,0,150,56,59,280,270,125,148,1633
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070301,0,161,28,24,260,280,67,98,1250
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070302,0,206,44,40,300,80,103,130,2252
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070303,0,239,78,75,70,60,143,206,901
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070304,0,267,117,51,80,80,107,143,1050
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070305,0,239,89,28,270,280,67,76,1448
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070306,0,217,128,26,260,270,67,76,1443
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070307,0,194,100,24,270,330,98,130,2255
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070308,0,167,78,26,270,280,98,107,1504
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070309,0,150,78,18,260,340,63,89,419
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070310,0,172,72,16,270,340,54,81,647
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070311,0,339,83,34,70,80,130,170,1034
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070312,0,272,122,25,270,200,58,81,1427
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070313,0,194,94,19,170,160,63,76,1115
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070314,0,161,122,17,270,150,58,98,540
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070315,0,156,117,18,280,250,58,76,1450
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070316,0,150,106,27,270,280,67,81,1614
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070317,0,156,111,21,270,240,63,112,741
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070318,0,144,128,13,270,260,45,63,1456
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070319,0,167,133,20,270,230,63,72,1049
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070320,3,144,128,32,270,270,72,89,2127
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070321,0,161,89,31,270,160,89,143,1730
GHCND:USW00093110,OXNARD VENTURA CO AIRPORT CA US,20070322,0,222,78,38,290,300,98,125,1332
