STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070101,0,-9999,-9999,272,217,41,160,160,80,98,1325,1339
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070102,0,-9999,-9999,267,206,32,60,80,63,67,1543,1439
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070103,3,-9999,-9999,278,228,47,140,120,72,80,1447,1514
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070104,0,-9999,-9999,272,228,55,140,150,89,98,1520,1534
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070105,0,-9999,-9999,278,233,56,160,160,103,116,1209,1209
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070106,0,-9999,-9999,283,206,25,120,140,63,72,1419,1411
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070107,0,-9999,-9999,283,222,49,140,110,89,98,1216,1132
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070108,13,-9999,-9999,294,217,34,160,190,76,98,1217,1554
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070109,0,-9999,-9999,228,111,51,340,340,94,112,1404,1406
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070110,0,-9999,-9999,222,106,54,70,80,94,112,2335,2339
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070111,0,-9999,-9999,239,200,74,90,80,98,125,1805,2116
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070112,0,-9999,-9999,256,211,75,110,90,98,116,1932,2256
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070113,0,-9999,-9999,261,217,65,100,100,98,112,1113,1113
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070114,0,-9999,-9999,256,211,60,90,100,94,107,908,1005
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070115,8,-9999,-9999,261,206,37,110,110,89,98,1131,1131
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070116,0,-9999,-9999,278,172,17,140,130,67,76,1216,1415
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070117,41,-9999,-9999,278,189,39,10,40,107,112,1413,1155
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070118,10,-9999,-9999,261,172,12,150,150,58,63,1143,1141
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070119,0,-9999,-9999,256,178,29,20,20,67,80,1724,1725
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070120,0,-9999,-9999,256,167,37,20,20,76,89,1555,1556
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070121,0,-9999,-9999,256,200,47,140,130,76,98,1434,1609
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070122,0,-9999,-9999,283,211,50,170,170,89,107,955,952
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070123,0,-9999,-9999,272,189,26,20,10,63,76,1920,1928
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070124,8,-9999,-9999,261,189,30,20,20,67,76,1730,1731
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070125,13,-9999,-9999,217,100,45,330,330,80,103,1246,1247
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070126,0,-9999,-9999,228,89,52,330,340,76,94,35,215
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070127,0,-9999,-9999,244,172,44,140,130,80,98,1449,1420
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070128,0,-9999,-9999,261,117,64,290,300,139,165,1141,1142
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070129,0,-9999,-9999,178,78,42,330,330,76,89,847,848
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070130,0,-9999,-9999,206,67,26,330,330,63,72,923,924
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070131,0,-9999,-9999,222,100,37,110,10,67,72,2004,2245
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070201,0,-9999,-9999,267,189,67,170,170,103,125,1513,1514
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070202,0,-9999,-9999,311,194,62,220,220,125,156,1231,1355
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070203,0,-9999,-9999,228,172,40,360,10,76,98,1437,2233
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070204,51,-9999,-9999,228,178,47,30,30,80,116,2226,2227
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070205,33,-9999,-9999,200,133,62,20,20,107,134,1128,1129
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070206,0,-9999,-9999,222,117,38,50,50,80,103,1258,1259
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070207,0,-9999,-9999,250,106,19,110,120,54,76,1459,1707
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070208,0,-9999,-9999,261,139,20,40,290,58,72,1224,1435
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070209,0,-9999,-9999,250,139,18,110,100,63,72,1439,1439
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070210,0,-9999,-9999,267,150,21,60,60,63,67,1535,1536
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070211,3,-9999,-9999,244,139,45,90,90,72,89,2054,2119
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070212,33,-9999,-9999,222,194,49,120,110,89,103,2327,1748
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070213,51,-9999,-9999,278,211,47,220,200,76,98,1501,1630
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070214,0,-9999,-9999,278,183,55,280,270,89,130,1715,1654
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070215,25,-9999,-9999,183,128,35,310,320,72,80,2241,1300
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070216,0,-9999,-9999,144,72,51,290,290,80,103,1811,1812
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070217,0,-9999,-9999,167,22,37,280,280,72,80,1700,1650
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070218,15,-9999,-9999,178,78,56,300,320,139,165,1116,1215
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070219,0,-9999,-9999,200,56,40,320,60,67,94,1511,941
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070220,0,-9999,-9999,239,100,21,130,140,67,80,1527,1530
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070221,0,-9999,-9999,267,128,24,120,120,67,76,1311,1422
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070222,0,-9999,-9999,267,144,30,340,310,72,80,1116,1037
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070223,0,-9999,-9999,261,117,38,50,50,72,89,1609,1641
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070224,0,-9999,-9999,239,189,57,110,130,89,107,1152,947
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070225,0,-9999,-9999,267,206,59,150,150,107,130,1516,1517
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070226,99,-9999,-9999,289,211,31,230,200,107,148,1544,1546
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070227,0,-9999,-9999,306,217,43,240,230,76,98,1811,1841
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070228,0,-9999,-9999,272,200,48,80,90,98,112,1404,1413
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070301,0,-9999,-9999,272,222,65,140,170,98,112,1653,1316
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070302,0,-9999,-9999,300,233,51,170,180,89,103,1402,1403
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070303,0,-9999,-9999,311,189,42,20,20,89,103,2136,2136
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070304,0,-9999,-9999,233,167,40,10,360,80,89,1405,1345
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070305,0,-9999,-9999,228,106,55,20,10,80,98,1644,1645
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070306,0,-9999,-9999,239,111,47,70,60,89,112,1512,1513
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070307,0,-9999,-9999,256,183,45,90,100,80,103,1117,1126
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070308,0,-9999,-9999,261,139,38,60,60,76,98,1654,1656
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070309,0,-9999,-9999,267,150,38,110,80,72,80,1706,1443
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070310,0,-9999,-9999,278,172,36,60,50,80,94,1548,1509
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070311,0,-9999,-9999,272,161,38,60,60,72,89,1602,1541
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070312,0,-9999,-9999,267,211,52,100,110,76,98,1235,1328
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070313,0,-9999,-9999,261,200,52,100,100,76,107,1402,1352
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070314,0,-9999,-9999,272,217,70,110,120,94,112,1614,1633
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070315,0,-9999,-9999,278,217,60,160,150,103,112,1958,1959
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070316,23,-9999,-9999,300,189,61,260,260,148,197,1437,1439
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070317,0,-9999,-9999,244,139,46,330,330,76,94,1310,1342
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070318,0,-9999,-9999,233,106,49,10,10,89,103,1821,1822
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070319,0,-9999,-9999,250,133,50,90,90,94,112,1206,1207
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070320,0,-9999,-9999,261,194,67,100,100,103,130,907,908
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070321,0,-9999,-9999,261,200,72,90,100,107,130,1338,1338
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070322,38,-9999,-9999,267,194,79,80,80,107,134,1719,1530
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070323,0,-9999,-9999,272,222,72,80,90,98,116,1456,1636
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070324,18,-9999,-9999,272,217,72,70,80,103,125,1458,1459
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070325,0,-9999,-9999,272,211,64,60,70,94,125,1520,1530
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070326,0,-9999,-9999,278,217,69,80,80,98,130,1220,1220
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070327,0,-9999,-9999,261,222,60,90,90,80,98,827,2227
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070328,0,-9999,-9999,278,183,53,100,90,89,112,1753,1754
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070329,0,-9999,-9999,272,217,53,90,90,80,98,2134,2135
GHCND:USW00012844,WEST PALM BEACH INTERNATIONAL AIRPORT FL US,20070330,13,-9999,-9999,278,217,63,90,80,98,125,1822,1823
