STATION,STATION_NAME,DATE,PRCP,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070101,38,200,89,31,10,20,67,89,2302
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070102,0,117,56,38,20,40,81,742,741
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070103,0,161,83,26,60,70,40,45,1559
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070104,0,233,144,32,160,170,63,89,2356
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070105,470,228,150,38,180,180,116,170,845
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070106,102,256,139,16,80,80,54,63,1813
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070107,30,244,200,40,180,160,76,103,1540
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070108,36,211,94,51,10,10,107,139,353
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070109,0,194,72,37,360,340,67,89,1948
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070110,0,156,44,39,50,60,67,89,933
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070111,0,206,56,34,160,130,63,81,1006
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070112,0,244,133,33,150,150,67,89,1028
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070113,0,250,139,23,160,190,58,67,1414
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070114,3,250,139,26,170,170,72,98,1104
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070115,0,250,167,30,180,180,67,94,1026
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070116,10,206,78,54,10,10,98,125,1658
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070117,0,144,61,57,60,30,94,112,329
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070118,0,161,89,32,60,70,67,76,600
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070119,0,150,117,38,10,20,67,688,1631
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070120,0,183,89,39,60,70,94,103,806
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070121,208,217,111,38,270,270,76,107,1635
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070122,51,206,106,44,10,340,76,103,1347
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070123,0,144,89,41,20,20,72,81,811
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070124,0,111,78,40,20,20,72,89,1253
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070125,13,172,72,41,10,10,76,94,1304
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070126,0,161,11,17,70,70,58,67,912
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070127,173,156,33,29,60,20,112,134,2121
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070128,3,156,33,47,300,290,76,98,1442
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070129,0,106,-5,31,20,50,76,94,920
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070130,0,122,22,16,270,290,45,58,1615
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070131,0,161,56,36,30,30,76,89,457
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070201,831,217,117,40,10,10,89,103,1454
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070202,0,167,78,41,300,310,76,107,1355
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070203,0,78,33,43,10,20,81,103,813
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070204,0,133,50,10,80,50,36,40,902
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070205,0,139,33,30,50,40,67,94,1126
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070206,0,172,22,13,230,230,54,63,1426
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070207,0,200,50,16,260,270,67,76,1247
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070208,0,211,72,13,250,260,54,67,1338
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070209,3,211,94,20,20,20,58,67,2346
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070210,0,167,67,48,20,20,89,107,517
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070211,0,167,33,23,70,80,63,72,915
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070212,0,211,83,24,220,240,54,67,1321
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070213,424,211,144,34,270,260,72,94,1347
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070214,0,183,39,51,360,20,81,103,1307
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070215,0,89,11,34,10,20,76,94,210
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070216,0,94,0,37,310,300,72,98,1403
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070217,3,156,-21,37,260,260,94,116,1422
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070218,0,133,22,47,330,300,98,125,151
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070219,0,139,0,26,180,190,58,76,1357
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070220,0,206,111,31,200,170,67,340,1154
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070221,8,228,100,24,320,330,81,107,1450
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070222,3,261,100,15,260,270,54,63,1539
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070223,0,261,89,28,60,60,76,89,1006
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070224,0,233,89,46,150,140,89,125,1907
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070225,3,239,144,37,190,190,72,103,353
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070226,3,244,100,22,210,220,54,67,1401
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070227,0,267,128,16,290,300,67,81,608
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070228,0,272,100,34,140,140,76,98,1209
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070301,239,244,200,64,250,280,107,139,2307
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070302,0,211,128,38,10,10,89,107,524
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070303,0,206,94,21,310,300,45,63,2323
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070304,0,172,72,48,20,20,89,98,835
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070305,0,183,44,36,30,20,72,81,951
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070306,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070307,0,-9999,-9999,-9999,250,240,63,72,1349
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070308,0,228,78,14,250,250,54,67,1313
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070309,3,239,100,20,240,240,58,72,1342
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070310,0,250,144,20,280,290,63,67,1210
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070311,0,256,133,18,200,190,67,81,1526
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070312,0,272,128,19,220,190,67,81,1126
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070313,3,261,122,22,160,170,63,81,1211
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070314,0,256,172,31,170,160,72,94,1448
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070315,74,217,161,25,180,170,72,94,1411
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070316,0,233,122,47,10,10,89,112,2049
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070317,0,194,72,49,20,10,112,139,857
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070318,0,194,67,22,260,250,67,76,1444
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070319,0,222,89,24,210,210,72,94,1422
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070320,0,244,111,26,220,110,63,81,951
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070321,3,250,128,22,170,170,89,1024,1107
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070322,0,267,144,30,170,210,63,76,1217
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070323,0,272,133,22,220,220,63,76,1456
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070324,0,267,150,20,200,200,58,72,1522
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070325,3,306,156,17,210,200,58,72,1204
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070326,0,272,178,26,140,160,72,98,904
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070327,0,267,178,26,150,180,63,76,1210
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070328,3,278,167,21,260,250,58,67,1502
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070329,3,294,161,20,210,220,54,67,1556
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070330,0,272,183,36,100,80,67,94,1114
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070331,0,267,172,39,180,190,76,98,1441
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070401,0,267,189,41,180,170,81,112,1344
GHCND:USW00003882,PANAMA CITY BAY CO AIRPORT FL US,20070402,0,267,200,34,200,190,72,89,1152
