STATION,STATION_NAME,DATE,PRCP,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070101,97,217,139,66,250,260,112,157,1738
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070102,0,139,22,35,340,350,103,125,1112
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070103,0,167,6,26,230,220,67,81,1444
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070104,0,217,94,37,230,230,67,76,1505
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070105,3,222,156,37,200,200,67,89,2356
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070106,112,239,139,53,250,200,103,134,405
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070107,10,200,89,39,190,170,81,112,2141
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070108,66,217,67,55,290,300,116,139,1202
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070109,0,128,6,44,230,340,103,116,2131
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070110,0,78,-16,38,300,290,94,116,1351
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070111,0,94,-27,20,190,190,58,67,1310
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070112,0,189,50,42,220,230,76,98,1458
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070113,0,228,128,48,250,260,76,98,1244
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070114,0,239,133,50,250,230,81,98,1546
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070115,0,239,156,68,240,230,107,143,1151
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070116,3,200,50,47,360,340,89,112,2234
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070117,0,50,-27,34,10,20,81,125,46
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070118,25,56,-27,12,350,350,40,54,1130
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070119,13,133,39,45,290,290,107,134,1415
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070120,0,78,0,43,330,330,107,134,1252
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070121,69,33,0,23,40,30,45,72,244
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070122,41,67,22,18,350,340,63,89,106
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070123,0,83,-5,19,340,340,63,81,1141
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070124,0,106,-10,17,310,20,58,72,939
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070125,0,100,11,34,320,320,112,134,1532
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070126,0,78,-43,34,330,320,103,130,241
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070127,0,189,44,56,260,250,89,107,1306
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070128,0,133,28,38,350,360,89,107,2348
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070129,0,39,-27,51,330,330,107,139,317
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070130,0,100,-21,43,220,230,89,107,1615
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070131,0,56,-43,38,330,360,94,130,545
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070201,36,33,-43,23,210,210,54,63,1244
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070202,28,72,22,23,290,280,72,98,2246
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070203,0,61,-5,50,250,290,94,125,1307
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070204,0,100,-16,63,280,260,130,161,1448
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070205,0,11,-71,49,330,300,94,130,1405
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070206,0,-10,-116,37,290,300,81,103,1338
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070207,0,39,-38,36,300,290,89,103,1518
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070208,0,44,-77,25,310,310,107,139,1231
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070209,0,44,-77,25,320,340,72,94,1151
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070210,0,50,-77,20,280,280,76,94,1534
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070211,0,50,-71,16,210,210,45,58,1530
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070212,0,89,-55,18,90,110,45,63,1527
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070213,28,72,33,49,60,60,76,98,1730
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070214,160,117,-21,62,330,350,112,139,1933
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070215,0,17,-55,38,330,340,81,103,925
GHCND:USW00093741,NEWPORT NEWS INTERNATIONAL AIRPORT VA US,20070216,0,17,-77,36,270,290,103,112,1413
