STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00013739,PHILADELPHIA INTERNATIONAL AIRPORT PA US,20070101,366,0,0,139,67,40,170,170,125,156,616,616
GHCND:USW00013739,PHILADELPHIA INTERNATIONAL AIRPORT PA US,20070102,0,0,0,94,17,62,320,330,116,148,1203,949
GHCND:USW00013739,PHILADELPHIA INTERNATIONAL AIRPORT PA US,20070103,0,0,0,122,-11,36,230,230,94,112,1429,1509
GHCND:USW00013739,PHILADELPHIA INTERNATIONAL AIRPORT PA US,20070104,0,0,0,144,17,22,240,230,72,76,1206,1206
GHCND:USW00013739,PHILADELPHIA INTERNATIONAL AIRPORT PA US,20070105,36,0,0,167,67,34,190,190,67,89,2310,2313
GHCND:USW00013739,PHILADELPHIA INTERNATIONAL AIRPORT PA US,20070106,8,0,0,228,133,66,260,270,134,165,1417,1444
GHCND:USW00013739,PHILADELPHIA INTERNATIONAL AIRPORT PA US,20070107,124,0,0,133,61,38,330,310,76,98,243,355
GHCND:USW00013739,PHILADELPHIA INTERNATIONAL AIRPORT PA US,20070108,229,0,0,133,28,55,270,270,130,156,1614,1615
GHCND:USW00013739,PHILADELPHIA INTERNATIONAL AIRPORT PA US,20070109,0,0,0,78,6,52,230,230,80,103,1144,1211
GHCND:USW00013739,PHILADELPHIA INTERNATIONAL AIRPORT PA US,20070110,0,0,0,28,-17,62,300,310,107,134,1252,1258
GHCND:USW00013739,PHILADELPHIA INTERNATIONAL AIRPORT PA US,20070111,0,0,0,39,-56,24,190,190,67,76,1634,1635
GHCND:USW00013739,PHILADELPHIA INTERNATIONAL AIRPORT PA US,20070112,0,0,0,106,11,45,220,220,80,98,526,527
GHCND:USW00013739,PHILADELPHIA INTERNATIONAL AIRPORT PA US,20070113,13,0,0,156,83,33,240,230,76,89,1115,1116
GHCND:USW00013739,PHILADELPHIA INTERNATIONAL AIRPORT PA US,20070114,10,0,0,122,89,23,50,40,45,67,846,2036
GHCND:USW00013739,PHILADELPHIA INTERNATIONAL AIRPORT PA US,20070115,0,0,0,178,67,37,200,210,94,112,2211,2203
GHCND:USW00013739,PHILADELPHIA INTERNATIONAL AIRPORT PA US,20070116,0,0,0,167,-22,77,330,340,125,148,2350,2351
GHCND:USW00013739,PHILADELPHIA INTERNATIONAL AIRPORT PA US,20070117,0,0,0,0,-67,45,330,330,116,143,2,49
GHCND:USW00013739,PHILADELPHIA INTERNATIONAL AIRPORT PA US,20070118,5,0,3,17,-44,17,100,360,40,67,1755,833
