STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070101,0,-9999,-9999,172,56,11,260,260,40,45,1641,1634
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070102,0,-9999,-9999,228,56,18,60,50,58,76,1526,1504
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070103,0,-9999,-9999,206,72,21,100,130,45,54,935,735
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070104,0,-9999,-9999,211,67,22,90,120,45,58,1311,921
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070105,0,-9999,-9999,172,78,38,270,20,98,112,1925,1750
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070106,0,-9999,-9999,167,50,30,320,320,58,76,947,1238
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070107,0,-9999,-9999,194,39,18,60,70,54,63,1247,1247
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070108,0,-9999,-9999,239,61,15,10,20,54,67,1205,1211
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070109,0,-9999,-9999,256,111,39,60,60,80,98,1123,1127
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070110,0,-9999,-9999,211,106,21,280,270,54,67,1745,1709
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070111,0,-9999,-9999,239,94,31,200,200,67,80,1507,1507
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070112,0,-9999,-9999,144,83,43,280,270,89,98,1156,1340
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070113,0,-9999,-9999,94,17,49,260,250,103,116,1934,1933
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070114,0,-9999,-9999,78,-17,18,70,360,40,54,1702,911
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070115,0,-9999,-9999,133,-17,19,30,20,76,94,1944,1937
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070116,0,-9999,-9999,150,11,35,60,50,112,134,1129,1123
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070117,0,-9999,-9999,167,33,30,60,60,80,94,1017,938
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070118,0,-9999,-9999,211,50,34,70,70,98,112,1149,1149
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070119,64,-9999,-9999,111,67,26,250,250,80,94,1157,1158
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070120,0,-9999,-9999,111,56,20,270,330,45,63,1512,1415
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070121,53,-9999,-9999,94,33,30,10,310,112,134,1719,1749
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070122,0,-9999,-9999,139,33,19,120,130,54,58,1003,1000
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070123,0,-9999,-9999,167,22,15,110,120,45,54,752,752
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070124,0,-9999,-9999,200,44,21,80,180,40,58,1634,2307
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070125,0,-9999,-9999,222,56,30,60,60,67,89,1356,1357
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070126,0,-9999,-9999,183,67,22,180,350,40,54,1518,1235
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070127,0,-9999,-9999,200,72,26,120,120,54,58,1329,946
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070128,0,-9999,-9999,217,78,18,90,90,63,72,918,918
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070129,0,-9999,-9999,233,83,13,90,350,31,40,1920,2359
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070130,8,-9999,-9999,156,111,37,150,160,76,94,1240,1242
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070131,0,-9999,-9999,139,89,35,300,300,139,165,1256,1257
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070201,0,-9999,-9999,161,72,30,270,270,94,103,1619,1619
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070202,0,-9999,-9999,167,61,20,80,80,58,63,1041,1008
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070203,0,-9999,-9999,189,56,11,90,80,54,63,1104,1104
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070204,0,-9999,-9999,233,67,15,110,100,54,54,905,904
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070205,0,-9999,-9999,278,89,10,40,80,54,67,1353,1337
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070206,0,-9999,-9999,283,117,21,80,80,63,72,1153,1154
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070207,0,-9999,-9999,267,111,21,80,90,63,67,1001,1001
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070208,0,-9999,-9999,261,100,17,120,120,58,67,615,616
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070209,0,-9999,-9999,261,117,22,80,90,54,58,1006,1006
GHCND:USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT AZ US,20070210,0,-9999,-9999,256,122,24,90,360,45,63,1857,1023
