STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070101,3,0,0,56,-17,45,270,300,94,139,1016,252
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070102,0,0,0,50,-56,27,190,180,63,76,1945,2359
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070103,0,0,0,89,-17,54,190,300,94,148,1804,1549
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070104,292,0,0,89,22,64,190,190,112,143,1729,1730
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070105,0,0,0,100,50,21,220,210,67,89,10,2357
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070106,0,0,0,78,-6,29,280,320,72,116,551,903
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070107,0,0,0,72,-17,40,280,280,98,143,2352,2357
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070108,0,0,0,56,-28,52,220,300,112,161,144,1347
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070109,0,0,0,28,-39,52,290,300,103,156,1358,1440
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070110,0,0,0,33,-78,50,190,190,107,139,2314,2315
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070111,3,0,0,100,22,77,190,190,112,148,108,12
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070112,94,0,0,106,-22,34,200,180,76,148,18,9
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070113,15,0,0,6,-22,30,10,340,80,116,1709,1709
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070114,137,0,0,11,-6,43,60,80,94,103,2154,1936
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070115,0,0,0,6,-89,38,300,300,72,116,2141,2142
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070116,0,0,0,-72,-133,25,300,300,63,80,328,311
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070117,0,0,0,-39,-139,38,220,220,72,89,1151,1152
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070118,0,0,0,6,-39,62,270,300,112,156,2043,1721
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070119,0,0,0,22,-78,38,290,310,94,143,35,57
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070120,3,0,0,-22,-111,22,110,90,45,67,2312,2313
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070121,58,51,56,6,-33,22,110,130,63,89,142,143
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070122,0,51,0,-11,-39,32,230,310,58,125,1922,2038
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070123,5,51,0,-11,-56,43,230,270,89,112,47,555
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070124,0,51,0,-17,-78,21,330,310,72,94,1022,2246
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070125,0,25,0,-33,-117,20,270,330,45,67,100,1324
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070126,0,25,0,83,-83,61,220,220,112,148,1543,1557
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070127,0,0,0,22,-117,60,300,300,103,143,1917,1604
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070128,0,0,0,-78,-161,50,300,300,94,130,4,840
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070129,0,0,0,0,-122,49,270,310,94,130,2155,1106
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070130,0,0,0,-89,-150,54,300,290,98,143,48,24
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070131,0,0,0,-56,-167,43,210,210,89,112,1856,2001
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070201,8,0,8,-22,-111,34,270,270,72,94,1354,1434
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070202,0,0,0,-100,-161,54,270,300,94,130,805,1204
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070203,0,0,0,-106,-189,57,270,300,125,165,620,1107
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070204,0,0,0,-117,-200,43,300,280,89,130,1445,1515
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070205,0,0,0,-117,-217,17,330,310,45,67,0,13
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070206,76,0,102,-106,-161,31,100,100,63,76,1145,1145
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070207,0,76,0,-106,-178,27,270,280,67,76,1458,1456
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070208,0,76,0,-100,-189,31,280,270,58,80,1341,1623
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070209,0,76,0,-78,-150,31,290,290,67,94,2341,2210
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070210,0,51,0,-94,-183,23,300,310,58,89,38,56
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070211,0,51,0,6,-111,26,210,180,58,67,1500,1026
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070212,0,51,0,17,-28,48,70,60,103,130,2253,2302
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070213,191,102,178,-11,-100,78,50,40,139,179,1207,832
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070214,0,203,0,-78,-156,32,10,360,72,112,37,37
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070215,0,178,0,-100,-194,30,280,270,67,80,1551,1552
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070216,0,178,0,-50,-217,56,180,180,116,143,1411,1451
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070217,51,229,51,-39,-89,43,310,360,80,134,846,1420
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070218,0,229,0,-28,-111,30,170,170,63,80,2354,2355
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070219,0,178,0,72,-67,57,200,180,112,156,829,849
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070220,0,102,0,78,-33,8,70,40,40,58,1025,1146
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070221,0,76,0,89,-50,28,210,280,72,98,2323,1504
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070222,0,25,0,67,-11,39,300,320,80,116,859,811
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070223,0,0,0,22,-28,46,100,90,80,107,1833,1713
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070224,196,0,0,44,-22,74,110,100,116,170,2108,2102
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070225,109,0,0,44,-6,61,240,260,116,148,1619,1343
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070226,0,0,0,11,-39,49,270,260,94,116,44,17
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070227,0,0,0,6,-44,18,340,340,67,67,1949,1949
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070228,20,0,0,33,-17,57,90,100,89,116,1304,1555
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070301,226,0,0,133,0,76,220,240,156,215,1635,1435
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070302,0,0,0,11,-28,98,260,250,143,206,1431,1502
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070303,0,0,0,-28,-89,59,300,290,94,130,408,1534
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070304,0,0,0,33,-106,40,270,270,80,103,1524,1504
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070305,0,0,0,56,-44,31,30,350,76,112,2158,2159
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070306,0,0,0,-6,-67,40,150,160,67,94,1140,1127
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070307,0,0,0,11,-39,34,60,40,72,103,409,1003
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070308,0,0,0,78,-50,19,170,180,54,67,1401,1402
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070309,41,0,0,133,11,36,220,320,72,139,2022,1814
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070310,0,0,0,144,-11,22,350,310,63,94,1237,1355
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070311,0,0,0,128,-39,19,140,170,58,72,1106,1100
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070312,0,0,0,211,56,42,240,260,89,112,1618,1618
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070313,0,0,0,256,72,56,220,220,125,161,1551,1557
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070314,124,0,0,233,39,51,40,20,103,143,1926,1927
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070315,5,0,0,94,0,60,70,50,107,161,24,1003
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070316,0,0,0,44,-33,30,340,360,76,112,1230,1323
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070317,0,0,0,56,-39,6,330,340,40,58,1542,1543
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070318,0,0,0,94,-50,44,170,160,103,134,2328,2329
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070319,86,0,0,178,28,47,170,180,112,134,149,153
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070320,38,0,0,128,11,50,70,80,89,125,718,852
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070321,71,0,0,250,83,62,200,210,107,143,1348,1349
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070322,127,0,0,183,94,41,190,270,98,125,604,50
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070323,338,0,0,189,100,29,70,70,72,89,19,20
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070324,132,0,0,211,150,26,150,150,54,72,1610,1611
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070325,0,0,0,256,133,53,210,200,112,139,1401,1402
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070326,5,0,0,256,156,47,230,240,116,148,1811,1812
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070327,0,0,0,256,122,30,70,70,80,107,2348,2356
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070328,43,0,0,206,106,51,70,80,94,116,2101,1855
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070329,0,0,0,183,83,46,90,90,67,94,2355,3
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070330,147,0,0,183,117,26,120,100,58,76,1234,1533
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070331,86,0,0,222,106,64,170,160,134,179,1532,1621
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070401,0,0,0,172,89,62,240,240,148,192,1218,1155
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070402,0,0,0,228,39,22,170,180,94,112,2309,2250
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070403,61,0,0,194,6,63,300,300,125,165,2220,2220
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070404,0,0,0,11,-44,69,300,290,107,174,201,1322
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070405,0,0,0,56,-22,44,300,330,76,116,1117,1424
GHCND:USW00014842,PEORIA GREATER PEORIA AIRPORT IL US,20070406,0,0,0,17,-39,51,300,310,98,139,1656,1533
