STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00024156,POCATELLO REGIONAL AIRPORT ID US,20070101,0,25,3,-39,-83,25,250,260,54,63,642,645
GHCND:USW00024156,POCATELLO REGIONAL AIRPORT ID US,20070102,0,25,0,-17,-94,24,300,300,54,58,157,158
GHCND:USW00024156,POCATELLO REGIONAL AIRPORT ID US,20070103,28,0,0,56,-72,60,230,210,107,139,1359,2327
GHCND:USW00024156,POCATELLO REGIONAL AIRPORT ID US,20070104,38,0,0,28,-28,83,230,220,165,201,547,543
GHCND:USW00024156,POCATELLO REGIONAL AIRPORT ID US,20070105,0,0,18,-17,-67,81,230,240,134,148,228,228
GHCND:USW00024156,POCATELLO REGIONAL AIRPORT ID US,20070106,0,25,3,0,-89,83,250,180,143,183,1037,1410
GHCND:USW00024156,POCATELLO REGIONAL AIRPORT ID US,20070107,0,25,0,17,-89,67,200,190,107,134,1850,2144
GHCND:USW00024156,POCATELLO REGIONAL AIRPORT ID US,20070108,0,0,0,39,6,75,240,230,125,148,1044,1120
GHCND:USW00024156,POCATELLO REGIONAL AIRPORT ID US,20070109,0,0,0,78,-11,29,180,180,72,89,2254,2248
GHCND:USW00024156,POCATELLO REGIONAL AIRPORT ID US,20070110,0,0,5,78,-33,76,180,180,143,174,1054,1055
GHCND:USW00024156,POCATELLO REGIONAL AIRPORT ID US,20070111,18,25,30,-33,-194,59,230,240,112,134,131,132
GHCND:USW00024156,POCATELLO REGIONAL AIRPORT ID US,20070112,0,25,0,-122,-233,38,30,50,67,80,222,1203
GHCND:USW00024156,POCATELLO REGIONAL AIRPORT ID US,20070113,0,25,0,-100,-200,36,250,230,72,89,1346,1322
GHCND:USW00024156,POCATELLO REGIONAL AIRPORT ID US,20070114,0,25,0,-111,-233,13,190,180,36,40,1749,2123
GHCND:USW00024156,POCATELLO REGIONAL AIRPORT ID US,20070115,3,25,3,-89,-189,19,230,250,40,54,428,430
GHCND:USW00024156,POCATELLO REGIONAL AIRPORT ID US,20070116,0,25,0,-83,-200,20,30,40,58,67,1528,1628
GHCND:USW00024156,POCATELLO REGIONAL AIRPORT ID US,20070117,0,25,0,-72,-200,36,250,260,112,125,1255,1252
GHCND:USW00024156,POCATELLO REGIONAL AIRPORT ID US,20070118,0,25,0,-39,-167,16,40,210,40,45,2,1718
GHCND:USW00024156,POCATELLO REGIONAL AIRPORT ID US,20070119,0,0,0,-28,-178,14,10,30,40,45,1719,1748
GHCND:USW00024156,POCATELLO REGIONAL AIRPORT ID US,20070120,13,0,41,-33,-167,32,240,240,112,134,1356,1358
GHCND:USW00024156,POCATELLO REGIONAL AIRPORT ID US,20070121,0,51,0,-39,-144,42,240,240,67,76,1317,1439
GHCND:USW00024156,POCATELLO REGIONAL AIRPORT ID US,20070122,0,25,0,-28,-172,11,200,210,45,54,35,2359
GHCND:USW00024156,POCATELLO REGIONAL AIRPORT ID US,20070123,0,25,0,-17,-167,17,70,80,54,63,2336,2337
GHCND:USW00024156,POCATELLO REGIONAL AIRPORT ID US,20070124,0,25,0,0,-156,16,20,20,45,54,2007,2012
GHCND:USW00024156,POCATELLO REGIONAL AIRPORT ID US,20070125,0,25,0,22,-150,14,70,70,40,45,1431,1434
GHCND:USW00024156,POCATELLO REGIONAL AIRPORT ID US,20070126,0,25,0,28,-133,14,50,50,58,63,1230,1230
