STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070101,0,-9999,-9999,-44,-133,19,300,310,76,76,15,13
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070102,0,-9999,-9999,39,-156,34,230,230,89,103,1151,1151
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070103,0,-9999,-9999,39,-28,24,230,230,72,89,103,112
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070104,30,-9999,-9999,28,-33,47,270,270,98,125,1801,1800
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070105,0,-9999,-9999,22,-39,50,310,290,80,107,7,1304
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070106,0,-9999,-9999,22,-83,43,280,280,94,107,2336,1744
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070107,0,-9999,-9999,22,-33,86,320,310,183,219,432,352
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070108,0,-9999,-9999,61,-39,102,320,310,206,241,2032,2329
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070109,0,-9999,-9999,11,-83,58,320,320,170,206,32,2355
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070110,0,-9999,-9999,83,-44,37,340,340,72,80,1939,1940
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070111,0,-9999,-9999,-11,-178,89,330,330,139,170,1216,1216
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070112,0,-9999,-9999,-172,-200,47,340,340,98,116,143,143
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070113,0,-9999,-9999,-100,-194,12,170,170,40,54,1457,1714
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070114,0,-9999,-9999,-111,-217,32,350,360,89,103,1924,1925
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070115,0,-9999,-9999,-128,-228,17,320,320,45,58,213,215
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070116,0,-9999,-9999,17,-222,22,190,190,58,63,1548,1528
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070117,0,-9999,-9999,83,-133,33,310,310,76,103,2337,2340
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070118,0,-9999,-9999,11,-72,65,320,320,112,134,612,1105
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070119,0,-9999,-9999,33,-94,35,140,140,63,72,2149,2150
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070120,0,-9999,-9999,61,-122,24,140,130,58,63,1904,1811
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070121,0,0,3,-28,-156,52,340,340,116,130,1110,1110
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070122,0,-9999,-9999,61,-139,48,240,240,89,103,1043,1043
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070123,15,-9999,-9999,78,-6,41,310,320,89,112,913,915
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070124,0,-9999,-9999,72,-44,28,290,300,58,72,51,146
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070125,0,-9999,-9999,67,-50,20,140,150,58,67,851,807
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070126,0,-9999,-9999,50,-44,71,330,330,139,174,1231,1232
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070127,0,-9999,-9999,-39,-167,96,330,320,170,237,643,715
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070128,0,-9999,-9999,44,-194,43,310,310,130,156,2320,2320
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070129,0,-9999,-9999,-17,-178,102,330,340,179,215,1005,1007
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070130,0,-9999,-9999,-44,-200,43,340,350,76,98,53,54
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070131,0,-9999,-9999,-61,-150,66,330,330,143,192,1112,1112
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070201,5,0,8,-61,-178,77,340,340,156,183,1306,1311
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070202,0,-9999,-9999,-89,-194,85,320,330,161,197,1537,1544
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070203,0,-9999,-9999,-117,-233,57,320,330,116,156,24,25
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070204,0,-9999,-9999,-94,-206,31,310,310,76,98,223,224
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070205,0,-9999,-9999,-89,-144,55,120,120,80,98,2106,2106
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070206,0,-9999,-9999,-28,-144,49,10,350,98,125,1224,1617
GHCND:USW00024025,PIERRE REGIONAL AIRPORT SD US,20070207,3,0,13,-111,-150,19,10,20,63,67,38,5
