STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070101,33,-9999,-9999,83,-11,60,310,320,125,165,1249,1340
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070102,0,-9999,-9999,56,-39,41,250,220,94,134,2046,1338
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070103,0,-9999,-9999,89,17,62,220,240,98,161,1149,2018
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070104,0,-9999,-9999,94,33,43,220,220,94,148,130,1500
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070105,0,-9999,-9999,78,22,33,250,250,72,107,831,916
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070106,3,-9999,-9999,39,-22,33,280,280,94,125,1513,1513
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070107,5,-9999,-9999,56,-22,36,200,200,76,107,1328,1329
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070108,20,-9999,-9999,6,-28,51,300,300,116,156,657,657
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070109,0,-9999,-9999,-22,-72,77,320,310,130,165,1455,1441
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070110,0,-9999,-9999,-39,-78,44,300,300,94,134,17,221
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070111,0,-9999,-9999,50,-33,40,220,250,89,125,1431,1249
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070112,0,-9999,-9999,44,-67,44,330,320,76,98,1750,2141
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070113,0,-9999,-9999,-67,-128,21,330,340,72,89,101,112
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070114,0,-9999,-9999,-17,-72,12,50,40,63,76,2215,2310
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070115,20,-9999,-9999,-44,-106,43,30,40,72,80,949,938
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070116,3,-9999,-9999,-72,-239,34,310,290,94,130,1428,1734
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070117,0,-9999,-9999,-22,-150,48,230,230,112,170,1307,1308
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070118,8,-9999,-9999,-11,-44,37,200,210,67,94,153,128
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070119,0,-9999,-9999,-33,-72,79,300,300,112,161,1420,1032
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070120,0,-9999,-9999,-56,-150,19,330,320,94,112,111,111
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070121,8,-9999,-9999,-50,-178,10,200,210,63,76,1310,1310
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070122,5,-9999,-9999,-11,-144,8,240,240,45,63,2352,2353
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070123,8,-9999,-9999,-11,-72,57,310,310,116,143,2106,1637
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070124,8,-9999,-9999,-56,-128,13,320,320,63,72,9,20
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070125,0,-9999,-9999,-111,-206,25,10,360,72,80,458,505
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070126,8,-9999,-9999,-50,-139,36,160,200,103,299,1626,1451
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070127,5,-9999,-9999,-17,-72,34,320,320,94,112,1924,1952
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070128,0,-9999,-9999,-72,-206,33,310,320,72,80,1641,1629
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070129,10,-9999,-9999,-50,-222,13,290,290,54,63,2358,26
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070130,0,-9999,-9999,-72,-178,25,280,300,89,116,2359,2307
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070131,0,-9999,-9999,-44,-89,50,220,210,89,148,1713,1647
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070201,33,-9999,-9999,-56,-72,22,260,250,67,94,113,1359
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070202,13,-9999,-9999,-61,-128,47,290,300,98,125,2310,2312
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070203,28,-9999,-9999,-122,-178,48,320,320,107,134,2102,2119
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070204,0,-9999,-9999,-161,-189,66,280,280,107,139,2327,2034
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070205,0,-9999,-9999,-100,-167,73,290,300,116,156,611,611
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070206,0,-9999,-9999,-128,-278,37,290,280,94,112,1518,1519
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070207,0,-9999,-9999,-72,-150,68,290,290,125,156,1541,1442
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070208,0,-9999,-9999,-78,-139,72,290,280,112,165,1830,132
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070209,0,-9999,-9999,-56,-161,41,290,310,80,94,1326,1114
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070210,0,-9999,-9999,-78,-156,49,320,330,103,125,21,5
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070211,0,-9999,-9999,-67,-217,31,240,250,94,130,1533,1324
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070212,0,-9999,-9999,-89,-250,8,320,320,58,63,1527,1528
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070213,0,-9999,-9999,-122,-272,34,50,60,89,112,1359,1405
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070214,0,-9999,-9999,-133,-256,30,310,20,72,94,1213,1453
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070215,0,-9999,-9999,-83,-283,38,290,290,116,143,1649,1604
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070216,0,-9999,-9999,-39,-244,49,250,230,107,156,1225,2250
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070217,0,-9999,-9999,-33,-106,51,300,310,103,130,1938,1939
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070218,0,-9999,-9999,-94,-244,28,20,20,80,98,207,208
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070219,0,-9999,-9999,33,-244,44,140,240,94,130,2014,1101
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070220,0,-9999,-9999,6,-122,36,300,310,89,103,314,314
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070221,0,-9999,-9999,67,-133,31,220,220,89,112,1652,1436
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070222,30,-9999,-9999,39,-111,93,310,320,197,228,946,948
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070223,0,-9999,-9999,-61,-200,17,80,40,54,63,1239,1147
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070224,0,-9999,-9999,-44,-194,37,70,80,94,116,1235,1245
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070225,0,-9999,-9999,-17,-67,89,100,80,148,192,1748,1758
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070226,5,-9999,-9999,-17,-39,59,90,110,107,161,204,403
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070227,0,-9999,-9999,0,-28,27,100,90,63,72,22,23
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070228,0,-9999,-9999,6,-56,32,70,80,72,80,1810,1557
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070301,38,-9999,-9999,-11,-44,94,90,90,170,237,1759,1759
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070302,61,-9999,-9999,22,-22,36,100,90,134,197,3,3
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070303,0,-9999,-9999,-17,-56,54,340,330,103,130,2105,2105
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070304,0,-9999,-9999,-11,-89,55,320,310,156,179,2338,2338
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070305,0,-9999,-9999,-28,-161,97,320,330,148,192,608,543
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070306,8,-9999,-9999,-100,-289,10,30,30,45,58,22,18
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070307,0,-9999,-9999,-61,-250,16,330,290,72,89,1529,1421
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070308,0,-9999,-9999,0,-206,16,90,90,54,63,1635,1637
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070309,3,-9999,-9999,94,-106,30,210,220,67,89,1355,1420
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070310,8,-9999,-9999,44,-28,48,310,310,103,148,1835,1743
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070311,0,-9999,-9999,89,-111,38,220,250,94,134,1627,1635
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070312,25,-9999,-9999,78,0,33,260,230,67,116,1320,1323
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070313,0,-9999,-9999,139,-6,42,250,250,112,165,1211,1212
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070314,0,-9999,-9999,83,0,38,340,340,107,139,2348,2351
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070315,0,-9999,-9999,0,-83,42,340,340,107,139,17,148
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070316,0,-9999,-9999,-17,-133,23,40,110,72,98,1158,1414
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070317,0,-9999,-9999,17,-106,40,320,290,94,134,1612,1647
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070318,0,-9999,-9999,22,-72,29,310,280,63,94,1458,1527
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070319,20,-9999,-9999,39,-72,73,320,330,139,174,2242,2242
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070320,0,-9999,-9999,0,-128,43,320,320,98,116,51,2355
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070321,25,-9999,-9999,117,-61,32,220,230,112,165,2334,2334
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070322,150,-9999,-9999,128,-33,55,280,290,134,192,525,526
GHCND:USW00014841,PELLSTON REGIONAL AIRPORT MI US,20070323,0,-9999,-9999,144,-39,12,10,140,58,67,1105,1653
