STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070101,0,0,0,167,-27,34,70,70,94,112,1334
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070102,0,0,0,172,0,35,100,80,76,76,1255
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070103,0,0,0,233,-5,42,300,290,125,143,1541
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070104,5,0,-9999,189,33,77,290,290,157,174,2120
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070105,0,0,0,106,-27,76,40,40,174,206,1112
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070106,0,0,0,122,-66,29,310,300,81,98,1800
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070107,0,0,0,161,-32,49,60,80,107,125,1218
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070108,0,0,0,194,-43,29,90,90,94,103,1528
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070109,0,0,0,189,-21,15,200,200,54,54,1940
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070110,0,0,0,206,-5,38,230,230,103,130,1356
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070111,0,0,-9999,133,17,84,300,290,165,183,2007
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070112,0,0,0,56,-60,36,290,280,107,125,1624
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070113,0,0,-9999,33,-116,25,70,60,67,98,1441
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070114,0,0,0,61,-121,23,30,30,67,76,1550
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070115,0,0,0,89,-99,53,90,100,125,139,1009
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070116,0,0,-9999,117,-93,28,90,100,76,89,1331
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070117,0,0,0,67,-99,16,350,350,45,58,1929
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070118,0,0,0,144,-93,35,70,70,103,143,1322
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070119,0,0,0,161,-77,24,210,40,54,67,1122
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070120,0,0,0,156,-55,40,230,230,94,103,1751
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070121,0,0,0,117,-43,49,70,70,134,161,1120
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070122,0,0,0,139,-55,42,60,60,94,107,1422
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070123,0,0,0,172,-49,18,190,190,40,40,2355
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070124,0,0,0,194,-38,19,40,40,63,67,1621
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070125,0,0,0,172,-32,18,200,200,54,58,158
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070126,0,0,0,183,-32,34,240,240,98,116,1421
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070127,0,0,-9999,133,11,40,210,260,98,116,230
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070128,0,0,0,133,6,17,210,330,45,54,1347
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070129,0,0,0,183,6,26,70,60,81,98,1449
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070130,3,0,-9999,150,61,42,210,210,94,112,1340
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070131,0,0,0,133,61,53,290,300,81,98,1148
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070201,0,0,0,144,11,37,300,300,89,98,1644
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070202,0,0,0,144,-32,14,200,200,54,54,1928
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070203,0,0,0,178,-49,17,220,220,40,40,2108
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070204,0,0,0,228,-21,21,70,60,63,72,1535
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070205,0,0,0,244,22,22,50,40,67,76,1419
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070206,0,0,0,244,22,34,270,280,89,107,1505
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070207,0,0,0,189,39,30,260,260,98,112,1559
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070208,0,0,0,217,106,-9999,230,250,76,94,1858
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070209,0,0,0,217,61,26,260,250,94,116,1228
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070210,0,0,0,222,72,51,210,210,139,157,2210
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070211,8,0,-9999,167,72,66,210,250,103,125,1123
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070212,0,0,-9999,150,50,60,230,220,107,134,1408
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070213,0,0,0,133,39,67,290,290,139,165,1623
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070214,0,0,0,167,-10,33,300,290,112,134,1902
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070215,0,0,0,206,-27,22,310,310,76,89,1741
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070216,0,0,0,239,17,22,40,40,81,116,1227
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070217,0,0,0,233,50,38,70,90,116,143,1025
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070218,0,0,0,217,61,38,230,220,112,130,1438
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070219,56,0,-9999,117,22,36,280,270,112,139,713
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070220,0,0,0,167,6,36,230,220,89,103,1433
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070221,0,0,0,200,39,45,220,220,107,148,1730
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070222,15,0,-9999,111,33,60,230,240,148,179,325
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070223,0,0,0,83,17,75,290,300,148,183,1232
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070224,0,0,0,139,-38,17,220,210,89,98,2211
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070225,0,0,0,144,50,83,240,280,143,161,1953
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070226,0,0,-9999,150,50,83,230,250,139,170,1430
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070227,3,0,-9999,117,33,74,220,220,125,161,904
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070228,0,0,0,89,11,75,280,280,143,174,1404
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070301,0,0,0,117,6,59,300,300,125,143,1610
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070302,0,0,0,156,-16,38,60,50,94,125,1308
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070303,0,0,0,172,-10,53,60,60,116,143,1154
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070304,0,0,0,200,-10,34,50,70,89,112,1348
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070305,0,0,0,233,11,16,210,210,45,54,2011
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070306,0,0,0,267,100,26,250,220,89,112,1556
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070307,0,0,0,250,122,39,250,250,89,107,1529
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070308,0,0,0,244,72,39,290,300,116,148,214
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070309,0,0,0,250,33,23,300,300,72,89,2005
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070310,0,0,0,267,39,28,50,40,76,103,1456
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070311,0,0,0,278,33,38,60,70,112,157,1419
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070312,0,0,0,300,44,18,230,230,58,67,1850
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070313,0,0,0,311,83,55,230,220,107,130,1538
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070314,0,0,0,300,117,53,300,270,107,134,1618
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070315,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070316,0,-9999,0,322,78,23,250,280,72,89,1652
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070317,0,0,0,311,78,41,240,230,116,134,1607
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070318,0,0,0,261,117,52,240,240,103,130,1327
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070319,0,0,0,256,94,59,280,290,112,139,1444
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070320,0,0,-9999,178,89,72,230,250,130,161,1413
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070321,0,0,-9999,172,67,38,220,230,103,116,2357
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070322,0,0,0,233,33,49,60,60,130,165,1238
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070323,0,0,0,261,67,44,280,280,116,148,1533
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070324,0,0,0,267,78,41,220,220,94,112,1635
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070325,0,0,0,261,94,37,250,250,89,107,1109
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070326,0,0,0,228,83,60,230,240,143,170,2117
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070327,0,0,-9999,106,39,104,310,310,192,241,1609
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070328,0,0,0,156,11,53,300,300,125,148,1707
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070329,0,0,0,217,11,34,290,290,107,125,1720
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070330,0,0,0,250,22,30,240,250,98,125,1554
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070331,0,0,0,278,83,34,250,230,94,116,1409
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070401,0,0,0,294,83,44,250,250,103,125,1659
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070402,0,0,0,267,100,51,240,230,98,134,1453
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070403,0,0,0,300,89,32,220,220,58,63,2308
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070404,0,0,0,300,106,25,240,240,89,98,1632
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070405,0,0,0,294,150,28,240,230,103,125,1725
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070406,0,0,0,311,133,42,290,280,107,130,2041
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070407,0,0,0,256,117,67,290,300,130,148,1506
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070408,0,0,0,228,122,78,290,260,139,165,1357
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070409,0,0,0,256,111,85,270,280,192,233,2005
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070410,0,0,0,244,100,94,280,290,143,170,1650
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070411,0,0,0,222,72,83,290,290,174,206,1716
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070412,0,0,0,144,67,107,300,300,206,241,1218
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070413,0,0,0,228,11,20,30,10,67,89,1008
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070414,0,0,0,228,78,69,210,200,174,206,1109
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070415,0,0,0,144,50,89,280,280,143,174,1456
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070416,0,0,0,239,72,43,40,40,98,125,1115
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070417,0,0,0,244,78,82,300,290,165,197,2353
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070418,0,0,0,128,33,94,290,290,165,210,9
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070419,0,0,0,211,6,51,230,230,134,165,1755
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070420,0,0,-9999,128,39,54,200,200,130,148,222
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070421,0,0,0,194,22,56,230,240,116,139,1324
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070422,0,0,-9999,211,89,90,230,230,165,197,1245
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070423,0,0,0,211,72,53,280,290,125,143,1713
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070424,0,0,0,417,89,24,290,290,72,89,2033
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070425,0,0,0,289,111,47,290,280,130,148,2326
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070426,0,0,0,306,139,48,300,290,107,134,1821
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070427,0,0,0,333,106,27,20,40,72,107,1321
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070428,0,0,0,350,133,39,230,230,103,134,1525
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070429,0,0,0,344,150,42,290,290,98,157,1549
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070430,0,0,0,322,139,47,230,230,103,130,1354
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070501,0,0,0,289,117,61,290,290,143,170,2234
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070502,0,0,0,250,117,75,290,290,148,179,2333
GHCND:USW00023182,PALMDALE AIRPORT CA US,20070503,0,0,0,194,67,107,290,290,170,197,1450
